0,may dri nose may help moistur membran  dri membran lead septal perfor  though mani caus 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
582,wisdom teeth usual wisdom teeth extract oral surgeri offic iv sedat littl discomfort  oral surgeon consult evalu medic health discuss issu associ specif case  good luck 582,20 year old   got tooth back mouth get jaw pain sometim wisdom teeth remov feel ir help 582,dental implant  protrud jaw  open repair jawbon fractur  underdevelop upper jaw bone 582,teeth  anesthesia  local anesthesia  wisdom teeth  tooth extract
583,agre w dr  haupt besid medic optim psychiatrist  involv nonmed form treatment talk feel  address problem  dont avoid  aim 7 5  8 hour sleep  night  daili physic activ optim green space  eat health  cut junk carb  caffein  alcohol moder  tri qi gong  tai chi  acupunctur  acupressur  homeopathi 583,dump bad take cymbalta lexapro improv  enjoy noth 583,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 583,depress  major depress  live major depress  sleep  well lifestyl  deal depress  lifestyl chang  exercis  exercis
584,er go straight emerg room 584,recent 2 4 wisdom teeth remov experienc lock jaw  get rid asap 584,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 584,lockjaw  tooth extract  wisdom teeth
585,check md symptom heart relat problem evalu medic doctor asap 585,tickl feel left ear neck left arm  could caus tmj  partial seizur  anxieti jaw bother today 585,dental care  dental pain  dental health 585,feel anxious  tingl  tmj syndrom  seizur  convuls  anxieti
586,hemorrhoid lik colon cancer usual associ frank blood stool  bright blood usual indic hemorrhoid  howev  cancer less like reason ignor  even hemorrhoid caus anemia  pleas consult doctor lesion may treat 586,saw blood stool im complet freak  could mean colon cancer famili 586,cancer  nutrit  cervic cancer  ovarian cancer 586,cancer  colon cancer  colon  hemorrhoid  fece  colonoscopi  gastroenterolog
587,probabl yes resum right away 587,came mirtazapin week ago  depress want get back  work immedi sinc long 587,polycyst ovarian syndrom  diabet  endocrinolog  thyroid  diabet  rotterdam polycyst ovarian syndrom pcos panel  thyroid 587,depress  melancholia  mirtazapin  remeron
588,like abscess like caus red  tender  bump gum dental abscess  regardless caus  way know sure go dental exam follow appropri treatment put back good dental health  17 year age young loos teeth neglect 588,red tender pain bump gum near tooth caus hist: htn pcos provera zestoret bad oral hygien 588,fluorid  child health  lurid  dental care  dentistri  cari  children health  teeth  surgeri  dental cari  abscess  dental sealant  dental health  dental xray  babi bottl tooth decay  dental dam  take antibiot  dental plaqu  teeth brush 588,high blood pressur  polycyst ovari syndrom  provera  lisinopril hydrocholorthiazid  hypertens  zestoret
589,see pro isnt diy situat  ask famoli dentist refer wisdom tooth expert  oral surgeon  pleas go problem worsen 589,upper wisdom teeth right side began appear still complet  caus pain right side eye  ear   jaw  need help 589,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 589,wisdom teeth
590,possibl neuropathi neuropathi happen result trauma  nerv damag due consumpt alcohol certain medic  symptom rang numb tingl sensat  possibl burn sensat  uncomfort pain sensat extrem  get evalu profession determin exact caus order get appropri treatment 590,went burn tingl feet check diabet vitamin defici   diabet vitamin low could caus 590,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 590,diabet type 2  diabet  burn sensat  nerv damag  neuropathi  tingl  vitamin defici  vitamin supplement  vitamin  alcohol
591,yes yes  make sure keep tissu clean free residu food bacteria  rins listerin scope brush help reduc bacteri growth 591,wisdom tooth lower left side jaw visibl grow  swollen  soar  annoy discomfort area well gum  safe eat normal 591,root canal  dri mouth  cosmet dentistri  esthet dentistri  emerg dentistri  crowd teeth 591,nan
592,uri may repres viral upper respiratori infect resolv unev  symptom persist increas chang best see famili doctor 592,runni nose  sneez  fever 101 3 cough feel like scrape lung throat sandpap   could thank 592,nan 592,rhiniti  fever  cough  runni nose  upper respiratori infect
593,stay home sound like flulik ill  tri dayquil nyquil accord label direct rest next day  may take 23 week back normal start feel littl better 35 day  stay home today  save money 593,woke morn sore throat stuf nose  cough green mucus  bodi ach headach  slight fever   go dr stay home rest 593,depress  obes  hyperlipidemia  dementia  hypertens 593,throat pain  sore throat  headach  cough  fever  bodi ach  green mucus
594,happen often trauma treatment set respons caus mouth ulcer  patient happen much time  good luck heal 594,normal mouth ulcer outbreak dental clean caviti fill 594,fals teeth  dental implant  sleep  dental health  oral surgeri  stress less  abscess  dental care  dental fill  bone loss  ulcer  miss teeth  oral maxillofaci surgeri  diagnost servic 594,ulcer  oral ulcer  bacteria  virus  caviti  dental clean
595,broken ankl sound like need see ankl specialist  swollen point  may need hardwar remov well repair ankl ligament 595,3 year go=broken ankl  screw sprain akl play tenni auguet still swollen  cast  normal 595,foot surgeri  broken ankl  ankl surgeri  mri foot  broken foot  sport injuri 595,broken bone  ankl swell  recov broken bone
596,unusu slight movement 12 yr molar wisdom tooth remov  could also heal go bone gum wisdom tooth use  yore concern call dentist oral surgeon extract ask examin order 596,caus discomfort dull pain tooth next wisdom tooth extract site less week extract 596,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 596,dental pain  tooth pain  tooth extract  wisdom tooth extract
597,probabl sorri hear depress best control  howev  antidepress like zoloft work like painkil take extra dose 1 day help day notic improv day  probabl placebo effect  wise keep vari dose zoloft day day take 400 mg  talk doc rx resist depress 597,safe take 400mgs zoloft  im current take 200  300 mgs daili  depress vari today bad 597,depress  bipolar disord  manic depress disord  anxieti  adhd  stress  dementia  post traumat stress disord  suboxon  addict  adderal  schizophrenia  alzheim diseas  bipolar disord adult 597,depress  hopeless  zoloft overdos  alcohol  overcom fatigu  aripiprazol  abilifi  abstin program  sertralin  zoloft
598,go back dentist yellow color face may breakdown blood product tissu  codein acetaminophen cocodamol may enhanc bleed  hope abscess drain  sinc antibiot alon seldom reliabl effect  need return discuss dentist allow see new problem  good luck 598,saw dentist tooth abscess  take amoxicillin three day  face jaw swollen face turn yellow  start take 2500 mg cocodamol approxim everi 45 hour  ido 598,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 598,abscess  tooth abscess  dental abscess  swollen face
599,possibl could mani thing  reflux even virus  see physician exam diadnosi 599,short breath  chest pain  burp fart lot  cough wont go away  noisi stomachnot hungri  stomach cramp  ekg chest xray 2 week ago clear  gerd 599,children health  bleed  contracept  exercis  cancer  sleep  rash  fever  normal childbirth  pneumonia  teen pregnanc 599,chest pain  belch  flatul  cough  breathless  chest tight  chest pressur  angina  electrocardiogram  gastroesophag reflux diseas
600,hard tell peopl influenza usual feel like run truck time run fever ill  otherwis  often hard differenti two without test  influenza also usual pretti nasti cough  symptom may decid one tow 600,slight sore throat  bodi ach  runni nose  ear hurt    flu cold 600,child health  vaccin  autism  autism spectrum disord  pediatr  sid  foster care  fever  age grace  immun  babi hiccup 600,rhiniti  sore throat  throat pain  flu  runni nose
601,tri think comparison antidepress measur strength particular use mislead  various ssri choic differ small possibl import way  cymbalta effect addit neurotransmitt may help w  pain issu  may less effect differ peopl that good reason provid accur feedback dr  best 601,dr stronger drug 10mg lexapro 30mg cymbalta thank 601,anxieti  bipolar disord  manic depress disord  person disord  dementia  memori  anxieti disord  borderlin person disord  post traumat stress disord  social anxieti disord  mind medit  general anxieti disord  vascular dementia  age grace  relax techniqu 601,lexapro  duloxetin  cymbalta
602,probabl 50  start mammogram 50 shown save live  debat start 40  fact diseas show much 50  mammogram dont often detect cancer 50  clinic studi proven save live start 40  far  kept age 50  mani still think 40 start point 602,famili histori breast cancer would like know mammogram start 602,infecti diseas  healthi live  head neck cancer  endocrin disord 602,breast cancer  breast carcinoma  cancer  mammogram  femal health  counsel  genet counsel
603,consid pt knee pain  swell lock  choos conserv nonsurg manag  consid pt address strength flexibl muscl around knee joint  gait could alter meniscus tear 603,wife 6 week old medial meniscus root tear knee mri  symptom uniqu  pain knee thigh ankl muscl seiz walk 50ft+ sit 60min  advic idea 603,concuss  exercis  sprain  electrolyt  sport medicin  knee injuri  joint problem  sport activ  ankl disord  elbow injuri disord  manag tenni elbow 603,mri  magnet reson imag  knee injuri
604,sometim secondari characterist  mass  obstruct may show colonoscopi look entir colon surfac better chanc earli curabl lesion 604,abdomin ct rule kidney stone abdomin pain w contrast detect colon cancer 604,heart attack  myocardi infarct  deep venous thrombosi  coronari arteri diseas  aortic aneurysm  cardiovascular diseas  coronari arteri bypass graft  thorac neoplasm  peripher vascular diseas  thorac surgeon  venous insuffici  thorac outlet syndrom  thoracotomi  carotid duplex  carotid arteri stenosi  carotid arteri diseas  ultrasound extrem vein  cardiac bypass  cardiac pace  carotid bruit 604,abdomin discomfort  abdomin pain  nephrolithiasi  kidney stone  cancer  colon cancer  belli pain  comput tomographi  colon
605,dizzi vs  vertigo differ two term  ear infect lead labyrinth one mean develop vertigo  potenti problem  seen neurologist undergo detail evalu actual sens spin  ground come meet  good luck 605,ive feel dizzi sit walk month  ear infect stress optic blood pressur control 605,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 605,dizzi  stress  stress less
606,sometim usual colonoscopi biopsi best way make diagnosi  screen colonographi ct base test identifi larger mass colon  standard colonoscopi would still requir diagnosi 606,abdomin cat scan show colon cancer 606,cancer  breast cancer  pancreat cancer  colon cancer 606,cancer  colon cancer  ct abdomen  bowel prep  ct scan  colon  colonoscopi  bowel
607,mani possibl age could start earli menopaus  hormon fluctuat could make prone yeast infect  perhap contact allergi  tri topic lotrimin see help  improv check doctor 607,normal feel littl itchi vagin area period discharg  yeast infect 607,os 607,yeast infect  yeast  candida
608,myelomalacia thin spinal cord caus protrud disc  protrud disc may compress spinal cord  check doctor review mri doctor  dont symptom associ protrus   worri would injur neck  higher likelihood cord injuri 608,recent ceriv mri  impression:larg disc protrus c56  sever stenosi  myelomalacia 608,mri scan  diagnost radiolog 608,herniat disk  magnet reson imag  mri  c5
609,tonsil understand fear someth make tonsil big smart enough want live 609,pleas doctor think lymphoma make go ent due 1 tonsil 50% bigger otherno symptom im scare im cri constant cbc normal chest abd ct norma 609,allergi  asthma  immun diseas  latex allergi  migrain  fibromyalgia 609,cri  lymphoma  ear nose throat  ent head neck surgeri  comput tomographi  complet blood count  cbc
610,think simplifi matter  serotonin neurotransmitt involv depress  antidepress effect serotonin level  havent seen studi indic antidepress overprescrib  specif studi review reach conclus actual review studi led black box warn  see numer factor 610,true anti depress prescrib depress alway result low serotonin case pill make suicid 610,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 610,antidepress
611,consid get second opinion perhap see psychiatrist  could psycholog issu  wonder u test vitamin b 12 defici  syphili  auto immun  thyroid condit etc  cut quit smoke  take care 611,neurologist clear blood test  eeg mri  suffer someth undiagnos similar dementia ms els done 611,nan 611,dementia  multipl sclerosi  mri  magnet reson imag  eeg  neurolog
612,yes  hypertens need monitor bp kidney function take regular 612,safe take ibuprofen metoprolol  lisinopril hctz  klorcon 10 612,arthriti  fibromyalgia  rheumatoid arthriti  osteoarthr  vascul 612,heart failur  metoprolol  zestril  rufen  prinivil  nuprin  motrin  hypertens  lisinopril  klorcon
613,would talk psychiatrist  suspect blood pressur either get low trazodon quetiapin becom slight deliri two antipsychot  one batteri oper blood pressur cuff may want check blood pressur 30 minut hour take medicin even abl stay awak 613,im 100mg trazodon  100mg zoloft 1000mg depakot 2mg risper  seroquel xr 150mg night  feel high 30minut later happen 613,sleep  citalopram  manic depress disord  zoloft  sertralin  insomnia  clonazepam  ssri  schizophrenia  melancholia  hopeless 613,zoloft  trazodon  sertralin  seroquel  quetiapin  divalproex  desyrel  depakot
614,blood pressur blood pressur normal 614,yesterday er  chest pain  low diuresi low bpi high bp ecg normal  troponin urin normal  end home bp persist low 10565 could dont feel dizzi txs 614,heart failur  angina  atrial fibril  congest heart failur  thyroid diseas  liver diseas  stroke  biliari tract diseas  sepsi 614,dizzi  chest pain  abnorm blood pressur  chest pressur  chest tight  angina  hypertens  hypertens  troponin  blood pressur
615,itchi bump common caus dandruff  caus   lice  etc   uncommon 615,lump scalp itchi also dandruff explan 615,allergi  asthma  immun diseas  latex allergi  migrain  fibromyalgia 615,dandruff  sever itch  treat dandruff
616,yes  possibl  research show child adolesc brain structur less resili experi fear stress adult brain  child adolesc depress often manifest high degre sensit irrit 616,possibl child teen get depress like adult 616,bipolar disord  integr medicin  mri brain  adolesc develop 616,fussi  depress  teen  psychiatri  children
617,mfp might myofaci pain dysfunct syndrom dysfunct joint  may occlus parafunct habit grind clench  see dentist may also want thou see orthodontist 617,jaw tens wont releas one side   doesnt lock realli tight   could tmj without click 617,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 617,tmj syndrom
618,well bra like brain circul fine  worri stroke stroke happen young peopl unless high bp   untreat mani year  case  doctor alreadi check serious problem  find noe  time divert attent posit thing  suggest exercis daili 30 minut 618,normal mri mra neck  carotid  posterior fossa  numb face  arm  leg  worri stroke 618,breast cancer  oncolog  malign melanoma 618,tingl  stroke  cerebr vascular accid  numb  mri  magnet reson imag
619,see endocrinologist detail endocrinolog workup lab test may help pinpoint problem  pituitari affect certain disord  exampl  pituitari tumor symptom  good work 619,19  hard get maintain erect  low sex drive  tri stay activ alway sleepi meal  littl chest hair  patchi facial hair 619,cancer  brain injuri  arterioven malform  glioblastoma  tbi 619,drowsi  loss sex drive  male health  sex  libido  facial  erect  sexual drive
620,help general  great improv take cough medicin  none counter cough medicin realli much effect  fluid intak rest best  medic interact common 620,cough medicin child take take 50mg zoloft 2mg abilifi 620,children health  congenit heart diseas  child health  cardiomyopathi  heart failur  heart murmur  congest heart failur  marfan syndrom  pediatr cardiolog  pediatr  syncop  tetralog fallot  ventricular septal defect  digeorg syndrom  patent ductus arteriosus  hypoplast left heart  aortic stenosi  kawasaki diseas  coarctat aorta  transposit great vessel 620,cough  zoloft  dextromethorphan cough syrup  sertralin  children  aripiprazol  antituss  abilifi
621,lung function test unlik  sinc asthma infect lung common  would suggest keep pertussi vaccin date  outbreak pertussi  flu vaccin recommend annual basi  unless specif reason one  avoid smoke anyth environ seem trigger asthma  pfts suggest 621,16yr old girl told bronchiti asthma pain long cough gasp air  wheez  mood swing  lung cancer 621,pediatr pulmonolog  pulmonolog  infant health  infant toddler health  prematur deliveri 621,bronchiti  asthma  cough  mood chang  mood swing  wheez  emot instabl  cancer  lung cancer  mood
622,say go see neurologist  find caus prescrib medic  need make sure seizur 622,eeg normal  facial limb twitch eeg  histori convuls head injuri  histori epilepsi far  idea caus 622,breast cancer  oncolog  malign melanoma 622,head injuri  seizur disord  epilepsi  head trauma  seizur  convuls  facial  epilept seizur  eeg normal  eeg
623,lid hygien stye block oil gland eyelid much like clog pore pimpl  use warm compress warm cloth x 510 min eyelid 46 x day open gland  clean eyelid margin babi shampoo unclog gland  stye rare get infect  may need antibiot  howev steroid ointment maxitrol may help  keep lid hygien morn  night prevent other form 623,anyon stye like thing eye pregnanc  small red lump spot near tear duct  ive prescrib fusid acid ointment 623,vision  eye exam  surgeri  dri eye  hordeolum  ophthalmolog  dermal filler  plastic cosmet surgeri  eyelid surgeri  eyelid lift  tear duct reconstruct  botox 623,stye  sti remov  pregnanc  hordeolum
624,skin rash ring worm come mind first guess  pictur lesion may help see local physician look 624,itchi circl leg red 3 bump middl     could 624,child health  circumcis  cancer  circumcis  diabet  depress  sleep  laparoscop surgeri  children health  child diabet  diabet risk  fever  rid lice treatment  nasal  normal childbirth  rehab  chronic high blood pressur  natur remedi  men health  pain manag 624,nan
625,conjunctivit usual self limit condit involv white part eye  conjunctiva  typic viral bacteri infect  stop wear contact lens resolv  vision affect pain extrem light sensit go see ophthalmologist  contagi  avoid direct contact other clear 625,sore eye discharg eye stuck togeth  red eye stay school 625,cataract surgeri  macular degener  dri eye  glaucoma 625,red eye  sore eye
626,suggest breast exam year  would suggest get mammogram age 35 year 40  hope help 626,mammogram 31  fibroadenoma remov sever year ago famili histori breast cancer 626,breast cancer  lung cancer  oncolog  hematolog 626,digit mammogram
627,torn ligament would unusu femur slide tibia unless tore ligament around knee like knee disloc  tore acl knee unstabl sublux bone  sometim acl avuls tibia bone  exercis knee strengthen good acl tear consider surgeri discuss doctor 627,torn ligament knee  femur actual slip top tibia could someth fractur use exercis bike  walk strength 627,acl reconstruct  knee arthroscopi  shoulder arthroscopi  shoulder arthroplasti  cartilag disord 627,broken bone  disloc  ligament tear  exercis
628,floss everyon heal differ  pain wisdom teeth extract subsid week  primari culprit  otherwis healthi person  high oral bacteria count  peopl dont floss daili basi mouth chronic infect     open boney socket becom cesspool wont heal  floss daili oral surgeon treat dri socket 628,got four wisdom teeth pull last week  jaw still hurt first second upper molar hurt right side  throb pain  ok 628,dental implant  toothbrush  oral surgeri  bone graft  oral hygein  cerec  dental laser 628,bacteri infect  floss  dental floss  wisdom teeth  tooth extract
629,vagin vagin yeast infect common gynecolog diagnosi primari care  treatment nonpregn women symptom metronidazol  get rx import yeast infect make suscept contract stds  chlamydia  gonorrhea  etc  vagin clindamycin cream anoth treatment  counter cream may help yore certain yeast infect 629,best way treat vagin yeast infect  itch burn 629,chest pain  heart attack  hemorrhoid 629,yeast infect  candida  femal health  yeast  itch
630,tmj tmj caus symptom  see oral surgeon evalu  tmj  see tmj expert  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr 630,rearneck back pain 2 mths  less get random daili tight front neck  face  jaw teeth  arm tingl  headach esp  sit long  most gone wake worsen gradual 630,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 630,back pain  headach  tingl  tmj syndrom  dentistri  pain back
631,cours yes  see doctor even think two littl style 631,sister 14 almost 15 two intern stye one eye theyv week think see doctor 631,chest pain  copd  chest tight  chest pressur  hear loss  angina  diabet  heart attack  rapid heart beat  diabet type 2  transient ischem attack  mening  viral mening 631,nan
632,wisdom teeth mani case wisdom teeth extract due complic associ presenc tooth decay gum  common procedur  general perform local anesthesia  intraven iv sedat  general anesthesia special train dentist oral surgeon  often extract wisdom tooth best solut  see dentist xray evalu 632,wisdom tooth ach last two week heard ear said tooth sinc sore tri clean ear insid hear 632,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 632,nan
633,treat sourc tooth extract need  sourc infect ie tooth treat  mayb swell  continu antibiot  hot moist compress  cheek swell subsid  need seen asap 633,tissu face still swollen bad tooth infect  augmentin help infect gum face tissu still swollen treat 633,nan 633,periodont  augmentin  amoxicillin clavulan
634,bp potassium would recommend check blood pressur well potassium level  may low especi due albuterol use asthmat  caus lightheaded 634,possibl asthma constant lightheaded sole sxawaken sob  wheez  chest xray show hyperinfl lung  nonsmok 634,nan 634,asthma  lightheaded  wheez  xray chest
635,chest pain sound like cardiac 2 normal ekg  may muskuloskelet issu  keep dr  get diagnosi eventu tx 635,2 ekg year still chest pain today left side breast stand walk around like tighten b pain burn littl 635,urinari tract infect 635,chest pain  burn
636,copd exclud absenc symptom  spirometrybreath test help screen tool histori smoke caus copd  current symptom upper respiratori tract infect  sinus 636,rule copd cough  mucus actual come frm nose  short breath n slight chest discomfort  chest infectio 636,bird flu  bronchiti 636,cough  wheez  breathless  difficulti breath  smoke  lose weight  dextromethorphan cough syrup  exercis  copd
637,blow job high unlik achiev pregnanc mechan describ  woman ovul length cycl  14 day  e g   28 day cycl day 14  30 day cycl day 16    make unlik could get pregnant encount 637,girl gave blowjob  kiss  gave oral sex  peni never touch vagina ejacul mouth   could pregnant period end last monday 637,ovul  contracept  oral contracept  sonogram  levonorgestrel 637,sex  pregnanc  menstrual period
638,yes start pill week late may prevent ovul  includ unprotect sex  make pregnanc definit possibl 638,start take new pack birth control yaz week late unprotect sex three day later  could pregnant 638,pap smear  uterin diseas  femal infertil  pregnanc risk 638,fertil  pregnanc test  healthi pregnanc  femal health  yaz  oral contracept  birth control  sex  contracept  pregnanc
639,yes  see ms caus varieti problem bladder function  includ difficulti initi urin  loss control urinari function  blood may indic infect  cystoscopi reveal precis current issu  take potent ms medic  would add vitamin d3  alreadi supplement vitamin 639,nero found lesion mri  said probabl ms  tomorrow im cystoscopi blood urin  ms bladder problem link 639,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 639,urinari retent  blood urin  multipl sclerosi  deal blood urin
640,headach complex migrain caus vertigo  blurri vision  weak  nausea  tri otc migrain med exedrin  relief see primari doctor med use prevent migrain 640,ive vertigo nausea intens back neck pain  headach  alway 1   mri brain spine normal 1 bulg disc l4   lab normal  pt 3wks improv  next 640,intern medicin 640,headach  neck pain  dizzi  nausea  bulg disk  mri  magnet reson imag  mri brain  vertigo
641,brush floss gingiv wont get better sole use oral rins  need activ brush floss area sever time day reduc bacteria caus gingiv  gum tender brush floss may increas bleed  next day  inflamm go away gum tougher less pain irrit 641,gingiv isnt get better use mouth rins   gum swollen around 3 teeth  tender  throb 641,root canal  dri mouth  cosmet dentistri  esthet dentistri  emerg dentistri  crowd teeth 641,inflamm gum  gum diseas  gingiv
642,let find pain neuropathi first  seen neurologist test caus neuropathi metro phoenix top tier neurologist thank barrow mayo  accur identifi caus first  best treatment  small fiber neuropathi diabet plexopathi b12 alcohol etc  gabapentin lyrica act near ident  dose optim 642,pain neuropathi feet  lyrica didnt help  gabapenten didnt work  would small dose combin work 642,dementia  depress  bipolar disord  panic attack  frontotempor dementia  tempor lobe epilepsi  alzheim diseas  cataton rigid  catatonia  delirium  neuropsychiatri 642,neuropathi  nerv damag  lyrica  gabapentin
643,opercul probabl infect around wisdom tooth nad need see oral surgeon dentist 643,gum swollen around wisdom teeth  difficulti swallow  swollen lymph node slight headach  okay 643,dental care  dental implant  dental fill 643,headach  enlarg lymph node  swallow disord  difficulti swallow  swollen gland  deal wisdom teeth  wisdom teeth  wisdom tooth extract  oral surgeri  oral maxillofaci surgeri
644,mayb herp    sound like herp  cant say sure  herp recurr goe away day week primari herp last 23 week 644,one sore red spot inner lip vagina  hurt lot initi better day  could herp would get wors 644,nan 644,sexual transmit diseas  red skin  herp  femal health  cesarean section  pregnanc
645,osteophyt osteophyt degen arthrit chang spine  c refer cervic  that neck vertebra  sometim find incident thing run test 645,barium swallow report said moder anterior vertebr osteophyt c5 6 c67 earth say endoscopi test post nasal drip issu confus 645,diabet type 2  high blood pressur  well lifestyl  asthma 645,post nasal drip  osteophyt  mental confus  endoscopi  c5  barium
646,contact dernat send us pictur 646,itchi pink blotch scalp 3 week  dermatologist dont think psoriasi  doesnt realli look like psoriasi  use steroid cream 2 week hasnt chang  could 646,surgeri  intern medicin  alcohol  addict medicin  pediatr 646,psoriasi  steroid
647,eas mind eas mind go see doctor better yet surgeon breast surgeri  need over anxious breast cancer  concern lumpi breast nippl discharg surgeon evalu  lot women lumpi breast  nippl discharg normal  pleas see doctor  unnecessari worri lead issu ulcer 647,scare cancer lumpi breast numb tingl feel like movement breast right one itchi armpit yellow discharg help 647,cancer  surgeri  anal fissur  lipoma  breast cancer  hemorrhoid  femal health  breast carcinoma  hernia  burn  verruca  breast tender  mole remov  breast ach  gi surgeri  paronychia  treat genit wart  std prevent  fleet enema  sodium bisphosph 647,tingl  numb  cancer  numb tingl
648,time fna thyroid done time  time thyroid hormon affect thyroid scan i123  howev  occas  depend iodin status condit thyroid might decreas uptak iodin thyroid caus transient hypothyroid  wolfchiakoff phenomenon 648,long wait nuclear medicin thyroid scan  i123  fna biopsi thyroid blood test 648,vitamin  osteoarthr  hypogonad 648,thyroid scan  thyroid blood test  nuclear medicin  fine needl aspir  biopsi
649,see dentist could lodg food particl  periodont probem  infect  etc  need dental evalu sort thing ou 649,soar gum swollen around back teeth feel like raw hurt chew swallow  wisdom teeth 649,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 649,wisdom teeth
650,migrain definit see md 1st also check dentist also  clench grind teeth night day case may need night guard protect teeth  also type night guard call nti may help headach 650,migrain took 2 excedrin migrain pill 7:30am  still migrain 650,dental pain  dental care  obstruct sleep apnea  cosmet dentistri  dental laser 650,migrain headach  migrain
651,depend suffer disabl recurr low back pain  may take conserv nonsurg approach  pain minor herniat disc improv physic therapi  nsaid  proper sit postur avoid strain  herniat disc may persist 651,spinal disc herniat l4l5 sever left leg pain  im tri avoid surgeri   exercis  heal mri att 651,nan 651,herniat disk  low back pain  femal health  healthi pregnanc  pregnanc  sciatica  manag sciatica  chiropractor
652,like pregnant  u could hormon imbal  fibroid  endometriosi  vagin infect etc  get check  god bless u 652,period 3 week late  2 day spot  cramp  thin milki discharg  abdomin cramp  fatigu  negat test  still pregnant 652,nan 652,stomach cramp  lethargi  pregnanc
653,call pediatrician son rash fever    sound lot like either chicken pox  measl  also mmr vaccin go doctor offic  pleas give call make sure theyr readi keep apart kid may reason  offic may give mask cover mouth nose well  case 653,son rash tummi  back  arm  also littl red spot face  chicken pix vaccin  fever bad cough 653,sore throat  voic disord  throat pain  remov tonsil  hoars  difficulti swallow  laryng  larynx cancer  ear nose throat 653,fever  cough  skin rash  red skin  rash  vaccin  red spot  immun  children  children health
654,possibl gallbladd locat pain symptom complex sound like may gallbladd problem  gallston  import see primari care physician evalu ultrasound gallbladd  gallston  may need diet modif stay away rich food possibl evalu surgeon 654,abdomin pain month noth help gag nausea vomit stab pain right middl upper abdomen elev bilirubin appetitefor 6 go 7 day cant hold food 654,obes  diabet  bariatr 654,vomit  abdomin pain  nausea  abdomin discomfort  belli pain  bilirubin  emesi  nausea vomit  nutrit  gag
655,tooth pain absolut expect shoul get better time goe  doesnt get wors see dentist 655,experienc tooth sensit week two fill replac  normal experienc sensit due reced gum 655,dental pain  dental care  obstruct sleep apnea  cosmet dentistri  dental laser 655,dental pain  cold sensit  bond  composit resin  reced gum
656,foot pain could simpl sprain  damag ligament hairlin fractur etc    first need get xray foot evalu 656,hurt foot constant pain foot cant walk pin needl toe swell 656,diagnost procedur spine  spinal diseas  diagnost procedur nerv 656,stress  broken bone  ecchymos  paresthesia  foot injuri
657,concuss syndrom post concuss syndrom get better time  howev  serious thing happen head trauma bleed head  need see doctor neurolog exam possibl xray 657,three concuss past twelv month  persist headach sinc last one two month ago  pain ear pressur shake head 657,blurri vision  vision  irrit eye 657,concuss
