0,common  routin remov make surgeri complic experienc surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,sinus diseas 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
612,like ibuprofen aspirin fit nsaidsnonsteroid antiinflammatori drug  isnt uncommon allerg aspirin allerg motrin  ibuprofen  alev  naprosen  vicodin contain hydrocodon acetaminphen  neither usual cross react previous mention drug  opioid contain drug ideal migrain manag  talk doc 612,safe take ibuprofen metoprolol  lisinopril hctz  klorcon 10 612,obes  anti age medicin  sport medicin  dermatolog 612,heart failur  metoprolol  zestril  rufen  prinivil  nuprin  motrin  hypertens  lisinopril  klorcon
613,probabl uncommon someon anxieti disord add adhd  howev  medic tricki  stimul like ritalin worsen anxieti  diagnosi add care made  often psycholog test done psychologist help confirm add especi young adult  ad ritalin safe  followup md visit import  drink alcohol med 613,im 100mg trazodon  100mg zoloft 1000mg depakot 2mg risper  seroquel xr 150mg night  feel high 30minut later happen 613,depress  adhd  anxieti disord  teen mental health  attent deficit hyperact disord children 613,zoloft  trazodon  sertralin  seroquel  quetiapin  divalproex  desyrel  depakot
614,need follow go famili doctor   dont find one neighborhood famili friend  need follow prevent care bp 614,yesterday er  chest pain  low diuresi low bpi high bp ecg normal  troponin urin normal  end home bp persist low 10565 could dont feel dizzi txs 614,cancer  hernia  hemorrhoid  wart 614,dizzi  chest pain  abnorm blood pressur  chest pressur  chest tight  angina  hypertens  hypertens  troponin  blood pressur
615,pupp rash sound like rash pregnanc  mani women get itchi red rash known reason  ob make recommend epsom bath even benadryl 615,lump scalp itchi also dandruff explan 615,pelvic pain  uterin fibroid  manag endometriosi  pelvic support surgeri  bioident hormon 615,dandruff  sever itch  treat dandruff
616,yes number possibl explan  best get evalu gynecologist special expertis pediatr teen care 616,possibl child teen get depress like adult 616,abnorm vagin bleed  contracept counsel  intrauterin devic insert  rotterdam polycyst ovarian syndrom pcos panel 616,fussi  depress  teen  psychiatri  children
617,see doc swollen lymph node usual benign usual infect  time could repres someth serious  best thing see doctor  examin  may decid biopsi necessari period watch wait 617,jaw tens wont releas one side   doesnt lock realli tight   could tmj without click 617,pulmonari critic care 617,tmj syndrom
618,otherwis good health even 75  consider risk benefit treatment versus treatment held cerebrovascular expert  one consider may coil aneurysm  involv surgeri  depend locat aneurysm expertic surgeon  success result expect major medic center even surgeri  alway take advantag get anoth opinion  even get inform 618,normal mri mra neck  carotid  posterior fossa  numb face  arm  leg  worri stroke 618,brain tumor  brain aneurysm  trigemin neuralgia 618,tingl  stroke  cerebr vascular accid  numb  mri  magnet reson imag
619,alway certain symptom common due yeast  mani caus detect exam simpl test  big mistak alway assum simpli yeast 619,19  hard get maintain erect  low sex drive  tri stay activ alway sleepi meal  littl chest hair  patchi facial hair 619,exercis  menopaus  hormon replac therapi  heavi period 619,drowsi  loss sex drive  male health  sex  libido  facial  erect  sexual drive
620,headach zoloft headach possibl side effect zoloft trazodon  usual  go away time take medic  case  import let doctor know headach  headach get wors begin symptom confus dizzi  contact doctor right away let know 620,cough medicin child take take 50mg zoloft 2mg abilifi 620,bipolar disord  electroconvuls therapi  transcrani magnet stimul  mood disord 620,cough  zoloft  dextromethorphan cough syrup  sertralin  children  aripiprazol  antituss  abilifi
621,viral  support treatment  fluid tylenol albuterol may help 621,16yr old girl told bronchiti asthma pain long cough gasp air  wheez  mood swing  lung cancer 621,pediatr  childhood immun  medicin herb  yellow fever vaccin  first aid instruct 621,bronchiti  asthma  cough  mood chang  mood swing  wheez  emot instabl  cancer  lung cancer  mood
622,head injuri alzheim head injuri can: disrupt blood brain barrier b caus physic damag neuron  lead generat excess oxid stress  collater damag neuron  head injuri may necessarili caus azlheim brain injuri  creat someth look like  see: http:  www ncbi nlm nih gov pubm term=head+injury+alzheim 622,eeg normal  facial limb twitch eeg  histori convuls head injuri  histori epilepsi far  idea caus 622,depress  adhd  child health  anxieti  panic attack  asperg syndrom  transcrani magnet stimul  behavior therapi  behavior modif  autism  lose weight  stress 622,head injuri  seizur disord  epilepsi  head trauma  seizur  convuls  facial  epilept seizur  eeg normal  eeg
623,med dent probabl medic issu rather dental issu  make appoint w pcp spot visual 623,anyon stye like thing eye pregnanc  small red lump spot near tear duct  ive prescrib fusid acid ointment 623,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 623,stye  sti remov  pregnanc  hordeolum
624,mayb calf pain radiat ankl could dvt certain muscular  ligament  tendin problem give symptom  although swell red certain dont happen time dvt  probabl reason chanc dvt  dr  ryan said  though  real way know get scan 624,itchi circl leg red 3 bump middl     could 624,vein  varicos vein  deep venous thrombosi  venous insuffici  spider vein  varicos vein leg  blood clot leg  sclerotherapi  lymphedema  spider angioma  coumadin  venous stasi  phlebiti  laser ablat  telangiectasia 624,nan
625,tooth gum question  sore gum line could toothbrush abras abfract  prematur contact recess  sore come crown tooth  could infect  infect come decay trauma although combin endoperio  want difinit answer  recommend dental appoint sure 625,sore eye discharg eye stuck togeth  red eye stay school 625,oral surgeri  cosmet dentistri  holist medicin  periodont  orthodontia 625,red eye  sore eye
626,need evalu yes  describ lump evalu primari care physician surgeon  dont delay 626,mammogram 31  fibroadenoma remov sever year ago famili histori breast cancer 626,cancer  melanoma  stomach cancer  laparoscop surgeri  liver cancer  pancreat cancer 626,digit mammogram
627,right away center  put recoveri room 627,torn ligament knee  femur actual slip top tibia could someth fractur use exercis bike  walk strength 627,knee replac  total knee replac  arthroscopi  total hip replac  surgeri  knee arthroscopi  shoulder arthroplasti  partial knee replac 627,broken bone  disloc  ligament tear  exercis
628,see pro isnt diy situat  ask famoli dentist refer wisdom tooth expert  oral surgeon  pleas go problem worsen 628,got four wisdom teeth pull last week  jaw still hurt first second upper molar hurt right side  throb pain  ok 628,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 628,bacteri infect  floss  dental floss  wisdom teeth  tooth extract
629,alway certain symptom common due yeast  mani caus detect exam simpl test  big mistak alway assum simpli yeast 629,best way treat vagin yeast infect  itch burn 629,exercis  menopaus  hormon replac therapi  heavi period 629,yeast infect  candida  femal health  yeast  itch
630,lot tension tmj alon caus headach usual caus neck shoulder pain  may tension headach though usual occur shoulder  neck  posterior head spread  tension headach  tmj swollen lymph node caus stress  first relax  see doctor lymph node persist develop fever addit symptom 630,rearneck back pain 2 mths  less get random daili tight front neck  face  jaw teeth  arm tingl  headach esp  sit long  most gone wake worsen gradual 630,symptomat treatment  emerg medicin  high blood pressur med 630,back pain  headach  tingl  tmj syndrom  dentistri  pain back
631,chronic daili hz condit call chronic daili headach  unsur exact caus start  usual respond usual treatment headach treatment actual make headach wors  tri find headach specialist pediatr neurologist area expertis type headach 631,sister 14 almost 15 two intern stye one eye theyv week think see doctor 631,child health  vaccin  autism  autism spectrum disord  pediatr  sid  foster care  fever  age grace  immun  babi hiccup 631,nan
632,normal quit possibl complic extract site  import keep touch doctor concern post oper symptom  number complic concern includ alveolar osteiti dri socket  infect resist antibiot may present take  see dentist check site 632,wisdom tooth ach last two week heard ear said tooth sinc sore tri clean ear insid hear 632,dental care  dental health  dental procedur  dental pain 632,nan
633,augmentin ok tooth infect augmentincombin amoxicillinclavulan correct antibiot prescrib  recommend see dentist check teeth gum might need local dental treatment along antibiot  go see dentist good 633,tissu face still swollen bad tooth infect  augmentin help infect gum face tissu still swollen treat 633,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 633,periodont  augmentin  amoxicillin clavulan
634,copd certain could  depend medic social histori  smoker 634,possibl asthma constant lightheaded sole sxawaken sob  wheez  chest xray show hyperinfl lung  nonsmok 634,diabet risk  loss vision 634,asthma  lightheaded  wheez  xray chest
635,typic breast pain follow ruptur opposit breast implant typic like reflect progress capsular contractur intact implant side could also indic differ problem  pleas discuss plastic surgeon may advis imag surgic explor 635,2 ekg year still chest pain today left side breast stand walk around like tighten b pain burn littl 635,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 635,chest pain  burn
636,smoker cough bloodi mucus undoubt caus irrit smoker cough made right move stop smoke 636,rule copd cough  mucus actual come frm nose  short breath n slight chest discomfort  chest infectio 636,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 636,cough  wheez  breathless  difficulti breath  smoke  lose weight  dextromethorphan cough syrup  exercis  copd
637,depend cycl quit regular last 28 day  know yoll ovul day 14 everi month sinc egg last 5 day  couldnt get pregnant day 21 would 7 day period  yore irregular  bet 637,girl gave blowjob  kiss  gave oral sex  peni never touch vagina ejacul mouth   could pregnant period end last monday 637,nan 637,sex  pregnanc  menstrual period
638,steroid cream hydrocortison cream  area benedryl oral capsul control itch  intern steroid reserv wors case situat  safeti purpos  condit aris close follow recommend 638,start take new pack birth control yaz week late unprotect sex three day later  could pregnant 638,safeti  clog milk duct  breast engorg  lactat problem  breast pump 638,fertil  pregnanc test  healthi pregnanc  femal health  yaz  oral contracept  birth control  sex  contracept  pregnanc
639,that possibl let wait thorough evalu would includ brain mri spinal cord mri complet self diagnos ms  appreci scari unnerv workup take time  wish provid reassur abl come effect treatment plan diagnosi clear 639,nero found lesion mri  said probabl ms  tomorrow im cystoscopi blood urin  ms bladder problem link 639,back pain  arthriti  pain back  pain joint  physic therapi  knee pain  orthoped surgeri  numb  herniat disk  cardiolipin igm  dementia 639,urinari retent  blood urin  multipl sclerosi  deal blood urin
640,refer paintear unfortun  fail back syndromemean surgeri fail resolv issu  suggest consult good osteopath manipul medicin dr determin actual caus could anyth remain minor disc tear injuri ligament vertebr dysf mds assum disc bulg hernia alway caus  caus  easili fix via manip prolotherapi 640,ive vertigo nausea intens back neck pain  headach  alway 1   mri brain spine normal 1 bulg disc l4   lab normal  pt 3wks improv  next 640,osteopath  pain manag  chronic pain  backach  spine manipul  headach  prolotherapi  nerv injuri  neck pain  back pain  neuropathi  neuralgia  sciatica  migrain  fibromyalgia  chest wall pain  stiff neck  pain medic  chest pain  numb 640,headach  neck pain  dizzi  nausea  bulg disk  mri  magnet reson imag  mri brain  vertigo
641,see dentist could lodg food particl  periodont probem  infect  etc  need dental evalu sort thing ou 641,gingiv isnt get better use mouth rins   gum swollen around 3 teeth  tender  throb 641,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 641,inflamm gum  gum diseas  gingiv
642,complex proper tx  multifacet  medic  duloxetin venlafaxin   tri  well certain anticonvuls  biofeedback  yoga exercis   acupunctur  therapeut massag might help  see neurologist pain mgmt   specialist experi type pain  though ideal  sometim opiod certain pts  option 642,pain neuropathi feet  lyrica didnt help  gabapenten didnt work  would small dose combin work 642,back pain  pain back  sciatica  arthriti  pain joint  psoriat arthriti  mitral regurgit  psoriasi  pinch nerv  cardiovascular diseas 642,neuropathi  nerv damag  lyrica  gabapentin
643,uncommon surgeri swell unexpect  monitor  though  swell persist 45 day 643,gum swollen around wisdom teeth  difficulti swallow  swollen lymph node slight headach  okay 643,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 643,headach  enlarg lymph node  swallow disord  difficulti swallow  swollen gland  deal wisdom teeth  wisdom teeth  wisdom tooth extract  oral surgeri  oral maxillofaci surgeri
644,best see pc  sever possibl exam pc cultur yield answer 644,one sore red spot inner lip vagina  hurt lot initi better day  could herp would get wors 644,nan 644,sexual transmit diseas  red skin  herp  femal health  cesarean section  pregnanc
645,let help blood test cut confus 645,barium swallow report said moder anterior vertebr osteophyt c5 6 c67 earth say endoscopi test post nasal drip issu confus 645,backach 645,post nasal drip  osteophyt  mental confus  endoscopi  c5  barium
646,simpli  chanc good pop abcess far outweigh possibl damag  fact drain still fill indic sourc infect resolv activ infect need immedi attent dentist  put needl pick telephon 646,itchi pink blotch scalp 3 week  dermatologist dont think psoriasi  doesnt realli look like psoriasi  use steroid cream 2 week hasnt chang  could 646,dentistri  root canal  gum diseas  gingiv  inflamm gum  dental care  abscess  cari  child health  teeth whiten  dental cari  periodont  orthodont  laser teeth whiten  abscess tooth  crowd teeth  tooth abscess  porcelain veneer  tooth pain  dental pain 646,psoriasi  steroid
647,alreadi biopsi 2 month ago  dont worri go follow visit  feel clip place refer point identifi sit biopsi site harmless 647,scare cancer lumpi breast numb tingl feel like movement breast right one itchi armpit yellow discharg help 647,cancer  hernia  hemorrhoid  wart 647,tingl  numb  cancer  numb tingl
648,hot cold nodul differenti hot vs cold nodul 648,long wait nuclear medicin thyroid scan  i123  fna biopsi thyroid blood test 648,hemorrhoid  backach 648,thyroid scan  thyroid blood test  nuclear medicin  fine needl aspir  biopsi
649,depend depend amount time pass sinc teeth remov complex procedur  week  case ok resum normal activ ok surgeon procedur  risk earli increas activ bleed  infect dri socket 649,soar gum swollen around back teeth feel like raw hurt chew swallow  wisdom teeth 649,dental implant  craniomaxillofaci surgeri  head neck cancer  tmj surgeri 649,wisdom teeth
650,concuss post concuss headach tough  naproxen help  excerc yoga de stress  caffein  drink water  sleep regular  persist past three month trauma one see headach specialist start prevent medic 650,migrain took 2 excedrin migrain pill 7:30am  still migrain 650,anxieti  pain back  headach  back pain  dizzi  pediatr neurolog  pediatr  aspirin  migrain  brain tumor  stiff neck  melatonin  ach  vertigo  obsess compuls disord  facial pain  advil 650,migrain headach  migrain
651,herniat disc mean herniat disc  disc cushion like piec vertebra  itabsorb shock walk bodi movement  come place press nerv caus numb pain part bodi nerv goe  case nerv l5 s1 vicodin  pt  also get emg  appli pain patch accupuncturd  read http:  doctorrajput com 651,spinal disc herniat l4l5 sever left leg pain  im tri avoid surgeri   exercis  heal mri att 651,cough  child health 651,herniat disk  low back pain  femal health  healthi pregnanc  pregnanc  sciatica  manag sciatica  chiropractor
652,headach headach radiat around head locat one place flash light eye headach  could migrain headach  call prodrom  feel like band around head  could tension headach  hope help  need littl histori fulli help continu  see famili doc 652,period 3 week late  2 day spot  cramp  thin milki discharg  abdomin cramp  fatigu  negat test  still pregnant 652,voic disord  swallow disord  parathyroid disord 652,stomach cramp  lethargi  pregnanc
653,probabl shingl high contagi chickenpox   usual virus blister spread mucous droplet  child probabl expos  yoll see 714 day know sure 653,son rash tummi  back  arm  also littl red spot face  chicken pix vaccin  fever bad cough 653,bacteri infect 653,fever  cough  skin rash  red skin  rash  vaccin  red spot  immun  children  children health
654,decid ultim  undiagnos pain luq year  would recommend get condit evalu eventu diagnos  need ultim decid discomfort someth live sinc year alreadi assum lost weight  symptom  etc   end though  best safe get answer  good luck 654,abdomin pain month noth help gag nausea vomit stab pain right middl upper abdomen elev bilirubin appetitefor 6 go 7 day cant hold food 654,urinari tract infect 654,vomit  abdomin pain  nausea  abdomin discomfort  belli pain  bilirubin  emesi  nausea vomit  nutrit  gag
655,dental exam describ normal  without dental profess comprehens exam  imag studi xray photo studi model  real way give answer solut  followup seek dentist help im sure cure 655,experienc tooth sensit week two fill replac  normal experienc sensit due reced gum 655,dental implant  child health  gum diseas  cari  gingiv  cosmet dentistri  dental care  dental cari  cosmet  teeth whiten  inflamm gum  dental health  teeth  eat healthier  malocclus  diabet type 1  diabet diet  tooth disord 655,dental pain  cold sensit  bond  composit resin  reced gum
656,xray possibl requir xray evalu size natur bump 656,hurt foot constant pain foot cant walk pin needl toe swell 656,nan 656,stress  broken bone  ecchymos  paresthesia  foot injuri
657,need exam that broad set symptom could varieti thing  tmj  neck arthriti  infect  thing  get evalu person  fever unexplain weight loss difficulti normal activ  get check right away 657,three concuss past twelv month  persist headach sinc last one two month ago  pain ear pressur shake head 657,pain manag  mind medit  integr medicin  physic medicin rehabilit  physic rehabilit  guid imageri  fibromyalgia  spine manipul  chronic pain 657,concuss
658,look diphenhydramin generic benadryl  know  tri zyrtec  take 10mg daili  best luck 658,ok take benadryl treat allergi ive tri zyrtec claritin dont work 658,ulcer  cellul  sexual transmit diseas  vitamin  cosmet surgeri  healthi man  emerg medicin  dermal filler 658,constip  sleepi  dri mouth  drowsi  hypersensit  urinari retent  child allergi  loratadin  sleep  dri eye
659,viral  support treatment  fluid tylenol albuterol may help 659,asthma would caus wheez 33 yr old girl allerg asthma 659,pediatr  childhood immun  medicin herb  yellow fever vaccin  first aid instruct 659,bronchiti  asthma  bronchospasm  inflamm  wheez  foreign bodi  copd
660,gum remov tissu remov wisdom tooth help suffici room tooth erupt   tooth remov 660,why10day wisdom teeth surgeri pain2 lump jaw side hurt 2touch still cant open mouth hurt 2 put pressur teeth numb   lip chin etc 660,dental care  dental pain  dental health 660,numb  surgeri  wisdom teeth
661,mani lyrica  cymbalta  tca like desipramin amitriptylen  anticonvuls like keppra  topamax  tegretol  teilept  lamict  also consid supplement alpha lipoic acid  acetylcarnitin  fish oil proven efficaci dn 661,take cymbalta neuropathi  take 2 mgs klonopin anxieti ive take one 5mg oxycodon pain day take pain amount cconsid safe day 661,chronic pain  anesthesia 661,addict  feel anxious  neuropathi  nerv damag  panic attack  benzodiazepin  oxycodon  oxyir  klonopin  roxicodon
662,drive sure scari ob check idea  tri primari care  sure drive  much  remind use handrail  stay away height  keep drink fluid  drive  answer found  er anoth opinion sure  drug alcohol either cours 662,34 wks pregnant  prescrib augmentin sinus infect read studi drug caus necrot enterocol 662,nan 662,sinus  necrot enterocol  pregnanc  augmentin  amoxicillin clavulan
663,bp potassium would recommend check blood pressur well potassium level  may low especi due albuterol use asthmat  caus lightheaded 663,chest xray show low moder air trap copd 663,nan 663,xray chest  copd
664,depend cycl quit regular last 28 day  know yoll ovul day 14 everi month sinc egg last 5 day  couldnt get pregnant day 21 would 7 day period  yore irregular  bet 664,sexual activ miss period 8 day  took 3 pregnanc test said negat  wouldnt  get period 664,nan 664,pregnanc  menstrual period
665,complex sure ask  would suggest consult spine surgeon  perhap physiatrist also  point direct rehabilit  bladder complic current  need immedi treatment  perhap urologist may also requir  delay 665,disc herniat s1 l5   surgeri option   disc  fuse 665,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 665,herniat disk  surgeri
666,hard tell inform need  probabl see doctor sooner later  viral syndrom one mani possibl 666,wont someon tell what wrong help night sweat 100 fever alway hair fall sore head leg heavi pain  cant catch breath alway tire  memori go  pain lump shoulder 666,vitamin defici  vitamin supplement  vitamin b12  hypothyroid  underact thyroid  celiac diseas  gluten free diet  depress  mthfr dna mutat  homocystein  chronic fatigu  lyme diseas  magnesium defici  integr medicin  hyperthyroid  magnesium sulfat  hashimoto thyroid  triiodothyronin  revers rt3  magnesium rbc 666,fever  night sweat  hair loss  memori  sweat night
667,need seen expect degre pain follow remov wisdom teeth  may also limit open mouth due swell sore muscl mastic  swell neck difficulti swallow suggest possibl acut infect need immedi attent surgeon 667,excruci pain right side mouth  throb jaw pain  tooth ach  sore gum   facial swell  lip numb  low grade temp 667,wisdom tooth extract 667,tooth pain  jaw pain  numb  facial swell  facial
668,possibl possibl infect wisdom tooth caus enlarg gland  see dentist asap  untreat infect caus serious problem  dont wait 668,tooth infect caus swollen gland one side throat start penicillin throat go back normal 668,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 668,dental abscess  dental care
669,faith bad pain  moder discomfort heal correct  blood clot form bodi job 669,wisdom tooth extract 2 hrs ago cant stop bleed sinc mouth full blood dentist say normal big headach 669,fals teeth  periodont  cosmet dentistri  crowd teeth  partial dentur  sore mouth  miss teeth 669,headach  tooth extract  wisdom tooth extract
670,itchi bump still could ingrown hair even didnt shave  tri hot compress bed  itchi pain  put littl overthecount hydrocortison cream coupl day lessen symptom  doctor abl figur one quick see 670,itch insid around vagina small bump feel sore wit larger bump herp 670,allergi  cancer  throat pain  sore throat  anxieti  rhiniti  cough  hypertens  male health  pap smear  dizzi  lightheaded  depress  femal health  chest pain  arthriti  numb  bleed 670,herp  std  chlamydia infect  candida  std prevent
671,could alert dermatologist chang exist mole  time see dermatologist 671,surgeon scope  test recent colostomi remov revers   test reveal sign diverticul  know show pollyp etc 671,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 671,diverticul  inflamm  cancer  polyp  colostomi
672,tooth gum question  sore gum line could toothbrush abras abfract  prematur contact recess  sore come crown tooth  could infect  infect come decay trauma although combin endoperio  want difinit answer  recommend dental appoint sure 672,found pea size lump outsid vagina bottom  could br sore red 672,oral surgeri  cosmet dentistri  holist medicin  periodont  orthodontia 672,nan
673,get lab   get physic exam  lab  back radiograph first 673,right lower back pain urin test specif graviti 1 030 blood modern  ph 5 5 urobilinogen 2mg dr said possibl kidney stone   wait ct 673,nan 673,back pain  kidney stone  nephrolithiasi  low back pain  pain back  kidney stone  comput tomographi  urin
674,see sinc bone total immobil may motion fractur site caus bone callous format  decreas byt may take year 674,4 metatars fractur  wore cast 4 week  remov doctor told heal  normal pain  cant walk proper 674,wart  toenail  ingrown toenail  athlet foot  plantar fasciiti  plantar wart  toenail fungus 674,cast
675,sever possibilit may infect   salivari gland inflamm infect  pharyng  dental infect  pleas see physician asap prevent serious complicationinfect 675,suffer migrain  palinopsia  vertigo  nausea  pain joint  fatigu  dri mouth burn tongu  swollen salivari gland throat help 675,dental implant  oral surgeri  bone graft  oral maxillofaci surgeri  tmj syndrom  nerv injuri  sleep apnea  snore  bone graft  dental implant  cosmet dentistri  cosmet surgeri 675,dri mouth  dizzi  nausea  pain joint  migrain headach  burn mouth syndrom  lethargi  migrain  salivari gland  vertigo
676,cannabi use mother  studi vanderbilt univers medic center link cannabi ectop pregnanc earli miscarriag 676,quit smoke marijuana 9 week pregnant  babi born thc system 676,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 676,smoke  pregnanc  quit smoke  tobacco cessat  marijuana  ganja  cannabi
677,nerv conduct studi  pleas specifi numb top foot sole 677,4 align foot fractur surgeri  doctor remov fiberglass cast 3rdweek xray  prescrib walk boot  earli 677,nan 677,walk boot  surgeri  roentgen ray  cast
678,monitor center lymphat system absorb carri thing big go arteri vein like bacteria eaten white cell digest food  lymph node tast lymph anyth bad like bacteria virus cancer  etc  detect problem  alert immun system bodi react  enlarg respons inflamm creat react  shrink well 678,besid breast cancer lymphoma  els caus hard  immov  nontend lump collarbon area infraclavicular node left side thx 678,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 678,breast cancer  breast carcinoma  cancer  lymphoma
679,monitor center lymphat system absorb carri thing big go arteri vein like bacteria eaten white cell digest food  lymph node tast lymph anyth bad like bacteria virus cancer  etc  detect problem  alert immun system bodi react  enlarg respons inflamm creat react  shrink well 679,kid swollen glan aka sore throat  use hate haggl salt water  caffein free tea 679,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 679,sore throat  throat pain  fever  high fever  immun diseas  protein  honey  sodium  children  caffein
680,unlik     urin pregnanc test detect pregnanc two week concept first day miss period  make sure time frame test come conclus  symptom vagu present mani situat 680,reoccur 1 canker sore spot  got test herp 2 month ago came back negat 680,depress  child health  anxieti  mens  dementia 680,herp  canker sore  aphthous stomat
681,seek medic help common symptom concuss headach  dizzi  feel tire  addit symptom includ memori problem  nausea vomit  troubl think  rational addit evalu ensur structur damag blood clot skull fractur might need neurosurg intervent 681,everi time stand vision blur get dark  feel weak everywher head start heat   get dizzi well 681,cancer  brain injuri  arterioven malform  glioblastoma  tbi 681,dizzi  vision  feel faint
682,know etiolog gbms  believ seri mutat affect certain growth factor still defin  dataexperiment epidemiologicalthat demonstr relationship stress develop gbms 682,moveabl painless lump front neck r ear chin  symptom  5 plus year   worri cancer 682,cancer  brain injuri  arterioven malform  glioblastoma  tbi 682,cancer
683,world one want get pregnant either take effort prevent pregnanc numer physic chemic option call birth control  take emerg contracept encount  take adult move prevent pregnanc test pregnanc react either plan adopt abort  easier birth control 683,hi six day sinc sex  lower part stomach sore almost like bad cramp  dizzi could pregnant 683,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 683,dizzi  pregnanc  sex
684,probabl infect like vertebra howev need return gp still symptom  clindamycin may drug choic probabl need administ iv time  check back gp soon infect becom life threaten 684,3 week sinc infect tooth pull swollen gland jaw 2 month day 4 clindamycin final reduc inflamm mani day normal 684,tooth pain  babi bottl tooth decay  tooth disord  tooth abnorm 684,inflamm  tooth extract  clindamycin  cleocin
685,connect inflam tonsil due placement brace  didnt say ent thought problem suggest rx  tonsillectomi discuss 685,could sleep studi substitut eeg sleep problem ent doctor didnt suspect osa 685,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 685,insomnia  snore  sleep  sleep studi  snore  ent head neck surgeri  eeg  ear nose throat
686,infect infect  yes  best result wisdom teeth  make sure evalu treat board certifi oral  maxillofaci surgeon 686,dull ach back top two teeth slight swell  alreadi wisdom teeth everyth clear last checkup anyth worri 686,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 686,dental care
687,yes urin test blood test negat menopaus 687,boyfriend sex 7 19  7 23  7 24 ovul  cramp light spot extrem bloat pregnant 687,mens  sexual transmit diseas  pelvic exam 687,abdomin bloat  ovul  pregnanc  sex
688,depend cycl quit regular last 28 day  know yoll ovul day 14 everi month sinc egg last 5 day  couldnt get pregnant day 21 would 7 day period  yore irregular  bet 688,breast feel itchi \u0026#40nipples\u0026#41 ive mild cramp ive takin nap offend thirsti 10dpo could pregnant 688,nan 688,pregnanc  nap
689,manag may allerg reaction infect  allerg reaction typic associ high fever thick nasal drainag  would suggest rins eye gentl salin solut take antihistamin claritin  worsen persist symptom  pleas check physician 689,inner ear top throat itchi  nose block also runni  eye wateri  allerg  anyth know 689,pediatr pulmonolog  pulmonolog  infant health  infant toddler health  prematur deliveri 689,sever itch
690,blow job high unlik achiev pregnanc mechan describ  woman ovul length cycl  14 day  e g   28 day cycl day 14  30 day cycl day 16    make unlik could get pregnant encount 690,intercours sperm rub inner wall vagina insid two week earli period pinkish red normal could pregnant 690,ovul  contracept  oral contracept  sonogram  levonorgestrel 690,sperm  pregnanc
691,2 day current photometr monitor blood cultur  real posit cultur identifi 24 hour incub  virtual 48 hour  blood cultur posit 48 hour incub must view possibl contamin drawn venipunctur central line 691,long take blood clot dissolv replac soft tissu get wisdom teeth 691,cancer  sickl cell diseas  child health  pediatr oncolog  anemia  low blood count  thalassemia  beta thalassemia  hematolog  childhood leukemia 691,blood clot  wisdom teeth
