0,cool mist humidifi use nasacortov counter 1 spray nostril day 34 day 0,use salt water nasal spray help prevent develop perfor septum 0,children health 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
376,call center need diagnost mammogram ultrasound schedul separ center screen mammogram  center abl make appoint though need order primari doc center may abl facilit obtain paperwork 376,lump left breast 7 month ago mammogram doctor said noth late enlarg signific 376,sonogram  ct scan  mri scan  digit mammogram  ultrasound breast  mammogram  musculoskelet condit 376,digit mammogram  femal health  mammogram
377,possibl could caus thing besid caviti  gum diseas  necrot tooth  viral infect  see dentist rule tooth gum relat caus see doctor follow 377,left side throat swollen  along feel slight pressur lower jawlin insid ear swallow  concern 377,teeth  root canal  dental care  tooth pain  dental health  hsv  gum diseas  antibiot  dental xray 377,throat swell
378,unlik     urin pregnanc test detect pregnanc two week concept first day miss period  make sure time frame test come conclus  symptom vagu present mani situat 378,doctor give urin test found infect  last yr nov got antibiot went back jan found urin infect got antibiot went today found uti 378,depress  child health  anxieti  mens  dementia 378,urinari tract infect  urin  antibiot
379,time get check shigella  salmonella bacteria caus bloodi diarrhea  best get seen doctor obtain cultur  definit diagnosi treatment 379,stomach cramp  diarrhea 10 time day  nausea  dr found occult blood stool mucous  high esr  gallbladd ultrasound next week  grandma ib brother uc  could caus 379,dizzi  headach  seizur  seizur disord  depress  migrain  epilepsi  memori  vitamin b12  head injuri  head trauma  traumat nerv injuri  traumat brain injuri  aphasia 379,loos stool  diarrhea  nausea  dysenteri  ulcer coliti  irrit bowel syndrom  blood stool  gastrointestin bleed  digest bleed  occult blood
380,could neuropathi often time  neuropathi improp nerv function signal caus symptom  various caus neuropathi  nondiabet  common caus seen spinal stenosi disc problem back  caus could diabet  b12 defici  alcohol  back condit pain  check  see podiatrist neurologist 380,ach pain arm  hand  leg  feet w occasion tingl  fall  back pain feel pressur lower spine  rule diabet  aid  nutrit def  im 28  idea 380,foot care  diabet foot  pediatr 380,neuropathi  diabet neuropathi
381,depend like dr  kass answer  realli depend type reconstruct correct toe need  may need screw pin  outpati vs  offic  hospit vs  surgeri center  averag  insur cost rang $25004000 usd said done facil  surgeon  anesthesia  hardwar 381,like callous two toe  hurt whenev kind bump someth  small hard part hit flesh hurt 381,numb  orthot  wound heal  diabet  children health  peripher neuropathi  lymphedema  foot ankl injuri  diabet foot 381,foot surgeri  hammerto correct  hammer toe repair  hammer toe
382,enhanc signal antidepress enhanc effect natur chemic messeng brain  differ antidepress may enhanc differ chemic therefor everyon respond med may need combin medic  wellbutrin work adrenalin dopamin most  ssri med like prozac lexapro work most serotonin  describ book: psychiatri techno color 382,mani mds assum depress anxieti cant find problemmi former md miss lupus diagnosi wasnt depress 382,depress  bipolar disord 382,feel anxious  depress  system lupus erythematosus  hopeless  myelodysplast syndrom  melancholia  anxieti
383,possibl  need throat cultur determin strep versus someth els  take child doctor examin 383,swollen gland neck  sore throat   ear ach tonsil areinflam cover white patch  strep throat 383,nan 383,throat pain  sore throat  strep throat  streptococc infect  enlarg lymph node  swollen gland  enlarg gland
384,yet  dens breast often decreas effect mammogram  concern mammogram could consid ask mri perform breast may add addit inform help determin anyth concern 384,area dens breast tissu appear within year mammogram area disappear 384,lung cancer  colon cancer  lymphoma  breast cancer  ovarian cancer  low blood count  leukemia  anemia  sickl cell diseas  brain tumor  head neck cancer 384,mammogram
385,yes depend size composit stone might visibl x ray  see doctor persist pain 385,came hosp bad flank pain lot blood urin   kidney stone still kidney  infect urin  bw came back ok  could  fu urologist 385,lose weight  diabet 385,blood urin  urin look like blood  kidney stone  nephrolithiasi  urinari bleed  urin  urolog
386,dont neglect young  lump especi newli discov one breast around breast check  see physician check clinic need mammographi famili histori yes  even urgenc 386,nag sore left rib cage right left breast  bother cough blow nose 386,surgeri  varicos vein  vein  spider vein  sonogram  varicos vein leg  sclerotherapi  ultrasound extrem vein  superfici thrombophleb  leg surgeri 386,cough  femal health
387,possibl mucus retent cyst reflect chronic sinus often caus pain depend locat sinus blockag  blockag sometim cannot seen mri 387,constant headach right side head behind eye 2 week  throb pressur  noth help  besid coffe water sometim  advice|recommendaact 387,ct scan  cancer  thyroid nodul  pet scan  mri head  mri scan  breast carcinoma  breast cancer  stress  surgeri  exercis  wrist pain  cerebr vascular accid  costochondr  rib fractur  stroke  skeleton xray  ultrasound 387,headach  neoplasm  cancer  magnet reson imag  mri brain  mri
388,baselin age 3540 debat util mammogram age 4050 howev  current recommend baselin mammogram  year mammogram start age 40  1 st degre relat breast cancer young age  mammogram start 10 year prior age diagnosi  discuss time doctor decid what best 388,true breast lump tumor breast year two mammogram see 388,breast cancer  trauma center 388,neoplasm  breast cancer  breast carcinoma  breast lump  cancer  femal health  imag  mammogram  digit mammogram
389,perhap could abscess breast although would like still fever  mass breast could cancer  necessarili inflammatori breast cancer new mass breast need workup includ exam  mammogram possibl ultrasound mayb biopsi 389,soon breast reduct surgeri begin take phentermin averag 389,breast cancer  melanoma  breast surgeri  breast diseas  immunotherapi 389,pain medicin  pain medic  femal health  surgeri  phentermin  ionamin  fastin  breast reduct surgeri
390,get workup chang breast warrant workup  see primari care doctor obgyn  get mammogram concern proceed accord  famili histori mean need get assess rather dismiss breast pain  swell  skin chang  discharg 390,sore nippl tender breast mean breast cancer swell breast period come pregnant 390,sciatica  brain tumor  chiari malform  microdiskectomi  cervic spinal disk remov 390,mens  breast cancer  breast carcinoma  cancer  sore nippl  menstrual cycl  femal health  healthi pregnanc  pregnanc
391,yes work show  good luck 391,u hida scan 7% ef pain nausea  negat  ct u ultrasound gallbladd surgeon  go unsur  rt rib shoulder neck  press 391,breast cancer  lung cancer  oncolog  hematolog 391,nausea  cramp pain  biliari colic  colic  sonogram  feed  hida scan  comput tomographi
392,normal quit possibl complic extract site  import keep touch doctor concern post oper symptom  number complic concern includ alveolar osteiti dri socket  infect resist antibiot may present take  see dentist check site 392,rough month sinc wisdom teeth wereremov  swell  tender  heat jaw area  possibl bone infect 392,dental care  dental health  dental procedur  dental pain 392,teeth  wisdom teeth
393,could  block eustachian tube  consult pcp 393,tmj left side  go 2dentist regularlydul left ear jaw cheek ach @ time   tmj someth serious unknown hpv type 2005  cancer lump 393,oral surgeri  tooth pain  dental health  abscess  gum diseas  dental abscess  sedat dentistri 393,tmj syndrom  cancer  nutrit  yawn  hpv  nerv
394,probabl say f ever faint dizzi spell famili histori heart diseas  faint dizzi spell  sudden death  absent  like reason test 394,check heart   done lot test  egc  echo  holter  stress test  say heart fine  today feel heavi pain chest 394,arrhythmogen focus ablat  pacemak implant defibril  neural mediat reflex syncop  autonom nervous system disord  heart arrhythmia 394,stress  stress test  holter monitor  echo
395,medic  tonsillectomi pain adult  prescrib strong narcot pain medic  pain persist week  id someon look tmj  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr 395,sharp pain templ  jaw click  pain radiat side face  ear back head  sometim toothach  could tmj 395,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 395,tooth pain  tmj syndrom  exercis  dental care  manag tmj
396,start ent sure doc refer general dentist primari care physician would recommend see ent specialist start  also consult dentist experienc train deal tmd\tmj issu cover base 396,muffl left ear pain insid  neck jaw line   cannot feel anyth swollen area  red lump   could ear infect 396,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 396,ear infect  tmj syndrom  manag tmj  otiti media  tmj surgeri
397,need exam possibl biopsi  see ent u start pcp dentist  good luck 397,tonsil swollen hurt like needl throat  saw yellow thing come one hole tonsil 397,headach  numb  surgeri  exercis  bruis  sleep  diabet  ulcer  chest pain  cough  exercis  broken bone  dementia  hypertens  eat healthier  wound  sport medicin  heart diseas  joint 397,nan
398,cancer mouth oral cancer painless  make challeng find  may viral infect caus swell inflamm  could mononucleosi 398,white rais line cheek 6  week   red bump back tongu  node left jaw sore  could oral cancer  hiv 398,root canal  abscess  cancer  sleep  oral thrush  candidiasi  heart murmur  tooth pain  dental pain  advil  fals teeth  oral surgeri  dental cari  cari  tmj syndrom  dentistri  umbil hernia  massag  surgeri  disloc 398,human immunodefici virus  cancer  oral cancer  mouth cancer  hiv  red bump
399,headach complex migrain caus vertigo  blurri vision  weak  nausea  tri otc migrain med exedrin  relief see primari doctor med use prevent migrain 399,issu l4 l5 s1 also sacroilit scoliosi develop neropothi leg segest treatment mri yet 399,intern medicin 399,scoliosi  abnorm curvatur spine  magnet reson imag  mri
400,good valu excel  hdl nearest abnorm 43 threshold 40  best keep eye  maintain healthi weight exercis regular  assum smoke normal blood pressur 400,50i 85k   ht 56 chol 197 hdl  42 ldl 109 vldl 19 tryglycerid 96    heart patient bp 150 90 400,diabet  obes  hypertens  hypercholesterolemia  hypertriglyceridemia  cardiovascular diseas  heart diseas  hypoglycemia  gastroplasti  glyburid  leptin  bipolar disord  ventricular fibril  vitamin e  vitamin b9  ascorb acid  nitroprussid  hypogonad  allopurinol  norepinephrin 400,heart diseas  ldl  triglycerid  hdl  blood pressur
401,sprain fractur inf could sever patholog  one toe sprain hyperflexion extensionturf toe  anoth could fractur  long toe displac buddi splint fine  last soft tissu infect possibl athlet foot skin diseas  hope help answer question 401,hi realli embarrass moment 37 week pregnant n itchi clitori n quit sore scratch also red n littl swollen what wrong 401,surgeri  plantar fasciiti  bunion  fungal nail infect  neuroma  flat feet  flatfoot  bunion repair  hammerto correct  morton neuroma  foot fractur  heel injuri disord  heel fractur  heel surgeri  venous stasi  diabet ulcer  diabet foot  wound heal  ankl fractur surgeri 401,pregnanc  37 week pregnant
402,yes dri socket unbear pain  see oral surgeon pain level high  jaw pain common postur jaw wide open extend amount time  lower level pain 402,got upper right wisdom tooth remov infect caviti 5 day ago  augmentin 3 dayfor 7 day  infect back locat wisdom tooth  doc appoint 2 day wrong 402,nan 402,dri socket  tooth extract  wisdom tooth extract  augmentin  amoxicillin clavulan
403,pain see dentist oral surgeon valid pain  may tmj problem  unerupt wisdom tooth  problem dentist best abl diagnos treat 403,hey  got sore  red  swollen gum left side  tooth pain discomfort  sinus issu though  could sinus infect caus 403,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 403,dental pain  sinus  tooth pain  oral surgeri  pain discomfort  oral maxillofaci surgeri
404,claritin suffici control symptom  chang anoth long act antihistamin otc  benadryl great short term use sever symptom hive side effect bother  play outsid  shower flush nose salin get pollen  keep window close  see doc ask medicin might help need 404,what best allergi medicin allegra  claritin zyrtec 404,vaccin prevent ill  behavior problem 404,season allergi  allerg rhiniti  non sedat antihistamin  zyrtec  claritin  allegra
405,achill tendin sound like structur problem due lack support arch caus foot cramp pain knee thigh  arch collaps put ad pressur achill tendon caus pain  tri otc super feet insert good stabl run show  improv seek dr custom orthot 405,weird feel back knee almost like hit funni bone  tingl also  radiat foot pain foot sometim calf also  could swell 405,ankl fractur  talus fractur  sport activ  achill tendon injuri 405,tingl
406,yes depend size composit stone might visibl x ray  see doctor persist pain 406,distil water orang juic help kidney stone prevent cant find solid info way 406,lose weight  diabet 406,nephrolithiasi  kidney stone  kidney stone
407,yes  sinc wisdom tooth crack like need extract  make appoint local dentist evalu  infect spread treat prompt  feel better soon 407,know infect tooth spread im amoxcillin  sore ear throat  spread dont see abscess  help 407,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 407,abscess  amoxicillin
408,get sleep studi pleas see sleep md  experienc classic reaction bodi breath  call sleep apnea serious 408,believ myocard  known suffer anxieti palpit reccur everi often also cough feel mucus  period fatigu will get bed everi morn 408,sleep  dizzi  tooth pain  tmj syndrom  daytim sleepi  gum diseas  drowsi  oral hygein  dentistri  sleep apnea  loud snore  dental care  migrain headach  mouth brace  periodont  morn headach  bad breath  miss teeth  thumbsuck 408,feel anxious  cough  palpit  myocard  anxieti
409,yes typic lower molar sometim bicuspid inflam infect pulp refer pain ear  seen axillari node swollen dental abscess 409,ive got caviti tooth  may infect pain  headach  earach  swollen gland  caus   cant function without pill 409,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 409,earach  headach  swollen gland  enlarg lymph node  enlarg gland  caviti
410,unlik may want easili remov  best  enjoy babi 410,ive pcos  got cyst r  ovari  ruptur  came back month period got ultrasound gone ovari enlarg lot+pain 410,bipolar disord 410,insulin resist syndrom  polycyst ovari syndrom  metabol syndrom  sonogram  ruptur  women health  menstrual period  menstrual cycl
411,either pen vk amox work well dental infect  allergi  clindamycin drug choic  clindamycin broader spectrum antibiot use cillin dont work allergi 411,feel pressur area infect tooth pain  use antibiot  safe pull 411,child allergi  cancer  fever  hypersensit  teeth  chemotherapi  vomit  cold sore  child health  perspir  throw  dental cari  femal health  colon cancer  healthi pregnanc  children health  allergi  cari  composit fill  fluorosi 411,antibiot
412,medic medic solv problem  pleas see local dentist definit care  horribl toothach heal without treatment 412,burn  achi pain behind upper wisdom tooth  tooth fine  dentist say tmj  motrin tylenol doesnt help  tmj caus achi miser 412,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 412,tmj syndrom  motrin  tylenol  ibuprofen  acetaminophen
413,jaw muscl pain appear serious tmj muscl dysfunct caus muscl go spasm jaw joint tmj misalign  serious need treatment dentist skill treat tmj  5% dentist realli good realm familiar multipl treatment option select base patient need 413,ct scan rule brain aneurysm 6 month pain behind right ear upper neck dizzi blur vision  ct normal  next 413,tmj syndrom  tooth pain  dental implant  dental care  ach  manag tmj  emerg medic care  dental bridg  dental procedur  emerg dentistri 413,dizzi  blurri vision  hazi vision  aneurysm  brain aneurysm  comput tomographi  ct scan  irrit eye  vertigo  vision
414,depend new could repres acut viral bacteri process  acut would case  longer like greater 6 week  could relat reflux  see doctor 414,felt ill   chill bad sore throat   mayb cold today  notic small discolor tongu side black bump near back  cancer 414,nan 414,throat pain  sore throat  cancer
415,possibl unfortun realli good way tell without examin  herp usual caus pain sore itch  tri see doctor fair soon herp cultur accur first day outbreak 415,comparison fordyc spot wart herpes: fordyc spot occur larger number 50100s wherea herp wart fewer number correct 415,nan 415,wart  herp
416,see doctor evalu  diagnosi treatment 416,light brown tan  littl bit darker center  dri  rais  irregular  spot side breast  size dime  recent breast itchi  hot 416,diabet  women health  hyperlipidemia  hypertens 416,ringworm  breast size
417,mani possibl would recommend see doctor  symptom could mani differ problem  strep throat high probabl also peritonsilar abscess  viral case  tonsil other 417,pain r low abdomen wors sex  acid reflux daili bout diarrhea constip nausea  diarrhea saturday stop sinc 417,nan 417,constip  reflux  nausea  diarrhea  loos stool  sexual intercours  sex  acid reflux
418,possibl unfortun realli good way tell without examin  herp usual caus pain sore itch  tri see doctor fair soon herp cultur accur first day outbreak 418,girl pregnant virgin peni get insid vagina half peni got around 8 time without releas sperm 418,nan 418,sperm  pregnanc
419,yes urin test blood test negat menopaus 419,miss period 34 day pregnanc test four time  result show negat 48 yrs old  sexual activ  pregnant menopaus 419,mens  sexual transmit diseas  pelvic exam 419,pregnanc test  pregnanc  menstrual period  menstrual cycl  menopaus
420,radiculopathi depend sever arthriti  earlier stage physic therapi help  sometim epidur steroid inject may give short term benefit 420,ruptur l4 l5  recent start groin pain two epidur 2 week ago  leg pain stop  groinhav injur s1 420,heart diseas  nutrit  diabet  thyroid nodul  abnorm heart rhythm 420,leg pain  ruptur  lumbar disc microsurgeri  epidur
421,see doc pleas seen either urgent care clinic ed today  may strep pharyng  ear infect  remot possibl mening  like viral upper respiratori infect best rule serious ill 421,swollen lymph node headach  left eye pain sore throat hard breath especi outsid heart race heart race joint pain weight hair loss nosleep 421,nan 421,throat pain  sore throat  joint pain  eye pain  bald  headach  hair loss  breath difficulti
422,certain hemoglobin 10  anemia  diseas caus anemia  includ vitamin defici b12 caus fatigu  depress  anxieti  need care examin find problem  includ check cancer  inflammatori diseas  vitamin defici  ulcer  bleed state  etc   particular postur tachycardia  schedul week 422,chronic fatigu  tired  general feel  back flank pain  gerd  ib  migrain headach  palpit  wake sleep race heart  low vitamin level  ferritin level 14  tsh fluctuat could 422,anxieti  depress  panic attack  child health  sleep  irrit bowel syndrom  atrial tachycardia  thyroid diseas  postur hypotens  mitochondri disord  autoimmun disord panel  chronic fatigu  bipolar disord  insomnia  psychiatri  femal health  sertralin  zoloft  chronic fatigu syndrom  klinefelt syndrom 422,headach  migrain headach  irrit bowel syndrom  chronic fatigu  palpit  vitamin defici  migrain  lethargi  sleep  thyroid stimul hormon
423,yes yes tri keep salin clean possibl 423,take  direct  hydrocodon 10325 tramadol 10 mg  tramadol  use advil allev instead  mani thank 423,asthma 423,renal impair  advil  hypertens  alev  narcot
424,pancreat cancer pancreat cancer rest 25 year old usual caus pain upper abdomin back    llq  negat workup  pain like due benign caus irrit colon  constip even simpl colon gas  probabl noth serious check ct scan abdomen pelvi persist 424,constip appendectomi  appendix 4 5 week ago bad abdomen pain  cramp  like wash machin  wind stool loke rabbit pellet would issu pain 424,breast cancer  colorect cancer  lung cancer  pancreat cancer  liver cancer 424,constip  abdomin pain  fece  remov appendix  appendectomi  wash
425,stds none symptom repres common std includ hiv  syphili  herp  chlamydia  gonorrhea 425,test posit  chlamydia  negat hiv  gonorrhea syphili  given  one time 2 tablet treatment azithromycin  week suppli erythromycin serv pain stomach  poop  urin help 425,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 425,loos stool  indigest  heartburn  diarrhea  gonorrhea  dysenteri  human immunodefici virus  syphili  allerg reaction  antibiot
426,possibl ulcer may aphthous ulcer  persist check 426,lost voic two month  start pharyng  tooth extrem sore  week ago    found tooth abscess  remov yesterday given antibiot voic come back like infec 426,sore throat  throat pain  runni nose  rhiniti  allergi  pimpl  hypersensit  ent head neck surgeri  sinus pain  cough  home remedi 426,abscess  voic disord  pharyng  antibiot  ent head neck surgeri
427,see combination: ibuprofen tend reduc elimin action tylenol  better take 1aspirin + 1tylenol enhanc  even though differ thing  work handinhand  also stay warm take suffici water oppos fluid  coffe  tea  soda soda particular damag human bodi  get total 427,horribl toothach tylenol help  take 600mg ibuprofen coupl day take 20mg lisinopril past 2 week 427,tmj syndrom  tooth pain  dental implant  dental care  ach  manag tmj  emerg medic care  dental bridg  dental procedur  emerg dentistri 427,tooth pain  nuprin  zestril  rufen  prinivil  tylenol  motrin  lisinopril  ibuprofen  advil
428,pleurisi usual pain occur deep breath sign irrit tissu chest  often  irrit intern line chest pleura feel like pain tissu becom irrit  deep breath caus tissu rub  injuri rib muscl  get check 428,ive product cough near 6 month  well chest pain left side breast bone  27 yearold male  smoke year  cancer 428,chest tight  angina  chest pressur  chest pain  arachnoid cyst  sonogram  rapid heart beat  femal health  pulmonari fibrosi  atrial fibril  cerebr vascular accid  stroke 428,sprain strain  product cough  cough  chest pain  fatigu  perspir  malais  lethargi  chest tight  chest pressur
429,headach headach caus complic  difficult diagnos make  sinc wake night  make appoint doctor complet evalu  doctor take thorough histori neurolog evalu tri find caus symptom  may want think answer question may ask as:  start  often happen  get frequent pain  long last  headach feel like point  occur around time night ever happen day  symptom occur regard headach  big life chang  lifestyl get enough sleep  eat well  exercis  take medic drink caffein much answer question may help doctor figur caus headach  whether serious problem  help  good luck 429,slept last night  yesterday  horribl anxieti attack last day  took  5 ativan 730 8pm anoth 3am  could im tire head full heavi  dizzi 429,nan 429,feel anxious  dizzi  ativan  anxieti
430,wrong med ativan lorazepam use short term treat anxieti  high addict  wors  aggrav  case  caus depress  yes  caus sedat  might use insomnia  isnt recommend long run  lose effect  noth even reason taper physician supervis dont stop abrupt  consid cognit behavior 430,havent get good sleep past day  anxieti bad  everyth seem like dream  talk therapist er told take ativan amd sleep  nervous take 430,testosteron  androderm  male health  testoderm  erectil dysfunct  inabl sustain erect  inabl attain erect  dementia  alzheim diseas  dht  muse  hypogonad  fluphenazin  alprostadil  impot  viagra  erectil failur  prolixin 430,feel anxious  therapist  sleep  ativan  anxieti
431,sleep critic sleep must deal anyth  sinc yore talk therapist  hope yore work find under reason anxieti develop cope tool manag  ativan common prescrib anxiolyt  short halflif 4 hour userfriend  howev  med could tri yore nervous one 431,2mg valuim help fall asleep ive talk ativan took 1mg earli morn got mayb 2 3 hour sleep   therapist said tri valuim  realli want zzz 431,nan 431,insomnia  valium  insomnia med  therapist  sleep  ativan
432,hard know moleremov cream general approv fda  herbal natur deriv  rigor test signific side effect short term long term  would advis see dermatologist  look ok  probabl dont need remov 432,asymmetr mole foot remov today  grow past month im pregnant  could cancer im scare 432,cancer  melanoma  stomach cancer  laparoscop surgeri  liver cancer  pancreat cancer 432,mole  cancer  pregnanc
433,see oral surgeon would suggest see oral surgeon assess symptom  told cystic degener around impact wisdom tooth treat os  put even resolv return like wors next time 433,wisdom teeth impact extract meantim past week bad jaw pain  ear ach  tmj wisdom teeth 433,oral surgeri  candidiasi  tooth pain  oral thrush  anesthesia  dental pain  facial pain  bone graft  mouth disord 433,earach  tooth pain  dental pain  jaw pain  tmj syndrom  deal wisdom teeth  wisdom teeth  wisdom tooth extract  oral surgeri  oral maxillofaci surgeri
434,matter persist asthma uncontrol symptomat  night awaken like also  import  dose antiinflammatori medic must increas  exampl inhal steroid  safe check lung doc make noth els go  although unlik 434,cough sputum wheez tight chest  pred  valu spirometri 83%  copd late onset asthma 434,sleep  tuberculosi  cough  copd  vitamin defici  asthma  sepsi  fever  lung diseas  bronchoscopi  sleep disord  thoracoscopi  extrapulmonari tuberculosi  ultrasound chest 434,asthma  cough  wheez  spirometri  sputum  pulmonari function test  pulmonolog  copd  pediatr pulmonolog
435,chronic sinus true sinus infect requir antibiot relat rare compar number peopl sinus irrit  often  symptom relat allergi  dri air irrit mucos line sinus  chronic sinus problem  best consult ear  nose throat specialist consid under caus infect inflamm 435,woosh sound ear like hear heart beat year dr keep say ear infect go awayha bad cant muc 435,nan 435,high blood pressur  ear infect  chronic sinus  blood pressur  otiti media  ent head neck surgeri  hypertens  neurolog
436,yeast yes question 436,16 yrs old daughter bother chronic yeast infect take strong antibiot 3 yrs ago ive tri cranberri juic  probiot otc product  new pediatrician prescrib 1 dose oral antifung work  rec 436,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 436,yeast infect  pediatr  probiot  yeast  cranberri juic  candida  antibiot
437,wisdom tooth pleas see oral surgeon evalu     peopl dont enough room wisdom teeth usual need extract  feel better soon 437,hi  recent bottom back right tooth remov abcess form jaw least 10 day wasnt give pain abit sore touch  dentist remov tooth said abcess go 437,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 437,abscess  dental abscess  tactil  tooth extract
438,forget colon cancer headach  diarrhea  possibl nausea time year usual associ viral infect  go away time  keep fluid go 438,abigail headach  stomach cramp  diarrhea 24 hour  much urin output  worri head hospit 438,nan 438,diarrhea  stomach cramp  headach  loos stool  urin
439,talk oncologist goal chemotherapi set  therapi may prolong life  side effect may worth 439,mom pass away due liver cirrosi  hepat b  hepat e  dad also hep b  stand chanc vaccin done 439,nan 439,hepat  hepat b  vaccin date  vaccin  antibodi  antigen
440,yes probabl viral syndrom  steroid may make feel better 440,3 yr old big swollen lymph node one side neck formonth  blood work normal purpl circl eyesposs 440,nan 440,nan
441,infect infect  yes  best result wisdom teeth  make sure evalu treat board certifi oral  maxillofaci surgeon 441,swell one wisdom teeth pain unbear cant afford go dentist get necessari help clinic 441,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 441,dental pain  tooth pain  deal wisdom teeth  oral maxillofaci surgeri  oral surgeri  wisdom tooth extract  wisdom teeth
442,panic attack u symptom typic panic attack 90 percent patient visit er chest pain   short breath r consern heart attack   turn panic attack   howev  import r cardiac caus 442,mother icu  skin infect mid back left breast  red  hot  rais  blister dark purpl streak  kidney level 15  cardiac enzym high  chest pain  short breath  expect 442,sleep  healthi pregnanc  psychiatri  hopeless  adderal  psychiatri sleep 442,skin infect  chest pain  heart attack  myocardi infarct  cardiac arrest  chest tight  chest pressur  multi infarct dementia  kidney failur  esrd
443,call pediatrician son rash fever    sound lot like either chicken pox  measl  also mmr vaccin go doctor offic  pleas give call make sure theyr readi keep apart kid may reason  offic may give mask cover mouth nose well  case 443,son 4 year old immunis needl  right arm swollen  red rash  say itchi  get wors 443,sore throat  voic disord  throat pain  remov tonsil  hoars  difficulti swallow  laryng  larynx cancer  ear nose throat 443,skin rash  dermat  rash  children health
444,see pro isnt diy situat  ask famoli dentist refer wisdom tooth expert  oral surgeon  pleas go problem worsen 444,right ear ach  right side jaw hurt well right side throat  day 4 take amoxil still relief  pain caus infect 444,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 444,bacteri infect  earach  jaw pain  bacteria  dentistri  antibiot  viral infect  virus  amoxil  amoxicillin
445,see doctor extra symptom sever migrain  migrain bodi warn system  someth stress make migrain complex  may infect  allerg reaction  toxic reaction food drug  emot crisi  need good medic checkup 445,ad 10 mg nortriptylin nummular headach 50 mg trazodon insomnia 60 mg cymbalta migrain  felt dizzi  drug  weak stop trazodon  feel better  cant sleep 445,migrain headach  seizur disord  cerebr palsi  autism spectrum disord  development delay 445,insomnia  restless  dizzi  headach  migrain headach  depress  agit  restless leg  migrain  restless leg syndrom
446,possibl possibl continu aggrav exercis may  howev  discuss musculoskelet physician still import two month pain 446,l4s1 fusion 10 week ago  symptom better new sever r  back pain x1mo   l5   spine r   pain10 10 turn bed   lean l  2   pain  xray ok  insist muscl spasm 446,concuss  pain joint  sport injuri  steroid joint inject  cortison inject 446,back pain  muscl spasm  massag  pain back  fusion  contract  charley hors  twist muscl
447,differ  appear scar less depend lesion remov  locat bodi face lesion  skill plastic surgeon remov  hope  favor circumst  scar heal almost invis 447,get genit wart remov liquid nitrogen  leav dark spot skin 447,scar  acn  forehead lift  scar revis  facial scar acn 447,wart  pigment  genit wart
448,see dentist tooth potenti caus sinus infect  see dentist teeth examin  signific tooth structur miss  tooth need extract  adequ tooth structur support crown cap  root canal recommend 448,bad infect tooth fail root canal  apicoectomi pull tue novacain   doxi sinc sat  feel nauseous dizzi sinc last night 448,oral surgeri  dental implant  anesthesia  bone graft  tooth pain  tooth abscess  wisdom tooth extract  gum diseas  miss teeth  tooth extractor  gum graft  mouth tooth diseas  chip tooth  gum biopsi 448,dizzi  malais  nausea  doxycin  doxycyclin  pain medic  doryx  novocain  root canal  pain medicin
449,worrisom pain back calf tender touch hurt walk check  horribl pain anywher evalu  two good reason seek attent  symptom worrisom  could certain dvt 449,leg swell knee feet   tender touch   could 449,vein  varicos vein  deep venous thrombosi  venous insuffici  spider vein  varicos vein leg  blood clot leg  sclerotherapi  lymphedema  spider angioma  coumadin  venous stasi  phlebiti  laser ablat  telangiectasia 449,leg swell  albumin  tactil
450,local reaction like localis reaction  need put ice itch give counter benadryl  swell persist let pediatrician check 450,sever itchi spot arm  finger  back knee hand  ankl  scratch get white elev nickles spot 450,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 450,rash  eczema  dermat  psoriasi  allerg reaction  dermatolog  allergi  nutrit  scratch
