0,septoplasti septal spur common find  surgeon equip manag issu 0,use salt water nasal spray help prevent develop perfor septum 0,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
615,pupp call ob dermatologist  pregnant women rash due infect allerg reaction  howev  purit urticari papul plaqu pregnanc pupp common caus rash late pregnanc 615,lump scalp itchi also dandruff explan 615,cancer  femal health  celiac diseas  pap smear  leukemia  urin drug screen  healthi pregnanc  melanoma  skin cancer  lymphoma  drug test  patholog  hematolog diseas  wart  sudden cardiac death 615,dandruff  sever itch  treat dandruff
616,yes poor person hygien like wipe wrong way caus vagin infect  reason would take antibiot inter current infect 616,possibl child teen get depress like adult 616,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 616,fussi  depress  teen  psychiatri  children
617,swollen node medic antibiot prescrib doctor swell subsid within 710 day need examin  call physician dentist clinic visual examin 617,jaw tens wont releas one side   doesnt lock realli tight   could tmj without click 617,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 617,tmj syndrom
618,yes aneurysm larg enough warrant treatment  consid open surgic endovascular option one may appropri 618,normal mri mra neck  carotid  posterior fossa  numb face  arm  leg  worri stroke 618,aneurysm  brain aneurysm  brain tumor  cervic spine  stroke  cerebr vascular accid  subarachnoid hemorrhag  cervic spine stenosi  orthoped spine surgeri  brain avm 618,tingl  stroke  cerebr vascular accid  numb  mri  magnet reson imag
619,like tri counter remedi lotrimin coupl week  see gyn dr  fail take care problem 619,19  hard get maintain erect  low sex drive  tri stay activ alway sleepi meal  littl chest hair  patchi facial hair 619,circumcis  bedwet  incontin  kidney problem  hypospadia repair  bladder exstrophi repair 619,drowsi  loss sex drive  male health  sex  libido  facial  erect  sexual drive
620,yes headach one expect side effect start zoloft  take aspirin ibuprofen whatev would usual help  improv next 8 day  may come back briefli doctor increas dose 620,cough medicin child take take 50mg zoloft 2mg abilifi 620,dementia  psychotherapi  healthi eat  relationship difficulti  child develop  psychopharmacolog treatment 620,cough  zoloft  dextromethorphan cough syrup  sertralin  children  aripiprazol  antituss  abilifi
621,probabl  doesnt sound like bacteri pneumonia  fever persist get wors  id call doctor back  asthmat bronchiti viral infect look similar xray 621,16yr old girl told bronchiti asthma pain long cough gasp air  wheez  mood swing  lung cancer 621,ct scan  mri scan  pet scan  nuclear medicin  oncolog 621,bronchiti  asthma  cough  mood chang  mood swing  wheez  emot instabl  cancer  lung cancer  mood
622,repetit injuri come footbal hockey player  experienc repetit concuss head injuri eventu develop dementia young age  clinic pattern mimic alzheim  patholog local brain surfac injuri  mani pts  head injuri increas risk caus problem 622,eeg normal  facial limb twitch eeg  histori convuls head injuri  histori epilepsi far  idea caus 622,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 622,head injuri  seizur disord  epilepsi  head trauma  seizur  convuls  facial  epilept seizur  eeg normal  eeg
623,red spot imposs tell spot without see  could viral infect  thing  check 623,anyon stye like thing eye pregnanc  small red lump spot near tear duct  ive prescrib fusid acid ointment 623,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 623,stye  sti remov  pregnanc  hordeolum
624,yes either achill pain strain  tear dvt would like  see specialist simpl scan determin whether clot present  swell red present 5075% time 624,itchi circl leg red 3 bump middl     could 624,ankl arthriti  leg pain 624,nan
625,need seen persist seek care  get wors  cannot diagnos without examin area  good luck 625,sore eye discharg eye stuck togeth  red eye stay school 625,child health  gum diseas  gingiv  inflamm gum  bleed  dental implant  dentistri  surgeri  vitamin supplement  abscess  gum bleed  tooth abscess  vitamin  dental health  bad breath  dental care  skin  hair nail  periodont  teeth clean  home remedi 625,red eye  sore eye
626,yes  lump armpit evalu  ultrasound look shape size lymph node  needl biopsi perform make diagnosi  contact breast surgeri specialist go breast center evalu risk assess 626,mammogram 31  fibroadenoma remov sever year ago famili histori breast cancer 626,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 626,digit mammogram
627,1 hour ideal place recoveri room whole still sedat  abl move knee  benefit continu passiv motion less appar 627,torn ligament knee  femur actual slip top tibia could someth fractur use exercis bike  walk strength 627,knee replac  total knee replac  partial knee replac  knee arthroscopi  total hip replac  hip surgeri  robot surgeri 627,broken bone  disloc  ligament tear  exercis
628,wisdom tooth pain see oral surgeon determin whether wisdom teeth need remov  take otc pain medic meantim 628,got four wisdom teeth pull last week  jaw still hurt first second upper molar hurt right side  throb pain  ok 628,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 628,bacteri infect  floss  dental floss  wisdom teeth  tooth extract
629,like tri counter remedi lotrimin coupl week  see gyn dr  fail take care problem 629,best way treat vagin yeast infect  itch burn 629,circumcis  bedwet  incontin  kidney problem  hypospadia repair  bladder exstrophi repair 629,yeast infect  candida  femal health  yeast  itch
630,see pcp import make accur diagnosi ensur correct treatment given  see doctor consult test diagnosi 630,rearneck back pain 2 mths  less get random daili tight front neck  face  jaw teeth  arm tingl  headach esp  sit long  most gone wake worsen gradual 630,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 630,back pain  headach  tingl  tmj syndrom  dentistri  pain back
631,imag reassur seen number pertin specialist though sure frustrat answer relief  child actual imag head mri ct stress anoth caus  hope feel better soon 631,sister 14 almost 15 two intern stye one eye theyv week think see doctor 631,neuroblastoma  wilm tumor  chemotherapi  hemophilia  cancer children  hodgkin diseas  rhabdomyosarcoma  non hodgkin lymphoma  ewe sarcoma  childhood leukemia  bleed disord  medic research  childhood brain tumor 631,nan
632,possibl need return oral surgeon immedi hav area check complic 632,wisdom tooth ach last two week heard ear said tooth sinc sore tri clean ear insid hear 632,gum diseas  tooth pain  teeth clean 632,nan
633,antibiot allerg penicillin   may end get clindamycin   peopl allerg penicillin   augmentin  penicillin + clavulan combo  usual prescrib 633,tissu face still swollen bad tooth infect  augmentin help infect gum face tissu still swollen treat 633,osteoporosi  thyroid diseas  coronari arteri diseas  chronic pain  hypertens 633,periodont  augmentin  amoxicillin clavulan
634,possibl possibl  diagnosi made pulmonari function test  thing caus chest xray appear hyper expans air trap 634,possibl asthma constant lightheaded sole sxawaken sob  wheez  chest xray show hyperinfl lung  nonsmok 634,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 634,asthma  lightheaded  wheez  xray chest
635,realli spontan ruptur salin implant shouldnt result sever pain  trauma area caus ruptur implant could certain caus pain breast 635,2 ekg year still chest pain today left side breast stand walk around like tighten b pain burn littl 635,scar  breast implant  scar  breast reconstruct  cosmet surgeri  breast reduct surgeri  acn  botox  liposuct  gynecomastia  tummi tuck  acn surgeri 635,chest pain  burn
636,quit like smoke  discuss ct doc  blood 636,rule copd cough  mucus actual come frm nose  short breath n slight chest discomfort  chest infectio 636,sleep  tuberculosi  cough  copd  vitamin defici  asthma  sepsi  fever  lung diseas  bronchoscopi  sleep disord  thoracoscopi  extrapulmonari tuberculosi  ultrasound chest 636,cough  wheez  breathless  difficulti breath  smoke  lose weight  dextromethorphan cough syrup  exercis  copd
637,though it#x27 unlik could pregnant   home pregnanc test pick groceri drug store abl answer quick  good luck arent pregnant unusu bleed follow doc get check sexual transmit infect gyn issu 637,girl gave blowjob  kiss  gave oral sex  peni never touch vagina ejacul mouth   could pregnant period end last monday 637,anxieti  back pain  diarrhea  surgeri  pain back  migrain  hyperthyroid  overact thyroid  seizur  relax techniqu  hypertens  vaccin  wheez  tension pneumothorax  convuls  chest trauma  sepsi  stroke  asthma  women health 637,sex  pregnanc  menstrual period
638,vari one effect treatment system steroid  definit treatment deliveri sometim warrant due sever symptom aris puppp 638,start take new pack birth control yaz week late unprotect sex three day later  could pregnant 638,femal health  healthi pregnanc  polycyst ovarian syndrom  mens  contracept  hysterectomi  cancer  ovul  laparoscop surgeri  normal childbirth  child health  pap smear  endometriosi  bleed  vagin hysterectomi  surgeri  spot  breast cancer  robot surgeri  da vinci robot surgeri 638,fertil  pregnanc test  healthi pregnanc  femal health  yaz  oral contracept  birth control  sex  contracept  pregnanc
639,statist odd 60% onset ms  one lesion mri  confirm diagnosi ms within 14 yrs  occur 80%  howev  brain mri negat  might best add spinal cord studi also complet  worri  potent success med tysabri gilenya 639,nero found lesion mri  said probabl ms  tomorrow im cystoscopi blood urin  ms bladder problem link 639,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 639,urinari retent  blood urin  multipl sclerosi  deal blood urin
640,see specialist may continu pain due recurr stenosi epidur fibrosi scar procedur  may benefit inject help allevi postop inflamm 640,ive vertigo nausea intens back neck pain  headach  alway 1   mri brain spine normal 1 bulg disc l4   lab normal  pt 3wks improv  next 640,scoliosi  backach  sciatica  neck pain 640,headach  neck pain  dizzi  nausea  bulg disk  mri  magnet reson imag  mri brain  vertigo
641,dental abscess dental infect due tooth abscess  gum abscess combin  see dentist evalu  xray treatment  alway present option  good luck 641,gingiv isnt get better use mouth rins   gum swollen around 3 teeth  tender  throb 641,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 641,inflamm gum  gum diseas  gingiv
642,see pain manag specialist  neuropath pain one challeng complex pain syndrom  see specif pain manag specialist manag pain  take care 642,pain neuropathi feet  lyrica didnt help  gabapenten didnt work  would small dose combin work 642,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 642,neuropathi  nerv damag  lyrica  gabapentin
643,yes without premed  swell common  antiinflammatori antiswel perscript pre medic  unpleas effect wisdom teeth remov manag quit comfort  discuss treat dentist 643,gum swollen around wisdom teeth  difficulti swallow  swollen lymph node slight headach  okay 643,sleep  tmj syndrom  teeth  snore  sleep apnea  apnea  root canal  oral surgeri  dentistri  tooth pain  dental implant  cleft lip  bone loss  orthodontia 643,headach  enlarg lymph node  swallow disord  difficulti swallow  swollen gland  deal wisdom teeth  wisdom teeth  wisdom tooth extract  oral surgeri  oral maxillofaci surgeri
644,yeast std allergi yeasi infect respond antifung cream lotrimin monistat  see famili gyn dr  chanc might sexual transmit diseas  could allerg soap shave cream use  symptom could 3  good luck 644,one sore red spot inner lip vagina  hurt lot initi better day  could herp would get wors 644,circumcis  bedwet  incontin  kidney problem  hypospadia repair  bladder exstrophi repair 644,sexual transmit diseas  red skin  herp  femal health  cesarean section  pregnanc
645,fals test although urin preg test much accur past  still give fals result  doubt  quantit bhcg test blood done  measur posit negat toatl valu follow confirm  healthi pregnanc doubl valu everi 23 day  posit stay go  concern miscarriag tubal preg 645,barium swallow report said moder anterior vertebr osteophyt c5 6 c67 earth say endoscopi test post nasal drip issu confus 645,safeti  clog milk duct  breast engorg  lactat problem  breast pump 645,post nasal drip  osteophyt  mental confus  endoscopi  c5  barium
646,see dentist infect  need treat  pop reliev pressur feel cure infect  pleas see dentist get treat  without treatment thing progress get wors  may much pain drainag  infect still  effect rest bodi 646,itchi pink blotch scalp 3 week  dermatologist dont think psoriasi  doesnt realli look like psoriasi  use steroid cream 2 week hasnt chang  could 646,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 646,psoriasi  steroid
647,breast lump could either clip  scar  combin  base upon descript age  chanc cancer seem low  import follow physician order ensur behav appropri one benign condit 647,scare cancer lumpi breast numb tingl feel like movement breast right one itchi armpit yellow discharg help 647,breast biopsi  uterin arteri embol  vascular access  intervent catheter  vascular diseas 647,tingl  numb  cancer  numb tingl
648,idea hi  hyperact nodul    know tsh  id go straight fna  scan show cold nodul  alreadi know  help differenti benign cancer  fna cytolog hope gene test need point  good luck 648,long wait nuclear medicin thyroid scan  i123  fna biopsi thyroid blood test 648,nan 648,thyroid scan  thyroid blood test  nuclear medicin  fine needl aspir  biopsi
649,would follow postop instruct  would assum dentist oral surgeon recommend soft food drink straw  chew gum breath mint probabl real good idea 649,soar gum swollen around back teeth feel like raw hurt chew swallow  wisdom teeth 649,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 649,wisdom teeth
650,post trauma headach yoiu experienc call trauma trigger migrain  see neurologist recommend effect treatment 650,migrain took 2 excedrin migrain pill 7:30am  still migrain 650,child health  adhd  adderal  seizur  concuss  dextroamphetamin racem amphetamin  seizur disord  ritalin  convuls  brain injuri  depress  mening  paralysi  csf cultur  traumat brain injuri  lead exposur  learn disabl 650,migrain headach  migrain
651,disc herniat symptom left side consist l 5 s1 distribut might want tri inject diagnost reason good luck most good news signific arthrit nartow nerv passag 651,spinal disc herniat l4l5 sever left leg pain  im tri avoid surgeri   exercis  heal mri att 651,backach  scoliosi  back pain  pain back  sciatica  abnorm curvatur spine  bulg disk  spinal fusion  spinal stenosi 651,herniat disk  low back pain  femal health  healthi pregnanc  pregnanc  sciatica  manag sciatica  chiropractor
652,see neurologist headach sever episod  could migrain  particular  visual symptom flash like sensit light  neurologist abl help diagnosi treat  may also need addit brain imag studi like mri scan depend neurologist find physic exam histori 652,period 3 week late  2 day spot  cramp  thin milki discharg  abdomin cramp  fatigu  negat test  still pregnant 652,cancer  brain injuri  arterioven malform  glioblastoma  tbi 652,stomach cramp  lethargi  pregnanc
653,herp zoster herper zoster shingl reerupt chickenpox virus contagi primarili physic contact blisteri rash linear streak one side bodi   direct contact rash chanc ill zero  unlik  exposur reason delay immun varicella vaccin 653,son rash tummi  back  arm  also littl red spot face  chicken pix vaccin  fever bad cough 653,hepat  colic  constip 653,fever  cough  skin rash  red skin  rash  vaccin  red spot  immun  children  children health
654,yes still go need reevalu 654,abdomin pain month noth help gag nausea vomit stab pain right middl upper abdomen elev bilirubin appetitefor 6 go 7 day cant hold food 654,diabet  women health  hyperlipidemia  hypertens 654,vomit  abdomin pain  nausea  abdomin discomfort  belli pain  bilirubin  emesi  nausea vomit  nutrit  gag
655,clench grind possibl grind clench teeth often caus sensit  would also use tarter control whiten toothpast make sensit pronounc 655,experienc tooth sensit week two fill replac  normal experienc sensit due reced gum 655,dentistri  root canal 655,dental pain  cold sensit  bond  composit resin  reced gum
656,dropfoot evalu someon special nerv surgeri  look aen web 656,hurt foot constant pain foot cant walk pin needl toe swell 656,achill tendon  orthot  broken ankl  toenail fungus 656,stress  broken bone  ecchymos  paresthesia  foot injuri
657,get check see doctor dentist evalu  symptom could mani caus  dental medic issu overlap symptom 657,three concuss past twelv month  persist headach sinc last one two month ago  pain ear pressur shake head 657,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 657,concuss
658,recommend dose take 10mg daili recommend dose  sever antihistamin benadryl could prescrib allergi sever  certain avoid food first foremost 658,ok take benadryl treat allergi ive tri zyrtec claritin dont work 658,urinari tract infect 658,constip  sleepi  dri mouth  drowsi  hypersensit  urinari retent  child allergi  loratadin  sleep  dri eye
659,probabl  doesnt sound like bacteri pneumonia  fever persist get wors  id call doctor back  asthmat bronchiti viral infect look similar xray 659,asthma would caus wheez 33 yr old girl allerg asthma 659,ct scan  mri scan  pet scan  nuclear medicin  oncolog 659,bronchiti  asthma  bronchospasm  inflamm  wheez  foreign bodi  copd
660,wisdom teeth wisdom teeth caus problem earach need come  experienc pain  swollen gum  lymph node go away find difficult open mouth  see dentist evalu  xray wisdom teeth remov 660,why10day wisdom teeth surgeri pain2 lump jaw side hurt 2touch still cant open mouth hurt 2 put pressur teeth numb   lip chin etc 660,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 660,numb  surgeri  wisdom teeth
661,mani two medic fdaapprov condit  cymbalta  lyrica  med often use well  includ tricycl antidepress nortriptylin trazodon  antiseizur med topiram  gabapentin neurontin  carbamazepin  capsaicin chemic make jalapeno hot cream also help dont need prescript 661,take cymbalta neuropathi  take 2 mgs klonopin anxieti ive take one 5mg oxycodon pain day take pain amount cconsid safe day 661,diabet  overact thyroid  underact thyroid  thyroid cancer  thyroid nodul  hyperthyroid  fine needl aspir  endocrin disord  ultrasound guid fine needl aspir 661,addict  feel anxious  neuropathi  nerv damag  panic attack  benzodiazepin  oxycodon  oxyir  klonopin  roxicodon
662,faint see doctor  normal one faint pregnanc  possibl reason could low blood sugar  low blood pressur  state determin normal  electrocardiogram perform rule cardiac caus  perhap someth emot go pregnanc hormon caus women emot  although faint common 662,34 wks pregnant  prescrib augmentin sinus infect read studi drug caus necrot enterocol 662,patient safeti  aerospac medicin  case manag  risk manag  malpractic 662,sinus  necrot enterocol  pregnanc  augmentin  amoxicillin clavulan
663,asthma  possibl hyperinfl lung mean much air lung cant go  may hyperventil breath much  case  carbon dioxid blood drop may becom dizzi  treat asthma specialist allergist immunologist pulmonari doctor  see one  anxieti tension also caus symptom 663,chest xray show low moder air trap copd 663,asthma  child allergi  celiac diseas  vascul  angiiti  non allerg rhiniti  allerg conjunct  atop dermat  immun defici  hypogammaglobulinemia  allerg reaction insect bite 663,xray chest  copd
664,though it#x27 unlik could pregnant   home pregnanc test pick groceri drug store abl answer quick  good luck arent pregnant unusu bleed follow doc get check sexual transmit infect gyn issu 664,sexual activ miss period 8 day  took 3 pregnanc test said negat  wouldnt  get period 664,anxieti  back pain  diarrhea  surgeri  pain back  migrain  hyperthyroid  overact thyroid  seizur  relax techniqu  hypertens  vaccin  wheez  tension pneumothorax  convuls  chest trauma  sepsi  stroke  asthma  women health 664,pregnanc  menstrual period
665,need go nearest emerg room get evalu neurosurgeon orthopaed spine surgeon rule known cauda equina syndrom true surgic emerg nerv compress spine lead symptom  outcom critic relat soon surgeri done relat symptom began nerv compress 665,disc herniat s1 l5   surgeri option   disc  fuse 665,backach  back pain  scoliosi  spinal stenosi  pain back  surgeri  sciatica  exercis  bulg disk  abnorm curvatur spine  neck pain  numb  spinal fusion  physic therapi  cervic spine  whiplash  spondylolisthesi 665,herniat disk  surgeri
666,achi bodi sore throat achi bodi dizzi head often sign flu strep throat: see md quick strep throat check  theraflu  cold eez zinc lozeng q 2hr follow direct help meantim plenti fluid >16oz water q day  lot rest 666,wont someon tell what wrong help night sweat 100 fever alway hair fall sore head leg heavi pain  cant catch breath alway tire  memori go  pain lump shoulder 666,cataract surgeri  surgeri  vision  child health  eye health  pterygium  pink eye  conjunct  blurri vision  dri eye  hazi vision  children health  dizzi  lasik  lazi eye  eye pain  intraocular len  laser surgeri glaucoma 666,fever  night sweat  hair loss  memori  sweat night
667,see common post op pain includ sore muscl inflamm take time go away  area close mani muscl perform eat swoll task  area heal like take awhil  concern call provid ask clarif   noth wrong 667,excruci pain right side mouth  throb jaw pain  tooth ach  sore gum   facial swell  lip numb  low grade temp 667,tooth pain  oral surgeri  root canal  fals teeth  oral health 667,tooth pain  jaw pain  numb  facial swell  facial
668,like like reactiv lymph node caus bodi respons infect 668,tooth infect caus swollen gland one side throat start penicillin throat go back normal 668,sexual health  women health  men health  lose weight  natur labor  famili medicin 668,dental abscess  dental care
669,normal heal long dont notic odor sever pain extract site fine 669,wisdom tooth extract 2 hrs ago cant stop bleed sinc mouth full blood dentist say normal big headach 669,pain manag  child health  blister  children health  skin rash  gingiv  herp simplex  gum diseas  inflamm gum  teeth 669,headach  tooth extract  wisdom tooth extract
670,often yeast itch almost alway yeast infect proven otherwis  tri otc treatmentani vagin antifung  doesnt work  consid make appoint doctor lesion bump look wouldnt want miss std  best wish 670,itch insid around vagina small bump feel sore wit larger bump herp 670,femal health  contracept  mens  healthi pregnanc  bleed  pap smear  vulvodynia  hysteroscopi  minim invas surgeri  dysfunct uterin bleed 670,herp  std  chlamydia infect  candida  std prevent
671,see doctor bleed mole warn sign  pleas see doctor ascertain lesion need remov examin pathologist 671,surgeon scope  test recent colostomi remov revers   test reveal sign diverticul  know show pollyp etc 671,cancer  nutrit  cervic cancer  ovarian cancer 671,diverticul  inflamm  cancer  polyp  colostomi
672,need seen persist seek care  get wors  cannot diagnos without examin area  good luck 672,found pea size lump outsid vagina bottom  could br sore red 672,child health  gum diseas  gingiv  inflamm gum  bleed  dental implant  dentistri  surgeri  vitamin supplement  abscess  gum bleed  tooth abscess  vitamin  dental health  bad breath  dental care  skin  hair nail  periodont  teeth clean  home remedi 672,nan
673,yes back pain signific enough seek medic attent last six week  mri would help lab work  check spinehealth com 673,right lower back pain urin test specif graviti 1 030 blood modern  ph 5 5 urobilinogen 2mg dr said possibl kidney stone   wait ct 673,carpal tunnel surgeri  head injuri  stroke  spinal surgeri  kyphoplasti 673,back pain  kidney stone  nephrolithiasi  low back pain  pain back  kidney stone  comput tomographi  urin
674,stress fractur caus long term swell  repetit trauma area underw stress fractur continu stressinduc swell  wear orthot shoe help displac pressur impact trauma away fractur site  continu stresstyp symptom area  includ postinjuri swell 674,4 metatars fractur  wore cast 4 week  remov doctor told heal  normal pain  cant walk proper 674,numb  orthot  wound heal  diabet  children health  peripher neuropathi  lymphedema  foot ankl injuri  diabet foot 674,cast
675,seek care type symptom could varieti ill  best suggest pleas get primari care physician asap  run diagnost test tri pinpoint caus problem help feel better soon  potenti get other around sick 675,suffer migrain  palinopsia  vertigo  nausea  pain joint  fatigu  dri mouth burn tongu  swollen salivari gland throat help 675,dental care  gum diseas  swollen gland  dental cari  enlarg lymph node  difficulti swallow  dental pain  sinus pain  dental fill  dri mouth  dentistri  child dental health  dental procedur  swallow disord  esthet dentistri  dental clean  dental health  dental sealant  cosmet dentistri 675,dri mouth  dizzi  nausea  pain joint  migrain headach  burn mouth syndrom  lethargi  migrain  salivari gland  vertigo
676,possibl know marijuana caus chromosom breakag  clear whether respons miscarriag infertil  usual advis patient err side caution stay away 676,quit smoke marijuana 9 week pregnant  babi born thc system 676,femal health  polycyst ovarian syndrom  ovul  fertil  infertil  clomid  clomiphen  pregnanc loss  get pregnant  ivf pregnanc  progesteron  spontan abort  ectop pregnanc  uterin fibroid  amenorrhea  fsh  prolactin  prematur ovarian failur  hysterosalpingogram  turner syndrom 676,smoke  pregnanc  quit smoke  tobacco cessat  marijuana  ganja  cannabi
677,bone chip state bone chip assum x ray taken  chip posit hurt speak podiatrist guid make decis right  good luck 677,4 align foot fractur surgeri  doctor remov fiberglass cast 3rdweek xray  prescrib walk boot  earli 677,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 677,walk boot  surgeri  roentgen ray  cast
678,hernia swell disappear lie massag  may hernia  may requir simpl surgeri pain  need evalu doctor 678,besid breast cancer lymphoma  els caus hard  immov  nontend lump collarbon area infraclavicular node left side thx 678,diabet  breathless  cardiolog  thyroxin  sarcoidosi  sleep disord  lung diseas  well lifestyl  heart diseas 678,breast cancer  breast carcinoma  cancer  lymphoma
679,eczema rubella mani condit caus general swollen lymph node  rubella pop mind immedi  skin inflamm lead swollen region node  elbow lymph node enlarg use sign syphili  pleas check pediatrician find caus 679,kid swollen glan aka sore throat  use hate haggl salt water  caffein free tea 679,adhd  depress  autism  children health  autism spectrum disord  bipolar disord  adderal  ritalin  dextroamphetamin racem amphetamin  eat disord  learn disabl  tourett syndrom  adolesc health 679,sore throat  throat pain  fever  high fever  immun diseas  protein  honey  sodium  children  caffein
680,uti uti pyelonephr  would first start urinalysi urin cultur 680,reoccur 1 canker sore spot  got test herp 2 month ago came back negat 680,weight manag 680,herp  canker sore  aphthous stomat
681,depend effect concuss vari unpredict  depend sever injuri  symptom includ headach  dizzi  vision chang blur vision  doubl vision  nausea vomit  symptom headach sever  loss conscious  get evalu immedi 681,everi time stand vision blur get dark  feel weak everywher head start heat   get dizzi well 681,migrain  epilepsi  common migrain  eeg  motor tic  infantil spasm 681,dizzi  vision  feel faint
682,relat gbm caus stress   gbm would lot common  chronic stress  reaction  caus associ bunch health issu  learn destress  prefer without med  drug like alcohol  pot  etc 682,moveabl painless lump front neck r ear chin  symptom  5 plus year   worri cancer 682,cancer  hepat  diet  inflammatori bowel diseas  nutrit support  well lifestyl 682,cancer
683,pregnanc want get pregnant make everi effort use form birth control time sex  way diagnos earli pregnanc internet  best way find take pregnanc test  best wish 683,hi six day sinc sex  lower part stomach sore almost like bad cramp  dizzi could pregnant 683,nan 683,dizzi  pregnanc  sex
684,monitor give augmentin time work  thing dont seem improv  worsen  get back dr asap 684,3 week sinc infect tooth pull swollen gland jaw 2 month day 4 clindamycin final reduc inflamm mani day normal 684,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 684,inflamm  tooth extract  clindamycin  cleocin
685,unrel get brace get mono almost certain coincid caus effect 685,could sleep studi substitut eeg sleep problem ent doctor didnt suspect osa 685,orthodont  malocclus  orthodontia  dental brace  orthodont retain  tmj syndrom  toothbrush  teeth whiten  crowd teeth  mouth brace  narrow palat 685,insomnia  snore  sleep  sleep studi  snore  ent head neck surgeri  eeg  ear nose throat
686,yes absolut especi lower one  see dentist determin may caus vertigo 686,dull ach back top two teeth slight swell  alreadi wisdom teeth everyth clear last checkup anyth worri 686,tooth pain  dental care  oral surgeri  dental procedur  dental pain  dental health 686,dental care
687,like like  pregnanc test make sure  like close menopaus  irregular cycl sign 687,boyfriend sex 7 19  7 23  7 24 ovul  cramp light spot extrem bloat pregnant 687,ovul  contracept  polycyst ovarian syndrom  clomid  obstetr  pelvic laparoscopi  women health  gynecolog surgeri  gynecolog  pelvic support problem 687,abdomin bloat  ovul  pregnanc  sex
688,though it#x27 unlik could pregnant   home pregnanc test pick groceri drug store abl answer quick  good luck arent pregnant unusu bleed follow doc get check sexual transmit infect gyn issu 688,breast feel itchi \u0026#40nipples\u0026#41 ive mild cramp ive takin nap offend thirsti 10dpo could pregnant 688,anxieti  back pain  diarrhea  surgeri  pain back  migrain  hyperthyroid  overact thyroid  seizur  relax techniqu  hypertens  vaccin  wheez  tension pneumothorax  convuls  chest trauma  sepsi  stroke  asthma  women health 688,pregnanc  nap
689,probabl tri antihistamin see symptom improv  could also viral upper respiratori infect cold start 689,inner ear top throat itchi  nose block also runni  eye wateri  allerg  anyth know 689,nan 689,sever itch
690,slim none oral fluid strong enough render semen fluid inact 690,intercours sperm rub inner wall vagina insid two week earli period pinkish red normal could pregnant 690,root canal  oral surgeri  dental implant  child health  cosmet dentistri  teeth 690,sperm  pregnanc
691,varir ideal result cultur would come back coupl day  realiti full cultur antibiot sensit may take 57 day come back  blood cultur result may take longer direct abscess fluid cultur breast 691,long take blood clot dissolv replac soft tissu get wisdom teeth 691,cancer  hernia  breast cancer  laparoscop surgeri  surgeri  breast carcinoma  gallston  colon cancer  inguin hernia  abdomin pain  diverticul  gi cancer  abdomin surgeri  laparoscop gallbladd remov 691,blood clot  wisdom teeth
