0,salin suction  safest effect treatment salin nose drop suction  elev head crib use humidifi help   cold cough medicin proven ineffect serious side effect  fda take market gradual  doesnt help  child need see doctor see cold 0,use salt water nasal spray help prevent develop perfor septum 0,asthma  development delay  prematur babi  eczemat rash 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
232,yes  could yes  vitamin defici could caus fatigu depress  talk doctor replenish  low level  may need high dose temporarili  back mainten dose  pleas awar also possibl multipl condit  need treatment depress  anxieti   vit defici  etc 232,birth control method least like caus depress fatigu weak 232,nan 232,asthenia  fatigu  depress  lethargi  spermicid  birth control  intrauterin devic  vasectomi  condom  contracept
233,yes dont start earli risk pulmonari embol  anticoagul ambul  use hose 7 day sinc clot found  pleas use hose two year help prevent post phlebit syndrom  continu anticoagul doctor care 233,dvt clot behind knee  better wear compress stock knee 233,ct scan  stroke  varicos vein  carotid arteri diseas  venous insuffici  vascular ultrasound  aorta bilater iliofemor runoff cta 233,blood clot leg  deep venous thrombosi  anticoagul  compress  wear compress stock
234,could cyst get ultrasound look baker cyst 234,long could take swell leg go dvt diagnosi warfarin start 234,uterin fibroid  blood clot leg  deep venous thrombosi  pulmonari embol  blood clot lung  peripher arteri diseas  cta kidney 234,blood clot  blood clot leg  deep venous thrombosi  warfarin  coumadin
235,mammogram accord american cancer societi  american colleg radiolog  other  annual screen mammographi begin age 40  screen may begin sooner brca carrier otherwis high risk 235,mammogram ultrasound best earli breast cancer detect 235,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 235,breast cancer  breast carcinoma  cancer  mammogram  sonogram
236,excis tumo small dcis easili manag simpl excis follow radiotherapi involv breast  tamoxifen recommend post oper adjuv oral therapi taken 5 year  find invas cancer compon tumor 236,long term effect radiat therapi breast cancer vs surgeri 236,breast cancer  oncolog  malign melanoma 236,underact thyroid  hypothyroid  lymphedema  neoplasm  brachial plexus injuri  breast cancer  breast carcinoma  cancer  invas carcinoma  carcinoma situ
237,swollen foot knee surgeri disrupt lymph system leg could predispos swell foot 237,recoveri timelin arthroscop knee surgeri 237,musculoskelet problem  spine manipul  prolotherapi  stem cell therapi  bioident hormon 237,exercis  gait  exercis program  surgeri  knee surgeri  arthroscopi
238,    worri genuin yore alon medic care base indirect evid result profession continu collect  analysi avail experi treat doc make best possibl judgment proceed care  time  surgic explor may way verifi go caus pain  realiti life 238,big toe broken one doc podiatrist say displac  sport med surgeon slight  agre surgeri  agre 238,male health  surgeri  urinari tract infect  cancer  sexual transmit diseas  sexual transmit infect  testosteron  androderm  chlamydia infect  testoderm  vasectomi  circumcis  hernia  erectil dysfunct  torsion testi  prostat specif antigen  prostat cancer cryotherapi  remov testi  greenlight pvptm 238,toe fractur  surgeri  podiatri
239,see dentist asap tooth infect wont go away without treatment infect may spread jaw  cheek  sinus area bodi  dentist treat tooth abscess treat caus get rid infect  see dentist asap tooth infect treatment 239,unfinish root canal readi fill tooth jaw pain subsid  lymph node still swollen  ok finish 239,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 239,facial pain  jaw pain  root canal
240,sleep side mild snorer  sleep side may need  bumper belt help  snore vigor  may sleep apnea  need see doctor order sleep studi  sleep apnea option usual includ cpap  surgeri special dental applianc  dental applianc provid dentist train dental sleep medicin 240,normal breath sound 92 yo night long gasp  laps  loud breath  typic snore  never noisi  sleep apnea 240,sleep apnea  gum diseas  dental health  root canal  mouth brace  laser ablat 240,snore  apnea  sleep apnea  sleep  snore
241,pretti good overal test pretti good  may small issu threshold diagnosi howev overal sensit 241,femor neuropathi simpl arthoscop knee surgeri  doctor tell nerv blockhow common long last 241,nan 241,nerv damag  neuropathi  surgeri  nerv block  nerv  knee surgeri
242,possibl     diagnost mammogram someth feel  like lump  almost certain need ultrasound  call back calcifc  like need ultrasound  mass seen mammogram  cannot feel  also need ultrasound 242,mammogram report result came back birad 4 sonogram report came back negat doctor recommend  breast biopsi 242,mammogram  ct scan  mri scan  xray chest  mri breast  breast carcinoma  breast lump  breast biopsi  nuclear scan 242,wound  digit mammogram  breast needl biopsi  ultrasound breast  imag  femal health  sonogram  mammogram  breast biopsi  biopsi
243,see expert see tmj expert help evalu treat problem  tmj expert general dentist  oral surgeon  prosthodontist  orofaci pain specialist  ask physician  dentist dental societi recommend 243,hear sound ear im swallow  also make sound everytim want  sound somehow like click sound  normal 243,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 243,dentistri
244,mayb might exist surgeri  could relat poor product  decreas outflow lacrim drain issu  reflex poor tear film lid posit  make incis cornea sometim affect feedback loop cornea tear 244,recent acl surgeri 5month ago  start experi knee crackl everi time bend  normal 244,glaucoma  cataract surgeri  refract error  imag 244,acl reconstruct  surgeri
245,soft corn bone spur call bone spur hm caus rub toe  fact common  treatment reduct callus lesion  persist minim incis procedur reduc spur resolv problem  see podiatrist 245,remov pain callus underneath toe 245,diabet foot  orthot  wound care  biomechan  foot deform 245,podiatri  callus
246,normal worri mani women get call back screen mammogram  diagnost mammogram ultrasound way evalu close area possibl concern radiologist might  women might end  other biopsi might recommend  still mean noth biopsi result back  base recommend follow 246,get mammogram im 27 pain one breast usual goe away late hurt 246,breast cancer  health educ 246,mammogram  digit mammogram  ultrasound breast
247,probabl especi heart surgeri bypass  leg vein often remov use heart bypass  vein drain blood leg  vein remov  may circul metabol problem tend go along heart circul diseas also caus swell  may also due local problem foot relat heart procedur  need check 247,normal blood pressur even though im overweight  sever month  get lot swell leg feet daili 247,bunion repair  ingrown toenail  orthot  heel pain  foot pain 247,overweight  high blood pressur  fibroid  pregnanc  sodium  mild elev blood pressur  blood pressur
248,need diagnosi need tie  first  get aquaporin4 studi neuromyel optica  also visual evok potenti twice accur mri  yes  could well ms  get spinal fluid check oligoclon band  send fluid mayo clinic  local  last  get second opinion asap  ms drug make wors nmo  problem exclud 248,possibl lyme go undignos  long time evolv ms  ive test posit 248,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 248,punctur wound  multipl sclerosi  lyme diseas  central nervous system  lumbar punctur  imag
249,yes clear imag recent  start notic  yes  still consid stroke  imag came clear  one moment time  anyth happen  one side numb  would recommend get check soon possibl 249,could carotid arteri clear massag neck 249,back pain  surgeri  child health  nerv damag  pain back  neuropathi  neuralgia  numb  migrain  pinch nerv  sleep  pain manag  burn  sciatica  neck pain  joint pain  herp zoster  stress headach  tension headach  physiotherapi 249,plaqu  arteri
250,brown mens hello craig56  sex time period due  like could pregnant miscarri endometrium slough imposs blastocyst fertil egg implant  brown discharg  accompani pain  would concern endometri pelvic infect would wise see doctor thx 250,develop halo mole  need concern stitch remov squamous cell cancer mole 3 day ago 250,obstetr gynecolog  cardiovascular diseas  infecti diseas  cardiolog  musculoskelet condit 250,mole  squamous cell cancer  cancer  squamous cell  dermatolog
251,enlarg neck node although infect sinus throat lead enlarg neck node  biopsi need persist rule lymphoma head neck malign 251,could caus tender multipl swollen lymph node left side bodi neck armpit headach fatigu 251,dri mouth  aortic stenosi  dental pain  teeth 251,fatigu  headach  lethargi  swollen gland  enlarg lymph node
252,yes swell stiff us common endoscop carpal tunnel releas take littl time resolv  numb take quit resolv  especi nerv damag sever surgeri  sometim  numb complet resolv  time take 612 month resolv 252,normal tingl hand carpal tunnel surgeri 252,acl reconstruct  sport medicin  acl injuri  knee arthroscopi  rotat cuff repair  pcl reconstruct  stem cell therapi 252,tingl  surgeri  nerv  carpal tunnel surgeri  carpal tunnel syndrom
253,nerv injuri hard know without inform physic exam  wonder could superfici peron nerv injuri often due ankl injuri boot tight 253,ive acl reconstruct foot leg tingl hurt realli bad  noth els bother  pain knee  could reason 253,allergi  rhiniti  skin rash  cough  headach  treat hive  asthma  food allergi  allerg reaction  sleep  diarrhea  immunolog  back pain  environment allergi  antibodi screen  copd  immun cell function  manag eczema  immun defici  immunotherapi 253,foot pain  tingl  gait  acl reconstruct
254,fix hernia primari problem come set risk  one common complic hernia surgeri wound infect albeit rare  attempt remov fat oper would dramat increas risk wound complic  take care primari problem  recoveri  focus attent weight reduct 254,select surgeon inguin hernia surgeri  one lower degre perform most hernia  late  mani patient come back infect  asuperior degre  most perform upper abdomen least post surgic 254,surgeri  hernia  emerg surgeri  spleen injuri  inguin hernia  groin hernia  lump groin  gallston  multipl trauma  critic injuri 254,lump groin  groin hernia  inguin hernia  hernia  inguin hernia surgeri  hernia repair  ruptur  hernia surgeri  surgeri
255,oral surgeon get oral surgeon asap  help  often provid medic relax jaw prior extract 255,best method drain dental abscess 255,fals teeth  dental implant  sleep  dental health  oral surgeri  stress less  abscess  dental care  dental fill  bone loss  ulcer  miss teeth  oral maxillofaci surgeri  diagnost servic 255,abscess  tooth abscess  dental abscess  dentistri  oral maxillofaci surgeri
256,need test chronic yeast infect one resist appropri treatment concern warrant test make sure fact yeast anoth condit bacteri vaginosi std sexual activ  swab vagin area best way diagnos  chronic yeast infect indic system health problem investig 256,9 year old daughter appear sinus infect facial pain  stuffy  cough week  pediatrician twice  antibiot past three night prior vomit lie tri 256,breastfeed child 256,vomit  nausea  sinus  cough  facial pain  vertigo  pediatr pulmonolog  pulmonolog  pediatr  facial
257,number    process caus happen  relat infect  issu  see doctor  hope thing ok 257,caus swollen   hard  pain gland left side groin 257,vaccin  aid  viral hepat  biodefens bioterror  foodborn ill 257,nan
258,possibl could std  also possibl bacteri vaginosi yeast infect  neither sexual transmit  great thing get doc evalu  treatment differ differ caus 258,yes   vagin discharg brownish   cream color   bath daili sometim 3 time day vagina fart smell   std 258,child health  vaccin  autism  autism spectrum disord  pediatr  sid  foster care  fever  age grace  immun  babi hiccup 258,sexual transmit diseas  sexual transmit infect  std  vagin discharg  femal health
259,yes without premed  swell common  antiinflammatori antiswel perscript pre medic  unpleas effect wisdom teeth remov manag quit comfort  discuss treat dentist 259,caviti wisdom tooth make tmd symptom wors 259,sleep  tmj syndrom  teeth  snore  sleep apnea  apnea  root canal  oral surgeri  dentistri  tooth pain  dental implant  cleft lip  bone loss  orthodontia 259,tmj syndrom  dentistri  caviti
260,wisdom tooth answer probabl expect see yor dentist oral surgeon schedul wisdom teeth remov  base descript probabl antibiot soon possibl  feel much better teeth remov longer someth worri 260,impact wisdom tooth caus dizzi ach 260,tmj syndrom  sleep apnea  dental pain  cosmet dentistri  facial pain 260,dizzi  dental pain  tooth pain  deal wisdom teeth  wisdom tooth extract  oral surgeri  oral maxillofaci surgeri  dentistri  vertigo
261,altern medic sure altern medic howev mind maximum daili dose 261,aspirin  acetaminophen ibuprofen equal good prevent heart attack 261,cleft lip palat repair  pediatr dentistri 261,tempra  rufen  panadol  nuprin  motrin  ibuprofen  halfprin  bayer  aspirin  advil
262,unstabl vital  consid unstabl vital sign  call doctor get one asap 262,take advil headach take low dose aspirin 262,emerg medic care  fit exercis 262,headach  high blood pressur  kidney problem  ibuprofen  alev  zorprin  low dose aspirin  naproxen  halfprin  empirin
263,could ulcer pain pattern typic biliari colic  mean cramp pain ruq eat  wors fatti meal  low ef usual recommend remov gallbladd work time  pain pattern differ result good  scope stomach duodenum would good next step 263,hida scan came back 74%  low hyperact gallbladd  im experienc pain right rib  nausea  vomit 263,nan 263,vomit  nausea  hyperact  nuclear scan  emesi  nausea vomit  bile  hida scan  hormon
264,pregnant  blood test definit posit 2 week  possibl could ovul later 264,period 23 day late  sex 2 day expect start date miss last 2 birth control pillsin pack  symptom  negat serum hcg  could possibl pregnant still 264,infertil  ivf pregnanc  polycyst ovarian syndrom  femal infertil  fertil treatment 264,urin  urinalysi  pregnanc test  menstrual period  menstrual cycl  contracept  birth control  healthi pregnanc  femal health  sex
265,non allerg rhiniti rhiniti condit caus nasal congest  sneez  itchi nose  runni nose  caus allergi caus allergi  call non allerg rhiniti nar  nar caus strong odor perfum  smoke irrit  would challeng statement allergi test cumbersom  cost pain perfum 265,salin nasal spray safe use asthma allergi thank 265,child allergi  allergi  asthma  hypersensit  celiac diseas  food allergi  child health  fever  children health  bee sting allergi  allerg reaction insect bite  insect venom panel 265,sinus  asthma  hypersensit  nasal allergi  nasal spray  child allergi  oxymetazolin  pretz  seamist  douch
266,check gallbladd make think either gallbladd caus may food poison  either way need check meanwhil stay light liquid diet 266,33 year old  symptom are: bloat time  chill  headach  nausea  lower back pain  swollen abdomen lot gas  feel dizzi rare case  could problem 266,diabet  osteoarthr  dyslipidemia 266,influenza  flatul  dizzi  headach  nausea  back pain  pass gas  swollen belli  swollen abdomen  low back pain
267,depend  mayb digit mammogram standard mammogram  sometim ultrasound may ad get inform  especi dens breast tissu  younger women dens breast  mammogram may done go straight ultrasound  breast radiologist breast surgeon abl make appropri recommend 267,breast ultrasound effect mammogram 267,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 267,wound  ultrasound breast  magnet reson imag  imag  mri scan  mri breast  sonogram  mammogram  digit mammogram
268, frequent sexual intercours caus yeast infect 268,think may urinari tract infect  hurt urin urin fade strong odor 268,nan 268,urinari tract infect  urinari urgenc  urgent care  micturit  urin  urin
269,dont go toer sudden chest pain due unknown caus must go nearest er make sure heart attach  save life   home remedi kit rule 269,diabet heart diseas dizzi  short breath  cold tip finder chest pain strong indicatro diabet heart diseas 269,cancer  hernia  hemorrhoid  wart 269,fatigu  perspir  diabet  nausea  dizzi  chest pain  heart diseas  chest pressur  chest tight  lethargi
270,earlier 40 depend strong famili histori  famili member test posit brca 1 2 gene mutat help guid screen mammogram start  consid genet counsel 270,get regular mammogram breast cancer run famili  want make sure im everyth stay good health  age recommend women start get mammogram 270,cancer  breast cancer  pancreat cancer  colon cancer 270,breast carcinoma  breast cancer  cancer  radiolog  femal health  surgeri  run  mammogram
271,keep pulm dr keep see pulmonari lung specialist dr  alway teach medic student  treat peopl  test result  get caught test diagnosi rather medic treat condit improv symptom may best  accomplish good relationship lung dr  best wish 271,what relationship interstiti lung diseas pulmonari fibrosi 271,urinari tract infect 271,lung diseas  interstiti lung diseas  pulmonari fibrosi  idiopath pulmonari fibrosi  idiopath
272,tmj pain around th ear jaw follow tonsillectomi probabl result keep mouth wide open long time surgeri put lot strain temptomsndibular joint tmj muscl involv joint  talk dentist exercis eas pain also muscl relax pain med  take 272,long tonsillectomi eat real food 272,teeth  dental implant  incis drainag  temporomandibular disord  dental bite disturb 272,scratch  nutrit  remov tonsil
273,yes possibl pop click joint difficult elimin  even surgeri  pain lock limit open troubl close   may live pop  conserv treatment help diminish cut pop  seek tmj tmd specialist 273,bee sting make whole leg swell  even yore allerg got stung bee medial left knee 36 hour ago  never saw bee  assum symptom bee  sting swell nonstop sinc 273,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 273,bee sting  allergi
274,infect v allergi acut  like viral infect  histori allergi  could caus  antihistamin dont help  probabl virus  doctor tell certainti physic exam 274, bad sore throat  fever consist 99101 degre  headach  slight cough  stuf nose came quit sudden sunday  could 274,adhd  depress  autism  children health  autism spectrum disord  bipolar disord  adderal  ritalin  dextroamphetamin racem amphetamin  eat disord  learn disabl  tourett syndrom  adolesc health 274,flu  cough  throat pain  fever  sore throat  headach  stuf nose  common cold
275,infect probabl infect  see doctor 275,hernia groin basketbal tryout today  safe tryout right side realli close creas thigh meet vagina 275,shingl vaccin  lose weight  low blood count 275,hernia  femal health
276,headach wean u klonopin u first place guess ur headach relat u probabl call ur doc 276,pain right eye  nose forehead  also feel disori  never sinus problem  lupus  high blood pressur heart bypass past  even hurt put glass 276,anesthesia  chronic pain  backach 276,high blood pressur  feel disori  system lupus erythematosus  abnorm blood pressur  glass  hypertens  eyeglass  bypass surgeri  blood pressur  hypertens
277,sure    might associ infect tooth gum  know sure  yoll visit local dentist  make call appoint 277,would deep plane face lift leav less sensat face breast lift year ago  know cosmet surgeri caus loss feel treatment area  id like reduc sag cheek around mouth 277,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 277,surgeri  facelift  cosmet surgeri  breast lift
278,see podiatrist possibl may keratin tissu  fungus  bacteri colon  pyogen granuloma     without visual lesion harder give definit diagnosi  podiatrist like diagnos offer treatment see toe 278,ingrown toenail develop skin abscess ive alway irrit ingrown toenail  late  even red swell toe near nail  clip nail sever day ago still swell  actual went 278,plantar fasciiti  diabet foot  neuroma 278,red skin  abscess  skin abscess  ingrown toenail  foot care  podiatri  toe pain
279,mayb possib could still benign  sound like doc check abnorm mammogram find  high suspici  would alreadi biopsi  hope get result soon  get biopsi need  hope  reassur look ok appropri followup schedul 279,need pet scan surviv breast cancer breast cancer stage 1 treatment success   mammogram cancer   treatment chemotherapi radiat 279,cancer  breast cancer  skin cancer  breast carcinoma  melanoma  laparoscop surgeri  inflamm thyroid  adren tumor  thyroid cancer  pheochromocytoma  thyroid nodul  breast lump 279,breast cancer  breast carcinoma  cancer  pet  magnet reson imag  comput tomographi  femal health  radioact  medic oncolog  pet scan
280,low bp recommend hydrat  evalu symptom dont resolv 280,question  bad sharp headach wake night  im sure  symptom  dizzi  lighthead  feel loss balanc  feel weak tire troubl concentr  tingl head hurt  b 280,cardiolog  coronari arteri diseas  cholesterol test  congest heart failur  cardiac echo  echocardiogram  arrhythmia  prevent medicin  heart diseas prevent  ct heart scan  abnorm electrocardiogram  gestat hypertens 280,difficulti concentr  dizzi  lightheaded  headach  tingl  loss balanc  vertigo  neurolog  sleep
281,various zyrtec good medicin counter  add singulair yoll need doctor prescript  nasal spray  test decreas exposur whatev allerg  desensit allergi treatment 281,get bubbl eyebal sever allergi attack  normal reaction im allerg cat dander im expos eye get itchi wateri  howev past year ive notic bubbl fluid left eyebal 281,diabet  adhd  nutrit  weight loss program 281,hypersensit  olopatadin  optometrist  ophthalmolog  patanol  eye health  artifici tear  steroid  dander  allergi
282,that possibl possibl clot  would get check consequ clot serious 282,eye wake morn yellow crust upper eyelid side left eye red sore thought pink eye ask school nurs said wasnt help pleas thank 282,acn  botox 282,allerg conjunct  red skin  pink eye  ophthalmolog  bacteria  conjunct
283,medic caus rule  next step psychiatr evalu rule rule anxieti disord  take care 283,mitral valv prolaps realli asymptomat congenit mitral valv prolaps heart murmur  start feel dizzi  fatigu develop mild chest pain went see  cardiologist  read www mayoclin com thes 283,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 283,dizzi  chest pain  asymptomat  mitral valv prolaps  heart murmur  mvp  chest tight  chest pressur  angina  cardiolog
284,current  current  institut recommend woman risk factor begin year screen mammographi age 40  howev  recommend begin screen mammographi becom controversi due recent publish recommend us prevent servic task forc recommend screen mammographi women age 50 74 year  rational behind recommend screen mammographi women age 40  49 year result fals posit result compar cancer detect  current  american colleg radiolog american cancer societi recommend year screen begin 40 year age 284,im 70  im serious consid hair transplant cover bald spot  old age play part whether hair transplant success certain age group make best candid work well 284,eat healthier  diabet  chest pain  difficulti breath  coronari arteri diseas  cardiopulmonari resuscit  air embol  travel  mountain sick  hyperbar chamber  collaps lung  motion sick  hyperbar oxygen therapi  decompress sick  pneumonia  hypersensit pneumon 284,bald  transplant  circul  graft  transplant  sun damag  hair transplant
285,long day  need worri colon cancer high  high unlik 17  sever week +  might want see physician 285,get cdiff without colon fianc hospit right  hes serv diarrhea  stomach pain  headach along extrem nausea  doctor said cdiff thing got entir colon remov back 2010 285,hepat  colonoscopi  hepat b  cirrhosi liver  endoscopi  diarrhea  hepat c  hep c  hemorrhoid  liver cancer  food allergi  alcohol  colon cancer 285,nausea  stomach pain  diarrhea  headach  loos stool  dysenteri  stomach discomfort  clostridium difficil infect  gastrointestin pain  colon
286,mani thing could food impact behind tooth gum tissu  tooth decay lead drain abscess  could also periodont diseas caus pocket trap bacteria food debri caus periodont abscess  could number thing  way realli find get dental exam xray 286,black dot bottom last mole one wisdom teeth im 21 year old femal recent went dentist xray said caviti everyth good month ago could b 286,dental pain  dental health  fluorid 286,mole  cari  wisdom teeth  bacteria  enamel  tooth decay  fluorid  dentistri  dental cari  lurid
287,yes breast cancer first treat surgeri  breastconserv surgeri  radiat necessari  breast cancer need treatment chemotherapi  breast cancer estrogen sensit  often treat oral medic block estrogen instead chemotherapi 287,breast cancer recur radiat therapi 287,breast cancer  chemotherapi  ovarian cancer  metastat breast cancer  medic oncolog 287,breast cancer  breast carcinoma  cancer  radiat therapi  irradi  gamma ray  radioact  femal health  mastectomi  lumpectomi
288,yes breast cancer first treat surgeri  breastconserv surgeri  radiat necessari  breast cancer need treatment chemotherapi  breast cancer estrogen sensit  often treat oral medic block estrogen instead chemotherapi 288,radiat therapi treat breast cancer come back lung 288,breast cancer  chemotherapi  ovarian cancer  metastat breast cancer  medic oncolog 288,breast cancer  breast carcinoma  cancer  radiat therapi  irradi  gamma ray  radioact  femal health  chemotherapi  hormon
289,mri guidelin mri brain spinal cord may show area abnorm signal consist ms must taken context individu clinic cours  object find neurolog exam  better explan forthcom  ms diagnosi support mri find  often addit support spinal fluid abnorm consist diagnosi 289,like diagnos ms origin went doctor numb tingl hand foot gotten sever pain opposit arm hip two occas   one white spot found brain mri  minor degen c 289,multipl sclerosi  hand tremor  wound heal  immun 289,tingl  numb  multipl sclerosi  numb tingl  mri  magnet reson imag  mri brain
290,yes breast cancer first treat surgeri  breastconserv surgeri  radiat necessari  breast cancer need treatment chemotherapi  breast cancer estrogen sensit  often treat oral medic block estrogen instead chemotherapi 290,breast cancer came back 13 year  radiat chemotherapi improv sinc 290,breast cancer  chemotherapi  ovarian cancer  metastat breast cancer  medic oncolog 290,breast cancer  breast carcinoma  cancer  gamma ray  irradi  chemotherapi  radioact  femal health
291,sever mani general dentist well train qualifi routin remov wisdom teeth practic  oral surgeon advanc train often treat complic difficult case may better equip handl complic may occur  although general dentist may offer iv sedat  oral surgeon offer iv sedat general anesthesia routin 291,unsaf apicoectomi tooth #19 dentist made xray found infect root canal  root canal done 3 year ago got new crown  appoint oral surgeon today  said 291,wisdom tooth extract 291,imag  endodont  root canal  oral maxillofaci surgeri  dentistri  crown
292,call doctor realli pure due radiat pneumon  prednison may help outpati  would want sure concomit infect problem  doctor abl help 292,cystic fibrosi get lung transplant  diseas eventu invad new lung 292,asthma  lung cancer  copd  lung nodul  icu care 292,cystic fibrosi  transplant  transplant  lung transplant  bacteria
293,rins warm salt water rins better job bioten abcess  use 2 tablespoon salt 1 glass water  swish around spit  46x day get dentist 293,pop dental abscess think dental abscess  soft squishi  doesnt realli hurt annoy  alreadi tooth drain whatev dentist  pop use steril needl 293,dental health  tmj syndrom  cosmet dentistri  cosmet 293,abscess  tooth abscess  dental abscess  dentistri
294,year forti  baselin 35 ten year mother relat breast cancer 294,often receiv mammogram 29 year old  knot right breast sinc 2007  dr say caus caffin get sore sometim first knot remov came back non cancer cancer cell wher 294,ct scan  stroke  varicos vein  carotid arteri diseas  venous insuffici  vascular ultrasound  aorta bilater iliofemor runoff cta 294,cancer  mammogram  ultrasound breast  digit mammogram
295,yes matter treatment  cancer breast 100 % result  lumpectomi radiat cancer still recurr  patient need follow doctor exam xray  recurr option exist mastectomi 295,cancer come back breast breastspar surgeri  need mastectomi abl breast reconstruct even though radiat 295,cancer  radiat therapi  prostat cancer  radiat oncolog  oncolog 295,breast cancer  cancer  gamma ray  radioact  irradi  surgeri  breast radiat  lumpectomi  femal health  breast reconstruct
296,true caviti get bigger deeper caus problem expos vital nerv  infect  etc  thing hurt whether eat  could one dental problem  see dentist soon possibl find problem best treat it\them 296,suck pacifi better babi dental health suck thumb daughter suck thumb time  weve heard damag child teeth  sinc pacifi softer  hope could someho 296,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 296,respiratori system  facial  pacifi  dental health  children
297,see shoe usual provid cushion support barefoot: especi hard servic  care harder surfac tile  condit persist  see podiatrist examin  itch could fungus  allerg reaction condit 297,constant tingl leg pain could  diabet  last three month tingl pain buttock way foot  left side  hurt sit lay 297,foot care  diabet foot  pediatr 297,leg pain  tingl
298,good idea trial implant work  perform revis surgeri studi reason think fifth surgeri would help burn pain could perman nerv damag structur solut block transmiss affer impuls make sens 298,besid surgeri altern knee pain  becau 88 year old femal  good health fear possibl  stroke surgeri  tri mani pain reliev noth seem help  also neuropathi feet  dia 298,backach  scoliosi  back pain  pain back  sciatica  abnorm curvatur spine  bulg disk  spinal fusion  spinal stenosi 298,knee pain  cerebr vascular accid  stroke  nerv damag  neuropathi  pain medicin  pain reliev  surgeri
299,scalpel denitsr method drain abscess depend great locat abscess  reach drain  typic  oral surgeon general dentist drain near surfac abscess scalpel place drain ensur drain complet  would attempt sinc anatom consider make may make danger 299,dental abscess leak dental abscess drain two day ago  im antibiot told come back week  lay today heatpack jaw sore tast someth weird  look mirror 299,dental care  dental health  dental procedur  dental pain 299,abscess  tooth abscess  dental abscess  dentistri  antibiot  sodium
300,patient common experi pain swell wisdom tooth extract  may last 710 day  experi sever pain swell 7 day tooth remov  visit dentist rule complic 300,serious troubl five teeth pull 15 hour ago least two abscess  dentist could drain pull pus still hard  anti biotic 41 hour  pus drain ove 300,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 300,abscess  pus  tooth extract  dentistri  antibiot
301,stain sort dentist given clean bill health regard teeth  suspect see either stain ebern enamel  ebern enamel affect enamel  outer cover tooth repeat acid attack bacteria interspers heal period possibl fluorid well heal  usual seen teeth oppos top 301,sound like crack tooth syndrom bite chew hard thing  hurt left rear mouth dentist couldnt find anyth xray  said caviti  cant figur reason would hurt 301,cari  orthodont  dental cari  tmj syndrom  dental health  dental care  orthodont retain  crowd teeth  dental pain  anesthesia  teeth clean  dental fill  teeth brush  dental implant  dental plaqu  mouth brace  dental sealant  dental brace  dental anxieti  dental clean 301,crack tooth syndrom  dentistri  human bite  caviti
302,possibl possibl like  usual takesor exposur 302,get bad headach month top head pressur feel  head feel sore touch  like hair sore  could beseri 302,facial paralysi  tracheostomi  hemangioma  cleft lip palat repair  head neck cancer  hemangioma remov 302,headach  muscl spasm  spastic  tmj syndrom  children motrin  motrin  low temperatur  analges  diet  rufen
303,see pop normal occurr  start experienc pain need evalu doctor 303,pain knee    feet 9 hrs  walk  bend squat     im rest tend hurt worst   shin calf achespain 303,rheumatoid arthriti  autoimmun diseas  rheumatolog  sjogren syndrom  psoriat arthriti  lupus 303,knee pain  obes  mens  lose weight  squat  orthot
304,herp transmiss herp simplex virus hsv two types: type general infect mouth produc fever blister  type ii common genit  howev  perform oral sex someon infect hsv ii result oral herp  blood test quick determin yove infect either strain  antivir help reduc shed infect 304,definit descript of: herp simplex ii igg igm 304,prostat cancer  bph  prostat specif antigen  erectil dysfunct  testosteron  urinari incontin  robot surgeri  treat kidney stone  kidney cancer 304,cold sore  herp  antibodi  immun globulin  immunoglobulin  immunoglobulin  herp simplex  immunoglobulin g  virus
