0,need evalu descript symptom may due postop infect hematoma  followup dentist oral maxillofaci surgeon would strong recommend proper diagnosi treatment correct problem 0,use salt water nasal spray help prevent develop perfor septum 0,wisdom tooth extract 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
460,specif term alreadi mention  anisometropia appli mean differ refract error eye  specif term form farsight  nearsight eye  one except  purpos correct littl nearsight one eye  distanc  call monovis aim avoid read glass  hope help 460,small fiber neuropathi im take 900 mg gabapentin foot pain  help  what chanc max dose help 460,vision  floater  macular degener  eye health  age relat macular degener  eye exam  retin surgeri  eye floater  uveiti  retin detach surgeri  diabet retinopathi  retin detach repair  retin vein occlus  epiretin membran  macular hole 460,foot pain  nerv damag  neuropathi  neurontin  lyrica  gabapentin  pain manag  fiber
461,migrain migrain headach present sinus headach without actual sinus symptom  could also tmj caus facial pain 461,non steroid non surgic treatment l5s1 disc hernia 461,headach  lose weight  diabet  fibromyalgia  chronic pain  alcohol  manag high blood pressur  live fibromyalgia fms 461,hernia  physic therapi  ibuprofen  surgeri  laparoscop surgeri  exercis
462,yeast infect addit similar  although probabl make absolut differ way count  yes use otc cream along oral fluconazol 462,doctor said uti symptom prescrib antibiot without perform urin cultur  concern 462,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 462,urinari tract infect  urin  urin cultur  antibiot
463,altern need   doubl  often altern produc improv effect ibuprofen acetaminophen vicodin  unsur   call surgeon  unless impact wisdom teeth  ibuprofen tomorrow  best antiinflammatori effect  good luck 463,callous insid babi toe   hurt realli bad  get get rid 463,fals teeth  dental implant  sleep  dental health  oral surgeri  stress less  abscess  dental care  dental fill  bone loss  ulcer  miss teeth  oral maxillofaci surgeri  diagnost servic 463,wound  incis  podiatri  callus  bone spur
464,yes man ejacul  certain get girl pregnant unless test told sperm immotil sperm  sexual hormon bind globulin go determin fertil  find shbg level 464,breast biopsi 2 month ago benign lactat chang  feel like feel tini lump clip put 464,femal health  contracept  ovul  mens  fertil  healthi pregnanc  yeast infect  oral contracept  sexual transmit diseas  home pregnanc test  pregnanc loss  tri conceiv  get pregnant  polycyst ovarian syndrom  sexual transmit infect  pap smear  intrauterin devic  first trimest pregnanc  pelvic inflammatori diseas  endometriosi 464,scar  cancer  cicatrix  breast biopsi  biopsi
465,sound like descript sure sound like sleep apnea problem  need see doctor asap hope get refer sleep studi treatment initi  dont hesit 465,advers reaction bactrium  start get flu like symptom  visibl swollen lymph node neck thatmov hive swollen tongu  still gettingintermitt hive swollen tongu  9 day last pill normal 465,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 465,flu  hive  hypersensit  enlarg lymph node  swollen gland  swollen tongu  allerg reaction  sulfamethoxazol trimethoprim  allergi  bactrim
466,pain control neurontin effect treat nerv pain stop progress peripher neuropathi  typic neuropath pain involv burn pain occur damag nerv  spinal cord  brain  neurontin anticonvuls suppress abnorm neural activ 466,two color mole pr definit melanoma 466,nerv injuri  thorac outlet syndrom  minim invas surgeri  arthroplasti  cervic spine 466,mole  melanoma  skin cancer  malign melanoma  suspici mole
467,thank ask pain caus fatigu  skin burn 467,tweak right knee play basketbal last year put pressur certain angl  give  could 467,nan 467,imag
468,masturb caus harm  caus hair loss  acn  dementia diseas 468,unprotect sex 2213  could pregnanc mistaken cyst right ovari 2202013 468,cancer  nutrit  cervic cancer  ovarian cancer 468,sex  healthi pregnanc  pregnanc  femal health
469,egg vaccin virus use make influenza  mmr vaccin grown hen egg  manufactur process remov egg mmr  lot flu vaccin retain trace egg  may caus problem patient egg anaphylaxi  patient receiv flu vaccin appropri safeti measur either skin test vaccin inject vaccin 2 dose  1st low test dose 469,common cyst form nippl male swell oneday   next day smaller  worri male breast cancer 27 yr old male 469,asthma  child allergi  allerg reaction 469,breast cancer  breast carcinoma  cancer  male breast cancer
470,1 week feel much better get back normal 1 week  howev  infect persist see oral surgeon xray examin  take care 470,raloxefen breast cancer treatment help bone osteoporosi build new bone   prevent hip spine fractur 470,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 470,heart diseas  breast carcinoma  breast cancer  osteoporosi  cancer  estrogen  evista  femal health  cancer treatment  medic oncolog
471,muscl peron fibular muscl locat later side leg littl toe portion  long one longus short brevi  damag muscl rare  depend type pain durat  aggrav e  walk  may due blood suppli muscl aggrav tendon attach muscl bone  examin need 471,sinus caus teeth ach lower bottom dull  ach bad gum  fibro  herniat disc   headach  runni nose  see ent dentist 471,nan 471,rhiniti  headach  herniat disk  bulg disk  fibromyalgia  runni nose  orthoped surgeri  ent head neck surgeri  dentistri  periodont
472,possibl depend size cyst  could imping maxillari branch trigemin nerv  innerv upper teeth palat  squeez nerv result facial pain headach  although opposit side  would speak ent rule caus 472,angelina joli brca test  doubl mastectomi oophorectomi mean averag woman 472,sleep apnea  pediatr  obstruct sleep apnea  cosmet dentistri  dental care  esthet dentistri  dental pain  dental implant 472,mastectomi  femal health
473,stomat like inflammatori reaction combin irrit tobacco smoke  googl pictur compar  recommendation: alreadi know smoke healthi caus cancer  lucki bodi first alert benign one  realli want chanc malign one one never know much take caus cancer  see dentist pcp cessat tip 473,might go find doctor special breast augment cosmet surgeri 473,sleep  dental health  dental implant  sleep apnea  apnea  surgeri  cosmet dentistri  snore  teeth  brace orthodont  cold sore  tmj syndrom  root canal  cari  child health 473,plastic surgeri  cosmet breast surgeri  surgeri  cosmet surgeri  breast augment
474,evalu person chest pain need evalu treat appropri  multipl possibl caus may be: heart attack  esophag reflux  anxieti  musculoskelet  pneumonia  pulmonari embolus  aortic dissect  evalu right away prevent potenti serious complic 474,brain aneurysm coil  bp low 88 46 puls 100 daili headach dizzi 474,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 474,dizzi  headach  aneurysm  brain aneurysm  blood pressur  vertigo
475,allergi  tri antihistimin like tavist 475,breast biopsi report said took 4 biopsi patholog report said 3 core measur 89cm  arent 4 core 475,prevent medicin  malign hyperthermia  emerg medic care  sport medicin 475,radiolog  breast biopsi  biopsi
476,wrist guard avoid activit involv use hand must use hand tri minim amount  wear wrist guard night sleep  usual symptom get better deliveri 476,rash inner top foot  red  dri  itch hot water hurt bad  eczema possibl athlet foot 476,contracept  nutrit  safeti 476,skin rash  red skin  dermat  athlet foot  athlet  eczema  rash
477,meniscus tear might torn meniscus need see ortho done mri evalu  take advil 200 mg 2 tab food 34 time day need avoid activ increas pain forget ice 477,anyth done reduc elimin snore   husband doesnt sleep apnea snore prevent us share bed 477,joint pain  diabet type 2  ldl  adult obes  insomnia 477,snore  sleep apnea  apnea  sleep
478,normal normal area firm sensit  could last week month  tri desensit massag  take hand cream massag area 2 3 time day help resorb scar tissu desensit area 478,famili friend infect wisdom teeth   amoxicilin 500 mg capsul prescrib dentist  rash face ok 478,carpal tunnel syndrom  arthriti  nerv injuri  rotat cuff injuri  hand bone fractur 478,skin rash  rash  antibiot  wisdom teeth  dentistri  amoxicillin
479,could either symptom describ could indic either bacteri viral infect although statist  viral infect common  examin import  fact flu shot great flu shot protect 24 worst strain influenza flu season doesnt protect thousand strain flu  best see doctor 479,im 47 regular cycl  sex ovul day  day  one day aunt flo due  got lot creami cervic mucus  feel tire  breast feel full mild cramp abdomen  sign pregnanc 479,exercis  backach  depress  obes  dyslipidemia 479,mens  miss period  menstrual cycl  menstrual period  pregnanc  menstrual  healthi pregnanc  femal health  sex
480,2nd eye surgeri patient heal well quick second eye done within12 week first eye 480,remov corn callus feet 480,lasik  cataract surgeri  dri eye  corneal transplant 480,corn  deodor  callus
481,time bomb combin prescript medic illeg drug would crazi  tri turn brain time bomb 481,took colostrum 1 5 month began shed hair  scalp itchi  stop take today  hair loss stop hair regrow heard igf1 caus 481,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 481,bald  vitamin defici  hair loss  humulin  supplement  novolin  insulin
482,call doc may resisit infect macrobid uncommon u may get kidney infect  doc doesnt call back go er evalu wnat r kidney stone also 482,darken nippl  light tinglyga maybelik cramp  nausea  food crave  dizzi  noseble   sore breast pms pregnancyalso light bleed 482,femal health  healthi pregnanc  mens  contracept  bleed  tubal ligat  vagin discharg  pelvic pain  vagin bleed  high risk pregnanc  hormon treatment 482,nose bleed  pass gas  dizzi  nausea  flatul  premenstru syndrom  breast pain  bloodi nose  noseble  nutrit
483,keep leg elev well much possibl  uncommon  long last may also depend type surgeri specifi 483,could breast lump oval horizont point  size green grape  movabl  sore touch 483,plantar fasciiti  diabet foot  neuroma 483,benign tumor  neoplasm  breast lump  cancer  tactil
484,depend normal person get slight dilat common bile duct cholecystectomi surgeri  common bile duct stone would quit unlik year surgeri  possibl  depend surgeri first place gallston biliari dyskinesia  chronic pain resolv gallbladd surgeri may need evalu doctor gastroenterologist 484,normal black blue palm hand wrist post carpal tunnel surgeri   5 day 484,cancer  hernia  breast cancer  laparoscop surgeri  surgeri  breast carcinoma  gallston  colon cancer  inguin hernia  abdomin pain  diverticul  gi cancer  abdomin surgeri  laparoscop gallbladd remov 484,ecchymos  surgeri  carpal tunnel releas  carpal tunnel syndrom  carpal tunnel surgeri
485,umcka cold care umcka cold care natur way would caus conflict child zoloft abilifi  http:  www umcka com  differ varieti flavor  avail health food store regular pharmaci  child need  though  rest plenti fluid 485,may far fetch plavix caus depress reduc effect wellbutrin 485,nan 485,insomnia  tremor  feel anxious  depress  seizur disord  shake  seizur  anxieti  plavix  wellbutrin
486,blood stool need see gastroenterologist  sooner later 486,hemeroid use lil rectal bleed would make u soak toilet paper bright red blood  ib 486,bowel perfor  weight loss surgeri  hip pain  colorect cancer 486,neoplasm  coliti  irrit bowel syndrom  rectal bleed  cancer  hemorrhoid
487,hint alt sgpt wayhigh unless yore rhabdomyolysi  liver cell damag leak enzym  doesnt matter alk phos slight refer rang doesnt worri lab okay  need find what go liver  med  need exercis  chronic hepat  someth els 487,ten day surgeri repair meniscus left knee  ankl foot swollen  sonogram clot negat  normal 487,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 487,joint surgeri  exercis  ten  surgeri  sonogram
488,mani possibl colleagu gave reason possibl agre  import feel better day dentist actual extract tooth best one know like caus pain long take go away   consid see anoth dentist second opinion 488,mani visit take molar root canal visit dentist than10 time still tooth sore  went differ doctor get seal still pain 488,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 488,dentistri  endodont  root canal  dental health  dental care  oral health
489,runny:nl pain:not runni nose common rhinoplasti  pain common may indic problem report physician assess nasal obstruct possibl hematoma 489,husband brother malign melanoma  increas chanc would get  children 489,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 489,skin chang  melanoma  skin cancer  cancer  malign melanoma  genet linkag  children
490,spine surgeon given natur spine surgeri  fact neck may need    extend    anesthesia purpos breast surgeri  best wait    clearanc    spine surgeon  patient risk disrupt cervic spine work done  best wish 490,certain medicin type med caus hot flash men take med bp  prevent kidney stone  diabet  depress 490,surgeri  femal health  breast reduct surgeri  tummi tuck  breast implant  liposuct  gynecomastia  cosmet surgeri  male breast enlarg  tuck  breast augment  plastic surgeri  breast lift  breast surgeri  mini tummi tuck  exercis  plastic cosmet surgeri  male breast reduct  facelift  neck liposuct 490,hot flash  diabet  diabet type 2  depress  multipl sclerosi  nephrolithiasi  kidney stone  supplement  femal health  niacin
491,here headsup sjogren actual produc brain lesion mimic multipl sclerosi  white folk antiro antila board sjogren ancestri may  read littl get knowledg physician  fair short time  best physician appreci kind partnership 491,major gi issu feel stuff get stuck throat ana posit skin issu raynaud think may scleroderma   advic scare see dr  chittaje tomorrow  im 27 491,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 491,raynaud  raynaud diseas  dermatosclerosi  scleroderma  nutrit  egd  gastroenterolog  endoscopi  ana
492,yes radiat use cure lung cancer  use vari combin surger chemotherapi find best treatment stage type lung cancer  use everi case lung cancer accomplish desir effect  stage one exampl requir radiat would help surviv patient surgeri lobectomi 492,fell hurt knee  swollen  bruis  1 week later side foot start turn black  blue  hot touch concern 492,cancer  radiat therapi  prostat cancer  radiat oncolog  oncolog 492,podiatri  gait  knee injuri  tactil
493,see doctor could varieti hormon problem  includ high prolactin  mass abdomen could also caus symptom  need examin 493,staph suspect mrsa neck  cover  treat w med topic n oral   c n child sleep bed lysol sheet 493,contracept  polycyst ovarian syndrom  high risk pregnanc  laparoscop surgeri  excess menstrual bleed 493,mrsa  staphylococc infect  children  sleep  pediatr
494,see dr  symptom continu  need see dr  rather mask effect med  need get sourc problem 494,scalp itchi  use everi dandruff shampoo drug store make wors  mild psoriasi knee foot  could relat 494,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 494,dandruff  pediculosi  psoriasi  sever itch  lice  children
495,may move fractur may move seen first doctor  need surgeri  follow guidanc prevent displac 495,wisdom tooth extract  yesterday dentist stitch hole stop bleed last night know clot ok 495,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 495,thrombus  dentistri
496,possibl breast ultrasound may request evalu specif abnorm mammogram  acomplaint may specif area breast  area felt examin either seen mammogram  seen well mammogram 496,ever heard doctor prescrib blood pressur med four year old sleep along adhd med 496,cancer  breast cancer  low blood count  chemotherapi  leukemia  ovarian cancer  anemia  lung cancer  kidney cancer  breast carcinoma  mouth cancer  prostat cancer  laparoscop surgeri  enlarg lymph node  lymphoma  bruis  hematolog diseas  cervic cancer  colon cancer  itp 496,adhd  hyperact  duraclon  sleep children  hydroxyzin  melatonin  clonidin  children  catapr  sleep
497,yes wisdom tooth decay infect lacer edg tongu irrit bump edg    see dentist examin wisdom tooth may extract 497,asymmetr mole differ shade small black tubular growth cross use pic profil  melanoma 497,root canal  oral surgeri  dental implant  child health  cosmet dentistri  teeth 497,mole  skin lesion  melanoma  skin cancer  cosmet surgeri  plastic surgeri  surgeri
498,dont marijuana secret breast milk may affect babi brain  earli marijuana exposur lead mani psychiatr disord  futur substanc abus disord 498,pain upper buttock hip joint move leg sideway  hip problem sciatica groin pain could hernia 498,depress  child health  anxieti  mens  dementia 498,hernia  low back pain  sciatica
499,let settl im realli sorri seem made psoriasi wors phoni appl cider vinegar cure  get back dermatologist  confess everyth  get treat scientif 499,insomnia  frequent wake  heavi snore  unrefresh sleep  fatigu everi day  sleep studi confirm sleep apnea present  could 499,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 499,insomnia  snore  fatigu  unrefresh sleep  apnea  lethargi  sleep apnea  sleep studi  sleep  oxygen
500,see womenshealth gov radiologyinfo  org mammogram 500,dad bad pain  elbow wrist  finger  neuro diagnos ulnar nerv entrap  improv 1 week  pain 500,ct scan  stroke  varicos vein  carotid arteri diseas  venous insuffici  vascular ultrasound  aorta bilater iliofemor runoff cta 500,asthenia  pinch nerv  numb  hand weak  gabapentin  neurontin  flexion  neurosurgeon  antiinflammatori  neurosurgeri
501,pinch nerv shold pain neck motion pinch c5nerv root pain shoulder pain neck extens call spurl maneuv usual bone spur disc herniat c45 someth consid see doctor physic exam well could sore muscl esp tender palpat 501,think 16yr old bloat feel pressur abdomen 4 week stomach cancer 501,backach  scoliosi  back pain  pain back  sciatica  abnorm curvatur spine  bulg disk  spinal fusion  spinal stenosi 501,abdomin bloat  gi cancer  cancer  stomach cancer
502,ct scan abdomen pelvi get good look liver spleen  also make sure get cbc  white count elev lymph node investig  last  sinc smoker signific weight loss  cxr also good idea  best luck 502,mani year tumor benign turn malign  becous tumor parotid gland 2 year never increas size 502,nan 502,neoplasm  cancer
503,board certif look surgeon board certifi plastic surgeri american board plastic surgeri  usual also member surgeon group like american societi plastic surgeon  american societi aesthet plastic surgeri  boardcertif like pilot licens  wouldnt get plane flown someon didnt requisit train 503,come stress incontin  nobodi els famili 503,breast augment  cosmet surgeri  liposuct  tummi tuck  breast implant  facelift  breast lift  botox  eye lift  chemic peel  laser resurfac  juvederm  laser skin resurfac 503,stress  stress incontin  incontin  urinari incontin  kegel exercis  exercis  gynecologist  stress urinari incontin
504,evalu  ankl pain follow injuri may last long time  pain may due fractur  sprain  arthriti  soft tissu injuri involv tendon  ligament nerv   foot evalu may get appropri care 504,radial arteri occlus  u know u good vascular blood suppli circul finger hand  test determin 504,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 504,circul  arteri
505,rheumatologist descript sound like period low platelet  probabl raynaud phenomenon ach  fatigu  suggest see rheumatologist 505,extrem tight jean caus dvt blood clot leg 505,rheumat diseas 505,blood clot  blood clot leg  deep venous thrombosi  cancer  desogen  femal health  gait  levlen  brevicon  birth control pill
506,see doctor  stop trazodon like affect sleep  recommend tri increas nortriptylin 20 mg see help sleep better 506,pain right side palm wrist area radiat arm carpal tunnel 506,diabet  osteoarthr  dyslipidemia 506,carpal tunnel syndrom
507,joint inflamm mayo clinic great patient educ articl condition: http:  www  mayoclin com health juvenilerheumatoidarthr ds00018 507,left side bodi sometim feel weaker stiffer right  sometim get headach right side head  health anxieti  wonder sound like brain tumor 507,diabet  fever  nutrit  pediatr  exercis program 507,headach  feel anxious  migrain headach  migrain  neoplasm  cancer  brain tumor  neurolog  magnet reson imag  mri
508,uar patient snore frequent awaken nonrestor sleep  diagnosi often uar upper airway resist syndrom similar spectrum apnea  often devic snore guard one snore rx treat nasal congest theraventsnor  breathright  nasal spray help  see sleep specialist get answer need 508,chemic peel skin   acn scar go away 508,insomnia  narcolepsi  restless leg syndrom  copd  sleep apnea 508,acn  pimpl  scar  acn scar  facial pimpl  chemic peel  laser  laser resurfac
509,small nodul mms  usual cours action would followup month  chang followup period might extend 6 month year  nodul show growth might ct guid needl biopsi nodul big enough 810mms   rememb  great major nodul benign  usual incident granuloma 509,hemorrhoid everi bowel movement reason see dr  bleed   pain feel pressur  push back  use suppositori 509,fetal ultrasound  ultrasound thyroid 509,general surgeri  general surgeon  anal swell  intestin  hemorrhoid  bowel movement  bowel
510,yes  often seen post op 510,got callous babi toe next toe   ive tri scale cant get way   anyth 510,nan 510,children health  callus
511,see dentist teeth shift chang age  new restor caus imbal  go back dentist make sure new restor slight contour  that problem  occlus evalu orthodontist 511,melanoma look like seem black mole upper back 511,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 511,mole  feel anxious  skin cancer  melanoma  biopsi  anxieti
512,edema fluid lung may need fluid overload pulmonari edema  difficult answer question complet pictur 512,two neg  dimer test  leg kill  never dvt ever worth get ultrasound sure 512,heart failur  angina  atrial fibril  congest heart failur  thyroid diseas  liver diseas  stroke  biliari tract diseas  sepsi 512,blood clot leg  deep venous thrombosi  sonogram  arteri  dimer  vascular surgeri
513, oab  ic  dm  ms may overact bladder  interstiti cystiti  diabet caus symptom   know dont uti mean urinalysi negat would demonstr sugar  neurolog condit multipl sclerosi  spinal cord brain condit give symptom  would like neurolog symptom  good luck 513,stage 2b idc breast cancer  tripl posit  us show 6mm thyroid nodul calcif next carotid  insist fine needl biopsi 513,circumcis  bedwet  incontin  kidney problem  hypospadia repair  bladder exstrophi repair 513,breast cancer  thyroid nodul  breast carcinoma  cancer  needl biopsi  nodul  arteri  radiolog  biopsi
514,wisdom teeth sound like wisdom tooth problem  havent remov get dentist check  could also advanc caviti result tooth abcess 514,might still breastfe nippl incis breast augment 514,nan 514,pregnanc  implant  cosmet breast surgeri  incis  breastfeed  breast augment
515,would go see dr  nabeel farah  md sleep medicin consult north texa 8220 walnut hill lane #101 dalla  tx 75231 214 7391200 515,brca genet test simpl blood test 515,sleep  dizzi  tooth pain  tmj syndrom  daytim sleepi  gum diseas  drowsi  oral hygein  dentistri  sleep apnea  loud snore  dental care  migrain headach  mouth brace  periodont  morn headach  bad breath  miss teeth  thumbsuck 515,genet test
516,puma  tamoxifen 516,everi morn wake migrain seem like   headach almost 45xweek sleep apnea 516,polycyst ovarian syndrom  diabet  endocrinolog  thyroid  diabet  rotterdam polycyst ovarian syndrom pcos panel  thyroid 516,headach  migrain headach  sleep apnea  migrain  apnea  sleep
517,probabl  sound like quit symptom evalu  echocardiogram would tell heart function potenti heart structur reason fatigu  palpit  short breath  event monior would help assess heart rhythm caus palpit  18yo hypertens unusu need consider caus 517,bulg l45 l5s1 sever pain hip lower leg 517,angina  chest pain  hypertens  exercis  heart attack  abnorm blood pressur  heart failur  cardiolog  heart palpit  heart problem  echocardiogram  cardiac echo  heart diseas  prevent medicin  diagnost procedur heart  nuclear scan 517,rufen  pain medicin  orthoped surgeri  nuprin  naproxen  naprosyn  naprelan  motrin  memori  ibuprofen
518,see neurologist first speak obstretician  recommend see neurologist  symptom seem serious still consult obstretician 518,okay yesterday went kiss bf sleep wokeup head hit nose made loudcrack bump tender pressur 518,numb  tingl  tremor  chronic pain  headach  migrain 518,disloc  cartilag  oxymetazolin  acetaminophen  non steroid anti inflammatori drug  sleep
519,pretti unlik  consensu  molest  sexual abus need go polic  otherwis  unless cut finger open  chanc practic zero sure thing medicin  even open bleed cut  one time contact often enough contract hiv 519,ive constant migrain headach 6 year doctor dont know late get migrain get reali bad chest pain 519,nan 519,chest pain  headach  high blood pressur  migrain headach  migrain  chest pressur  chest tight  angina  smoke  ct scan
520,unlik cancer remain unchang 5 year  see doctor get check  could cyst  node 520,get done first  caviti fill wisdom teeth pull 520,diabet  women health  hyperlipidemia  hypertens 520,cari  tooth decay  tooth extract  dental cari  wisdom teeth
521,like pancreat cancer rare age 40 pancreat  latter usual relat gallston alcohol drink  evalu persist sever pain left upper quadrant includ upper endoscopi especi warn symptom present like bleed  weight loss  low blood count   failur respond treatment w acid blocker 4 gastriti  acid reflux  ulcer 521,ive deal strang headach year  pain top around head  also ear well neck pain 521,inflammatori bowel diseas  crohn diseas  ulcer coliti  gastroesophag reflux diseas  celiac diseas  diarrhea  hernia  colonoscopi  food allergi  anorect manometri  irrit bowel syndrom  gastrointestin bleed  abdomin bloat  hla type celiac diseas  gluten insensit  gastroenterolog  ercp  hirschsprung diseas  achalasia  whippl diseas 521,earach  headach  stress  neck pain  sinus  malocclus  angiiti  neuriti  hypersensit  tmj syndrom
522,    glad yove taken possibl precaut avoid std includ hpv shot  still guaranti healthi lifestyl without obsess   overindulg surest mean optim person defens immun abil win firstlin invis war life surviv      besid  practic safe sex plus enjoy sex life  describ probabl ok 522,front tooth abscess drain bioten wash ok use anyth elsewait go dentist 522,male health  surgeri  urinari tract infect  cancer  sexual transmit diseas  sexual transmit infect  testosteron  androderm  chlamydia infect  testoderm  vasectomi  circumcis  hernia  erectil dysfunct  torsion testi  prostat specif antigen  prostat cancer cryotherapi  remov testi  greenlight pvptm 522,abscess  tooth abscess  dental abscess  dentistri  sodium  dental health  wash  dental care
523,comprehens effect treatment provid dentist oral surgeon  see dentist evalu treatment 523,19 year old 54 tall  seven stone  chest pain  fast heartbeat  short breath evenwhil eat talk palpit  ive ecg  cbc  chest xray could find noth 523,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 523,chest pain  palpit  chest tight  chest pressur  angina  complet blood count  electrocardiogram  cbc  xray chest
524,tri anxiolyt tri antianxieti med anxiolyt xanax  klonopin  diazapam  valium 524,littl pain needl breast biopsi 524,nan 524,needl biopsi  biopsi  breast biopsi  breast needl biopsi  ultrasound guid needl core biopsi breast
525,lot larg number condit caus weight loss  age colon cancer low list  good idea see doctor larg number easili treatabl thing might  deserv get resolv go life 525,could sleep apnea caus autonom neuropathi  doctor tell  idea 525,breast cancer  colon cancer  lung cancer  melanoma  gi cancer 525,sleep apnea  apnea  nerv damag  neuropathi  sleep  autonom nervous system
526,remov caus take amoxicillin prescrib dentist order infect resolv  main object treat remov caus infect  antibiot along bodi heal mechan secondari  dentist treat would best one determin still infect treatment\antibiot indic 526,scar skin cancer vs mole remov look like 526,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 526,mole  scar  melanoma  skin cancer  cancer  mole remov  laparoscop surgeri
527,yes year flu epidem level multipl tragic death result  overwhelm bodi defens husband asthma  higher risk poor outcom  evalu asap made sure stabl 527,laser treatment acn scar 527,back pain  pain back  sciatica  arthriti  pain joint  psoriat arthriti  mitral regurgit  psoriasi  pinch nerv  cardiovascular diseas 527,acn  pimpl  acn scar  scar  facial pimpl  laser  co2  thermag  collagen
528,artifci len replac cloudi naturu len cataract refer intraocular len  common made acryl silicon  place proper caus reaction  dri eye allergi affect extern tissu eye tissu insid eye 528,bad headach 2 week  nausea  dizzi vertigo  fatigu  increas heart rate time  blood test normal  pregnant 528,cataract  cataract surgeri  intraocular len 528,dizzi  headach  nausea  fatigu  lethargi  migrain  pregnanc  vertigo  imag  mri
529,anti anxieti probabl someth acut would suggest acut like quicker act anti anxieti agent like xanax ativan  chronic recur would look antidepress like lexapro  paxil  prozac etc  cymbalta help indic general anxieti 529,could melanoma  mole rib big dark center 529,depress  anxieti  adhd  insomnia  bipolar disord  suboxon  femal health  psychopharmacolog treatment  schizophrenia 529,mole  skin cancer  melanoma
530,get serum test possibl got pregnant wait dc heal  go doctor clinic get check make sure arent  sometim counter test fals posit  5 posit lot  probabl mean posit 530,fever take antibiot fever goe away still big pain lump could inflammatori breast cancermi 530,acupunctur  well lifestyl  prevent medicin  holist medicin  integr medicin 530,fever  breast abscess  abscess  breast cancer  breast carcinoma  cancer  inflammatori breast cancer  femal health  surgeri  surgic drainag
531,possibl unfortun  go say unlik  seen patient sore nippl  itchi breast  itchi rash breast  nippl discharg  tingl sensat breast  variat    without paingo breast cancer  may typic  earliest detect must  neg mammogram ultrasound mean cant ca  see specialist bx 531,mani day take get blood cultur result breast abscess 531,breast cancer  sarcoidosi  lose weight  stress  breast implant 531,breast abscess  abscess  femal health  blood cultur  antibiot
532,sinus need evalu sinus infect 532,caus vibrat  pound sensat leg lie   also slight swollen ankl leg muscl cramp   ty 532,nan 532,ankl swell  swollen ankl  muscl cramp  nerv
533,trachea still cf graft new lung leav trachea still cf defect  serv sourc infect new lung  new transplant lung though cf diseas 533,worri cancer due radiat 4 brain ct scan year plus heart ct brain surgeri plus 3 contrast dye 533,pediatr pulmonolog  pulmonolog  infant health  infant toddler health  prematur deliveri 533,cancer  exposur radiat  radioact  surgeri  irradi  gamma ray  comput tomographi  neurosurgeri
