0,common surgeri relat common low risk procedur experienc ent surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
362,c ur doctor mani differ thing caus lump armpit cancer  need see doctor formal exam  determin next best step reassur  biopsi  ultrasound  mammogram  good luck 362,vulva biopsi mole  someth went wrong  elev skin pain told keloid scar  may need see plastic surgeon happen result 362,cancer  breast cancer  hernia  laparoscop surgeri  mammogram  gallston  abdomin pain  breast lump  append  inguin hernia  mastectomi  gallbladd diseas 362,mole  keloid  scar  neuroma  plastic surgeri  vulva biopsi  steroid  sutur  femal health  cicatrix
363,runny:nl pain:not runni nose common rhinoplasti  pain common may indic problem report physician assess nasal obstruct possibl hematoma 363,tooth distract 1 week ago n still hurt realli bad head  ear n  went back dentist still hurt normal 363,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 363,dri socket  nsaid  dentistri
364,iliac pain pain iliac crest fusion uncommon  coupl problem may exist  1 bone graft donor site pain   doc use pelvi bone fusion  probabl  2 si pain   uncommon fusion l5s1  also damag bone graft harvest  3 muscular   attach point hip muscl paraspin muscl  easili irrit weak occur 364,need opinion knee surgeri 1 year ago plica resect still lot pain could told arthrti 364,scoliosi  spondylolisthesi  compress fractur  kyphosi  minim invas surgeri  sacroiliac joint inject  transforamin lumbar interbodi fusion  laminoplasti  cervic disc replac 364,arthriti  pain joint  herniat disk  lyme diseas  bulg disk  sport medicin  synovium  arthroscopi  knee arthroscopi  well lifestyl
365,possibl mole may big mole may melanoma  would seen doctor know  doctor may know immedi without special procedur may need biopsi  depend situat  good luck 365,one mole recent start bleed  sign skin cancer im red head pale skin 365,lung cancer 365,wound  mole  red skin  pale skin  skin cancer  melanoma  cancer
366,hyperpron either plantar fasciiti pes planusflat feet certain caus signific discomfort well wear highheel shoe constrict stand long period time   teni shoe best low heel narrow point toe  pleas follow pcp podiatri sport medicin   orothoped referr 366,corn callus feet  sometim suffer athlet foot  side feet bright pink colour flaki 366,nan 366,ringworm  corn  athlet  athlet foot  callus  fungus  tinea
367,tylenol coffe acetaminophen safe pregnanc tylenol  small amount coffe safe pregnanc peopl  perhap ob told drink  case say  howev  suggest cup gradual wean  hand  yove alreadi made today  mayb go bed  tomorrow yoll closer caffein 367,get chronic headach  even tho im healthi  drink plenti water  nd time headach turn migran 367,exercis  healthi eat  well lifestyl 367,headach  migrain headach  inflamm  multi infarct dementia  migrain  botox  surgeri  neurolog  xeomin
368,rheumatologist see rheumatologist  may run blood test see inflammatori arthriti  rheumatoid arthriti  psoriat arthriti  etc  osteoarthr possibl also 368,caus hip knee joint pain someon earli 20s 368,sport medicin  hip pain  musculoskelet condit  knee pain  shoulder injuri 368,joint pain  muscl spasm  knee pain  pain joint  inflamm
369,see doctor particular fever go see doctor  like chickenpox child vaccin 369,dermatolog pediatrit pleas   5 wk old babi  red small tini bump face littl neck  acn els treatment 369,bacteri infect 369,acn  skin rash  red skin  rash  pimpl  small red bump  tactil  facial pimpl  dermatolog  red bump
370,multipl symptom tmj disfunct often caus bruxism chronic teeth grind clench  symptom includ tmj pain  pain near ear  chronic headach migrain  neck shoulder pain  often result stress  swollen lymph node usual symptom infect  see dentist examin diagnosi caus symptom 370,2 left neck lymph node swollen 3 month also  pain touch portion right jawlin tmj  sinus  allergi bloodwork normal 370,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 370,tmj syndrom  hypersensit  child allergi  oral maxillofaci surgeri  ent head neck surgeri  allergi
371,mayb gingiv gum behind last molar get inflam  call gingiv  area harder keep clean brush floss  gingiv happen often  dental clean help  meanwhil  brush vigor clean area  gentl area week  may let heal  discomfort remain  dentist check someth bad like cancer 371,im wonder pea size bump bottom mouth caus rotten teeth 371,children health  vaccin 371,cari  abscess  dental cari  dentistri  tooth decay
372,vagin white vagin discharg often indic vagin infect also irrit urethra caus urinari frequenc  cours urinari tract infect caus urinari frequenc well  urin cultur coloni count order check uti  gyn exam check vagin infect  repeat pregnanc test doubl check sinc miss period 372,problem start pain swell left testicl  problem urin back pain  mt urin blood test clear show infect  vein promin scrotum  thought could 372,nan 372,back pain  sexual transmit diseas  sexual transmit infect  std  urin  micturit  pain back  urin
373,tinea infect athlet foot aka foot fungus  aka tinea pedi present rash scali dri well rash bump rais blister  itchi feel due irrit inflamm fungus infect  bodi way respond 373,sore littl toe left foot  red  sensit touch  itchi rather swollen  unsur 373,foot ankl condit  foot ankl injuri  sprain  broken bone  swollen ankl  toenail  ankl swell  diabet foot 373,tactil
374,infect cyst infect cyst appear redden  may drain pus  usual tender inflamm promin featur infect  may ach tender touch  infect inflamm caus region lymph node react 374,painless throat swell w  diff  swallow w hard swollen painless lymph node multipl site  airway feel obstruct symptom incl  dri eyes+pain+photophobia  dri mouth  joint pain  help 374,nan 374,joint pain  dri mouth  pain caus bright light  throat swell  light sensit  dri eye
375,yes lumpectomi whole breast radiat  1215% chanc breast cancer come back breast within 5 year  howev  chanc recurr much higher without radiat therapi 375,mom stage 4 breast cancer  done w chemo doubl mastectomi  heal radiat  natur supplement fight stop slow spread 375,breast cancer  chemotherapi  ovarian cancer  metastat breast cancer  medic oncolog 375,breast cancer  breast carcinoma  cancer  irradi  mastectomi  radioact  gamma ray  chemotherapi  supplement  vitamin supplement
376,perhap ultrasound may use better defin densiti lump area asymmetri shadow seen mammographi howev  benefit evalu microcalcif  ideal  breast canter diagnost mammogram abl perform ultrasound day  recommend one 376,lump left breast 7 month ago mammogram doctor said noth late enlarg signific 376,cancer  breast cancer  hernia  laparoscop surgeri  mammogram  gallston  abdomin pain  breast lump  append  inguin hernia  mastectomi  gallbladd diseas 376,digit mammogram  femal health  mammogram
377,thyroid may goiter  fanci word enlarg harden thyroid  sometim effect amount thyroid hormon blood  hormon extrem import mani bodi system name metabol  see md exam possibl blood test measur hormon level  good luck 377,left side throat swollen  along feel slight pressur lower jawlin insid ear swallow  concern 377,dental implant  sedat dentistri  dental abscess  periodont  tooth pain 377,throat swell
378,   high wbc blood + wbcesteras may happen ureter stone passingdown sever pain fever  hx recurr uti feverish constant backach flank pain  may develop pyonephrosi  uti obstruct stone  visit er visit instant regardless age 20  situat especi formid diabet patient  fever 378,doctor give urin test found infect  last yr nov got antibiot went back jan found urin infect got antibiot went today found uti 378,male health  surgeri  urinari tract infect  cancer  sexual transmit diseas  sexual transmit infect  testosteron  androderm  chlamydia infect  testoderm  vasectomi  circumcis  hernia  erectil dysfunct  torsion testi  prostat specif antigen  prostat cancer cryotherapi  remov testi  greenlight pvptm 378,urinari tract infect  urin  antibiot
379,ib caus bloodi diarrhea clot  need see ghi doctor colorect surgeon prompt colonoscopi work  delay  ib correct diagnosi 379,stomach cramp  diarrhea 10 time day  nausea  dr found occult blood stool mucous  high esr  gallbladd ultrasound next week  grandma ib brother uc  could caus 379,hemorrhoid  colon cancer  constip  irrit bowel syndrom  colonoscopi  diverticul  blood stool  abdomin pain  coliti  rectal cancer  anal fissur  inflammatori bowel diseas  diverticular diseas 379,loos stool  diarrhea  nausea  dysenteri  ulcer coliti  irrit bowel syndrom  blood stool  gastrointestin bleed  digest bleed  occult blood
380,alot go instead specul may may complet histori  physic bloodwork order internist 380,ach pain arm  hand  leg  feet w occasion tingl  fall  back pain feel pressur lower spine  rule diabet  aid  nutrit def  im 28  idea 380,plantar fasciiti  diabet foot  neuroma 380,neuropathi  diabet neuropathi
381,see need ankl brace correct foot drop see ortho ankl brace 381,like callous two toe  hurt whenev kind bump someth  small hard part hit flesh hurt 381,backach 381,foot surgeri  hammerto correct  hammer toe repair  hammer toe
382,may need ssri ativan like band aid addict  may help insomnia anxieti depress  consult psychiatrist 382,mani mds assum depress anxieti cant find problemmi former md miss lupus diagnosi wasnt depress 382,diabet  chest pain  diabet diet  hyperlipidemia  bronchiti  essenti hypertens  care elder love one  healthi diet  asthma 382,feel anxious  depress  system lupus erythematosus  hopeless  myelodysplast syndrom  melancholia  anxieti
383,yes signific sore throat w swollen tonsil   lymph node     see physician  get strep throat test  cultur  antibiot imper strep throat  tri saltwat gargl  mix tsp salt 8 oz warm water     gargl w sever time day  gargl w alo vera juic coupl time per day  mix chamomil tea w honey  small amt lemon juic help 383,swollen gland neck  sore throat   ear ach tonsil areinflam cover white patch  strep throat 383,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 383,throat pain  sore throat  strep throat  streptococc infect  enlarg lymph node  swollen gland  enlarg gland
384,differ mammogram special type xray breast  typic  two view breast taken initi screen mammogram  breast ultrasound radiat use evalu find mammogram assess lump felt patient  abl differenti cyst solid mass 384,area dens breast tissu appear within year mammogram area disappear 384,mammogram  ct scan  cancer  sonogram  mri scan  breast cancer  imag 384,mammogram
385,indefinit may uti  must rule nephrolithiasi 385,came hosp bad flank pain lot blood urin   kidney stone still kidney  infect urin  bw came back ok  could  fu urologist 385,urin uric acid creatinin  electrolyt  kidney failur 385,blood urin  urin look like blood  kidney stone  nephrolithiasi  urinari bleed  urin  urolog
386,numer name mani thing warrant work doc  mean time  take otc prilosec help make sure acid reflux 386,nag sore left rib cage right left breast  bother cough blow nose 386,femal health  depress  headach  vagin bleed  pelvic laparoscopi  bioident hormon 386,cough  femal health
387,anxieti  see pcp anxieti symptom sign ill  mind abil produc flight fight respons give rise mani physiolog chang includ heart palpit  nausea  tingl  insomnia  dri mouth  speech impair  tremor sweat  depend caus anxieti symptom  health care provid provid treatment option 387,constant headach right side head behind eye 2 week  throb pressur  noth help  besid coffe water sometim  advice|recommendaact 387,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 387,headach  neoplasm  cancer  magnet reson imag  mri brain  mri
388,suspici imag techniqu mri may indic level suspicion malign context sever find histori physic examin  howev  diagnosi ultim requir biopsi 388,true breast lump tumor breast year two mammogram see 388,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 388,neoplasm  breast cancer  breast carcinoma  breast lump  cancer  femal health  imag  mammogram  digit mammogram
389,2 day usual 2 day someth grow sooner may know sooner  frequent take longer negat result posit one  wait bit longer see someth grow 389,soon breast reduct surgeri begin take phentermin averag 389,nan 389,pain medicin  pain medic  femal health  surgeri  phentermin  ionamin  fastin  breast reduct surgeri
390,fair common  still normal  need panic see live md soon sort out: definit health risk go long without period 390,sore nippl tender breast mean breast cancer swell breast period come pregnant 390,fertil  get pregnant  polycyst ovarian syndrom  ivf pregnanc  endometriosi  pregnanc loss  ectop pregnanc 390,mens  breast cancer  breast carcinoma  cancer  sore nippl  menstrual cycl  femal health  healthi pregnanc  pregnanc
391,probabl  hyperkinet hyperact gallbladd general accept diagnosi  small group patient 63 symptomat cck infus greater 80% eject fraction  28 patient underw remov gall bladder  97% 28 patient show improv symptom follow surgeri  prospect retrospect studi need substanti find 391,u hida scan 7% ef pain nausea  negat  ct u ultrasound gallbladd surgeon  go unsur  rt rib shoulder neck  press 391,neurofibromatosi 391,nausea  cramp pain  biliari colic  colic  sonogram  feed  hida scan  comput tomographi
392,mild mild sensat throat swell lower wisdom tooth extract  mild  symptom promin accompani difficulti swallow breath  go er asap 392,rough month sinc wisdom teeth wereremov  swell  tender  heat jaw area  possibl bone infect 392,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 392,teeth  wisdom teeth
393,lymph node pleas see head neck surgeon soon 393,tmj left side  go 2dentist regularlydul left ear jaw cheek ach @ time   tmj someth serious unknown hpv type 2005  cancer lump 393,bone graft  chin augment  larg jaw  dental implant  underdevelop upper jaw bone  open repair jawbon fractur  protrud jaw  chin reduct  chin implant  facial implant  open repair palat maxillari fractur 393,tmj syndrom  cancer  nutrit  yawn  hpv  nerv
394,mis mean myocardi infarct worri unless develop cardiac symptom  ask someth els let know 394,check heart   done lot test  egc  echo  holter  stress test  say heart fine  today feel heavi pain chest 394,metabol bone diseas 394,stress  stress test  holter monitor  echo
395,yes pain  bleed  swell investig  see physician dentist  jaw pain could bo medic dental origin  see 395,sharp pain templ  jaw click  pain radiat side face  ear back head  sometim toothach  could tmj 395,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 395,tooth pain  tmj syndrom  exercis  dental care  manag tmj
396,mani answer consult dentist see temporomandibular joint issu especi clench jaw grind teeth night  yes cervic spine may play role would involv ear 396,muffl left ear pain insid  neck jaw line   cannot feel anyth swollen area  red lump   could ear infect 396,allergi  asthma  skin rash  allerg reaction  rhiniti  celiac diseas  dermat  immun diseas  atop dermat  black mold allergi 396,ear infect  tmj syndrom  manag tmj  otiti media  tmj surgeri
397,pain control see doctor assess tomorrow  unabl swallow pain swell increas seen sooner  best feel better 397,tonsil swollen hurt like needl throat  saw yellow thing come one hole tonsil 397,skin rash  loos stool  nutrit  yeast infect  pain manag  telemedicin  sedat dentistri 397,nan
398,call pediatrcian sore throat caus varieti factor includ infect  make appoint pediatrician caus identifi treat 398,white rais line cheek 6  week   red bump back tongu  node left jaw sore  could oral cancer  hiv 398,emerg medic care  cerebr apoplexi 398,human immunodefici virus  cancer  oral cancer  mouth cancer  hiv  red bump
399,us vs mammo depend mean effect  sensit screen mammo screen us close  us detect 34 cancer per 1000 patient mammo detect 45 us perform better dens breast categori  mammo perform better fatti breast  role complementari  evolv  current main role us evalu abnorm seen mammo exam 399,issu l4 l5 s1 also sacroilit scoliosi develop neropothi leg segest treatment mri yet 399,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 399,scoliosi  abnorm curvatur spine  magnet reson imag  mri
400,great better lower triglycerid  problem  sometim rais ldl cholesterol 400,50i 85k   ht 56 chol 197 hdl  42 ldl 109 vldl 19 tryglycerid 96    heart patient bp 150 90 400,heart attack  congest heart failur  dyslipidemia  angina  chronic high blood pressur  hypercholesterolemia 400,heart diseas  ldl  triglycerid  hdl  blood pressur
401,see doctor thing organ marijuana unless grow  guess  would recommend pregnanc case  sore throat swollen gland bodi ach  could strep infect  also could influenza  benefit treatment  call ob pcp 401,hi realli embarrass moment 37 week pregnant n itchi clitori n quit sore scratch also red n littl swollen what wrong 401,alcohol  chemic depend treatment  restless leg  alcohol depend 401,pregnanc  37 week pregnant
402,feel better recent thing gotten wors  normal  may relat surgic remov teeth perhap coincident  may dri socket  alveol inflamm bone infect  possibl tmj pain ear infect  first see dentist refer ent necessari 402,got upper right wisdom tooth remov infect caviti 5 day ago  augmentin 3 dayfor 7 day  infect back locat wisdom tooth  doc appoint 2 day wrong 402,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 402,dri socket  tooth extract  wisdom tooth extract  augmentin  amoxicillin clavulan
403,see dentist soon see dentist soon get check 403,hey  got sore  red  swollen gum left side  tooth pain discomfort  sinus issu though  could sinus infect caus 403,suboxon  male health  femal health  child health  healthi pregnanc  phentermin  obsess compuls disord  addict  vitamin  constip  wart  addict medicin  dermatolog  thyroid diseas  lupus blood panel  herp virus drug  endocrin disord 403,dental pain  sinus  tooth pain  oral surgeri  pain discomfort  oral maxillofaci surgeri
404,could could allerg viral also could nonallerg rhiniti  would treat antihistamin decongest respons discuss physician 404,what best allergi medicin allegra  claritin zyrtec 404,arthriti  fibromyalgia  gout  knee pain 404,season allergi  allerg rhiniti  non sedat antihistamin  zyrtec  claritin  allegra
405,get reevalu pain could result mani differ thing  one would need thorough histori physic exam possibl sometim laboratori radiolog exam determin exact caus  reevalu voic concern 405,weird feel back knee almost like hit funni bone  tingl also  radiat foot pain foot sometim calf also  could swell 405,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 405,tingl
406,perfor septum perfor septum occur nasal trauma  drug use surgeri  salin spray neither prevent septal perfor  nose evalu board certifi otolaryngologist 406,distil water orang juic help kidney stone prevent cant find solid info way 406,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 406,nephrolithiasi  kidney stone  kidney stone
407,yes pain abscess tooth refer area front ear  lymph node neck jaw becom involv  infect must treat soon possibl  pleas call dentist appoint get hand 407,know infect tooth spread im amoxcillin  sore ear throat  spread dont see abscess  help 407,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 407,abscess  amoxicillin
408,see doctor mucus product sign inflamm lung airway  wheez usual caus spasm inflamm  symptom may suspici asthma  condit caus  inhal use everi day  may want ask doctor go longact lung medic 408,believ myocard  known suffer anxieti palpit reccur everi often also cough feel mucus  period fatigu will get bed everi morn 408,healthi diet 408,feel anxious  cough  palpit  myocard  anxieti
409,rx infect antibiot painkil may help control infect  cure  cure infect infect tooth materi remov fill root canal rx tooth remov  antibiot may limit spread infect long take  problem come roar back stop  pleas call hour dentist get wors 409,ive got caviti tooth  may infect pain  headach  earach  swollen gland  caus   cant function without pill 409,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 409,earach  headach  swollen gland  enlarg lymph node  enlarg gland  caviti
410,go doctor  noth situat normal  post menopaus bleed repres cancer  go doctor today  pleas 410,ive pcos  got cyst r  ovari  ruptur  came back month period got ultrasound gone ovari enlarg lot+pain 410,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 410,insulin resist syndrom  polycyst ovari syndrom  metabol syndrom  sonogram  ruptur  women health  menstrual period  menstrual cycl
411,call dentist infect appar resolv condit need address 411,feel pressur area infect tooth pain  use antibiot  safe pull 411,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 411,antibiot
412,jaw pain tooth jaw pressur pain may bruxism chronic teeth grind clench  may relat wisdom teeth  may dental issu  clinic exam dentist determin caus pain  consid wisdom teeth remov caus chronic problem  ask dentist bruxism tooth gum infect 412,burn  achi pain behind upper wisdom tooth  tooth fine  dentist say tmj  motrin tylenol doesnt help  tmj caus achi miser 412,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 412,tmj syndrom  motrin  tylenol  ibuprofen  acetaminophen
413,ct first biopsi ct scan provid differ inform  sinc ct alreadi order  would go ahead  also schedul ent visit primari doctor agre  good luck 413,ct scan rule brain aneurysm 6 month pain behind right ear upper neck dizzi blur vision  ct normal  next 413,allergi  rhiniti  skin rash  cough  headach  treat hive  asthma  food allergi  allerg reaction  sleep  diarrhea  immunolog  back pain  environment allergi  antibodi screen  copd  immun cell function  manag eczema  immun defici  immunotherapi 413,dizzi  blurri vision  hazi vision  aneurysm  brain aneurysm  comput tomographi  ct scan  irrit eye  vertigo  vision
414,red spot red spot inflam minor salivari gland  caus whatev also caus sore throat cold  see doctor 414,felt ill   chill bad sore throat   mayb cold today  notic small discolor tongu side black bump near back  cancer 414,root canal  children health  child health  dentistri  cosmet dentistri  oral cancer  oral anesthet 414,throat pain  sore throat  cancer
415,lichen plani autoimmun diseas call lichen plani mani type stage  lesion outbreak  sinc skin condit  may want talk dermatologist dentist concern sore  good luck 415,comparison fordyc spot wart herpes: fordyc spot occur larger number 50100s wherea herp wart fewer number correct 415,abscess  canker sore  aphthous stomat  gum diseas  tmj syndrom  cancer  tooth pain  child health  blister mouth  oral surgeri  children health  wisdom tooth extract  root canal  gingiv  oral cancer  dentistri  cari  headach  dental pain  dental cari 415,wart  herp
416,might    tri get pregnant symptom time get pregnanc test  negat follow gyn provid evalu 416,light brown tan  littl bit darker center  dri  rais  irregular  spot side breast  size dime  recent breast itchi  hot 416,skin rash 416,ringworm  breast size
417,symptom sound like gallbladd problem  usual  hiatal hernia give heartburn acid reflux type symptom  see doctor check  good luck 417,pain r low abdomen wors sex  acid reflux daili bout diarrhea constip nausea  diarrhea saturday stop sinc 417,nan 417,constip  reflux  nausea  diarrhea  loos stool  sexual intercours  sex  acid reflux
418,see would concern herp  evalu 418,girl pregnant virgin peni get insid vagina half peni got around 8 time without releas sperm 418,children health  depress  child allergi  autism  autism spectrum disord  antibiot 418,sperm  pregnanc
419,high chanc high  get pregnanc test soon possibl 419,miss period 34 day pregnanc test four time  result show negat 48 yrs old  sexual activ  pregnant menopaus 419,nan 419,pregnanc test  pregnanc  menstrual period  menstrual cycl  menopaus
420,residu neurolog chang uncompl epidur uncommon  problem like relat hyperextens leg  evalu neurologist help identifi problem offer possibl solut 420,ruptur l4 l5  recent start groin pain two epidur 2 week ago  leg pain stop  groinhav injur s1 420,anesthesia  numb  neuropathi  pain manag  central venous cathet  airway obstruct 420,leg pain  ruptur  lumbar disc microsurgeri  epidur
421,wisdom teeth sound like wisdom tooth problem  havent remov get dentist check  could also advanc caviti result tooth abcess 421,swollen lymph node headach  left eye pain sore throat hard breath especi outsid heart race heart race joint pain weight hair loss nosleep 421,nan 421,throat pain  sore throat  joint pain  eye pain  bald  headach  hair loss  breath difficulti
422,infect feverish  loos stool suggest infecti process  viral infect usual selflimit day bacteri infect escal sever ill  vomit  signific feverish  dehydr oft requir doctor assist  blood stool worrisom  irrit bowel syndrom function disord without known caus  absent fever   chronic month year 422,chronic fatigu  tired  general feel  back flank pain  gerd  ib  migrain headach  palpit  wake sleep race heart  low vitamin level  ferritin level 14  tsh fluctuat could 422,fibromyalgia  soft tissu injuri  joint hypermobl  chronic pain  hypermobl syndrom  back pain  sciatica  irrit bowel syndrom  cannabinoid panel  muscl spasm  ligament laxiti  complementari altern medicin  depress  thorac outlet syndrom  altern medicin  pain back  pelvic pain  sleep  ligament injuri  femal health 422,headach  migrain headach  irrit bowel syndrom  chronic fatigu  palpit  vitamin defici  migrain  lethargi  sleep  thyroid stimul hormon
423,yes  briefli howev  take nsaid ibuprofen prolong period caus salt retent  hypertens  heart failur stomach ulcer 423,take  direct  hydrocodon 10325 tramadol 10 mg  tramadol  use advil allev instead  mani thank 423,dizzi  chest pain  hypertens  abnorm blood pressur  numb  hypotens  angina  femal health  cardiac arrhythmia  low blood pressur  heart palpit  chest tight  cancer  aneurysm  chest pressur  essenti hypertens  coronari arteri diseas 423,renal impair  advil  hypertens  alev  narcot
424,symptomsof gastricca sound like nexium decreas acid product didnt fix caus pain  could stomach becom rawgastr u may hiatal hernia  stomach symptom aggrav stress stomach ca caus pain   bleed  weight loss  often found older male check doc  dont need suffer like 424,constip appendectomi  appendix 4 5 week ago bad abdomen pain  cramp  like wash machin  wind stool loke rabbit pellet would issu pain 424,cancer  breast cancer  prostat cancer  radiat oncolog 424,constip  abdomin pain  fece  remov appendix  appendectomi  wash
425,u test dont gave hiv  catch hiv  sexual encount protect  risk  hiv test negat  time move  god sake  hiv exposur 425,test posit  chlamydia  negat hiv  gonorrhea syphili  given  one time 2 tablet treatment azithromycin  week suppli erythromycin serv pain stomach  poop  urin help 425,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 425,loos stool  indigest  heartburn  diarrhea  gonorrhea  dysenteri  human immunodefici virus  syphili  allerg reaction  antibiot
426,may surpris hear say could diet  widespread use sugar caus huge amount ill explain mean  appli  tri get rid sugarf 426,lost voic two month  start pharyng  tooth extrem sore  week ago    found tooth abscess  remov yesterday given antibiot voic come back like infec 426,sleep  dietari sugar 426,abscess  voic disord  pharyng  antibiot  ent head neck surgeri
427,oral surgeon that lot ibuprofen would worri bleed follow oral surgeri  check oral surgeon 427,horribl toothach tylenol help  take 600mg ibuprofen coupl day take 20mg lisinopril past 2 week 427,nan 427,tooth pain  nuprin  zestril  rufen  prinivil  tylenol  motrin  lisinopril  ibuprofen  advil
428,see ent sound like tonsillar abscess caus inflamm  pain  like difficulti swallow lead weight loss  need examin ear nose throat specialist ent proper diagnosi treatment  serious condit  like lymphoma  must also rule especi respond antibiot 428,ive product cough near 6 month  well chest pain left side breast bone  27 yearold male  smoke year  cancer 428,weight loss program  exercis  healthi diet 428,sprain strain  product cough  cough  chest pain  fatigu  perspir  malais  lethargi  chest tight  chest pressur
429,may need ssri ativan like band aid addict  may help insomnia anxieti depress  consult psychiatrist 429,slept last night  yesterday  horribl anxieti attack last day  took  5 ativan 730 8pm anoth 3am  could im tire head full heavi  dizzi 429,diabet  chest pain  diabet diet  hyperlipidemia  bronchiti  essenti hypertens  care elder love one  healthi diet  asthma 429,feel anxious  dizzi  ativan  anxieti
430,start treatment anxieti start 5mg  may 10 mg titrat 20mg  5mg everi 6 day   observ ass go  peopl eventu need least 40 mg daili regul anxieti  total dont recommend xanax  absolut necessari  klonopin start 0 25mg pm  may total 0 5mg twice daili 430,havent get good sleep past day  anxieti bad  everyth seem like dream  talk therapist er told take ativan amd sleep  nervous take 430,anxieti  depress  panic attack  chest wall pain  stress  sleep  decreas sleep  feel anxious  bipolar disord  difficulti breath  clonazepam 430,feel anxious  therapist  sleep  ativan  anxieti
431,tmj surgeri tmj pain sore common may occur remov complic impact wisdom teeth  see surgeon evalu treatment option 431,2mg valuim help fall asleep ive talk ativan took 1mg earli morn got mayb 2 3 hour sleep   therapist said tri valuim  realli want zzz 431,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 431,insomnia  valium  insomnia med  therapist  sleep  ativan
432,probabl common miss period breast feed  cyst cervix nabothian extrem common total benign  cyst ovari also common most benign  depend size usual less 3 cm appear simpl noth may need done  otherwis  short term ultrasound followup ensur resolut appropri 432,asymmetr mole foot remov today  grow past month im pregnant  could cancer im scare 432,cancer  abscess  thyroid biopsi  liver biopsi  picc line  nephrostomi tube  sclerotherapi  stent  uterin arteri embol  peripher vascular diseas  liver cancer  hepatoma  abdomin abscess  cathet embol  endovascular embol  vascular condit  vascular access  uterin fibroid embol 432,mole  cancer  pregnanc
433,jaw pain tooth jaw pressur pain may bruxism chronic teeth grind clench  may relat wisdom teeth  may dental issu  clinic exam dentist determin caus pain  consid wisdom teeth remov caus chronic problem  ask dentist bruxism tooth gum infect 433,wisdom teeth impact extract meantim past week bad jaw pain  ear ach  tmj wisdom teeth 433,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 433,earach  tooth pain  dental pain  jaw pain  tmj syndrom  deal wisdom teeth  wisdom teeth  wisdom tooth extract  oral surgeri  oral maxillofaci surgeri
