0, may treat nasal congest 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
398,monitor center lymphat system absorb carri thing big go arteri vein like bacteria eaten white cell digest food  lymph node tast lymph anyth bad like bacteria virus cancer  etc  detect problem  alert immun system bodi react  enlarg respons inflamm creat react  shrink well 398,white rais line cheek 6  week   red bump back tongu  node left jaw sore  could oral cancer  hiv 398,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 398,human immunodefici virus  cancer  oral cancer  mouth cancer  hiv  red bump
399,mcdonald criteria look dissemin space  lesion differ area brain  also spinal cord  dissemin time  presenc old newer lesion  mri pattern confirm diagnosi 399,issu l4 l5 s1 also sacroilit scoliosi develop neropothi leg segest treatment mri yet 399,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 399,scoliosi  abnorm curvatur spine  magnet reson imag  mri
400,probabl total cholesterol slight elev  indic healthi  would probabl benefit one  lower cholesterol 400,50i 85k   ht 56 chol 197 hdl  42 ldl 109 vldl 19 tryglycerid 96    heart patient bp 150 90 400,children health  bleed  contracept  exercis  cancer  sleep  rash  fever  normal childbirth  pneumonia  teen pregnanc 400,heart diseas  ldl  triglycerid  hdl  blood pressur
401,pupp rash sound like rash pregnanc  mani women get itchi red rash known reason  ob make recommend epsom bath even benadryl 401,hi realli embarrass moment 37 week pregnant n itchi clitori n quit sore scratch also red n littl swollen what wrong 401,pelvic pain  uterin fibroid  manag endometriosi  pelvic support surgeri  bioident hormon 401,pregnanc  37 week pregnant
402,see surgeon would advis go back oral surgeon evalu infect possibl drysocket  condit could caus sever pain ear 402,got upper right wisdom tooth remov infect caviti 5 day ago  augmentin 3 dayfor 7 day  infect back locat wisdom tooth  doc appoint 2 day wrong 402,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 402,dri socket  tooth extract  wisdom tooth extract  augmentin  amoxicillin clavulan
403,infect may need flap gum remov tooth avoid reoccurr issu 403,hey  got sore  red  swollen gum left side  tooth pain discomfort  sinus issu though  could sinus infect caus 403,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 403,dental pain  sinus  tooth pain  oral surgeri  pain discomfort  oral maxillofaci surgeri
404,allergi itch sound like allergi cold  virus  virus dont itch  allergi  tri clairitn  zyrtec  allegra pharmaci 404,what best allergi medicin allegra  claritin zyrtec 404,botox  rhinoplasti  septoplasti  facelift  eye lift 404,season allergi  allerg rhiniti  non sedat antihistamin  zyrtec  claritin  allegra
405,sciatica treatment true sciatica leg pain shoot back  leg past knee  mimic path sciatic nerv  thus name  may associ numb  burn pain  weak leg  treatment involv nsaid  tylenol  rest  mckenzi pt doc rx  steroid inject nerv root epidur  fail  microdiskectomi disk herniat confirm mri 405,weird feel back knee almost like hit funni bone  tingl also  radiat foot pain foot sometim calf also  could swell 405,scoliosi  spondylolisthesi  compress fractur  kyphosi  minim invas surgeri  sacroiliac joint inject  transforamin lumbar interbodi fusion  laminoplasti  cervic disc replac 405,tingl
406,like niacin relat med lipid control 406,distil water orang juic help kidney stone prevent cant find solid info way 406,diabet  diabet type 2  glucos  free t3  inflamm thyroid  antithyroid medic  diabet type 1  thyroxin  thyroid nuclear scan  polycyst ovarian syndrom  sodium  polyuria  neuropathi  lose weight  overact thyroid  child diabet  free hemoglobin  glucagon  metabol syndrom  adult obes 406,nephrolithiasi  kidney stone  kidney stone
407,see dentist wisdom tooth fulli come caus pain infect  experienc pain  swollen lymph node  earach go away find difficult open mouth  see dentist evalu  xray wisdom teeth remov 407,know infect tooth spread im amoxcillin  sore ear throat  spread dont see abscess  help 407,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 407,abscess  amoxicillin
408,bp dm diabet stricter bp control paramet bp would goal 130 80  tough differenti heart anxieti  deal issu daili basi  tell see dr  get evalu  get bp littl better control  get heart check regular  eat well  well  stay well  god bless 408,believ myocard  known suffer anxieti palpit reccur everi often also cough feel mucus  period fatigu will get bed everi morn 408,urinari tract infect 408,feel anxious  cough  palpit  myocard  anxieti
409,yes crack allow bacteria infect root gum lymph node drain part mouth react enlarg 409,ive got caviti tooth  may infect pain  headach  earach  swollen gland  caus   cant function without pill 409,joint  sport medicin  travel medicin  cope disast  disast prepar recoveri 409,earach  headach  swollen gland  enlarg lymph node  enlarg gland  caviti
410,yes seek care gynecologist rule endometri hyperplasia obtain regular cycl 410,ive pcos  got cyst r  ovari  ruptur  came back month period got ultrasound gone ovari enlarg lot+pain 410,infertil  fertil treatment  male fertil  manag endometriosi  fibroma 410,insulin resist syndrom  polycyst ovari syndrom  metabol syndrom  sonogram  ruptur  women health  menstrual period  menstrual cycl
411,see ddd pain swell root canal treatment start immedi  antibiot alon may abl pace infect  dentist unwil start treatment seek second opinion  antibiot meant reliev pain 411,feel pressur area infect tooth pain  use antibiot  safe pull 411,dental health  dental care  dental pain  oral surgeri  root end surgeri  dental xray 411,antibiot
412,get refer ask mom dentist refer someon diagnos treat  sometim simpl adjust bite time special design occlus splint help tremend  stress factor grind teeth bite problem  good luck 412,burn  achi pain behind upper wisdom tooth  tooth fine  dentist say tmj  motrin tylenol doesnt help  tmj caus achi miser 412,teeth  root canal  dental care  tooth pain  dental health  hsv  gum diseas  antibiot  dental xray 412,tmj syndrom  motrin  tylenol  ibuprofen  acetaminophen
413,need evalu pain involv area call mastoid  pain movement neck  headach  blur vision right  concern symptom realli need evalu  could local infect call mastoid  someth wors  call doctor seen soon possibl 413,ct scan rule brain aneurysm 6 month pain behind right ear upper neck dizzi blur vision  ct normal  next 413,femal health  menopaus  ovul  mens  tri conceiv  get pregnant  ectop pregnanc  third trimest pregnanc  diabet onset pregnanc  obstetr  high risk pregnanc  healthi pregnanc  gestat hypertens 413,dizzi  blurri vision  hazi vision  aneurysm  brain aneurysm  comput tomographi  ct scan  irrit eye  vertigo  vision
414,possibl ulcer may aphthous ulcer  persist check 414,felt ill   chill bad sore throat   mayb cold today  notic small discolor tongu side black bump near back  cancer 414,sore throat  throat pain  runni nose  rhiniti  allergi  pimpl  hypersensit  ent head neck surgeri  sinus pain  cough  home remedi 414,throat pain  sore throat  cancer
415,could cold temperatur kill cell give skin color  liquid nitrogen ln sometim leav white spot  particlular darker skin type  dark skin light  often remov genit wart electr needl numb  techniqu usual heal well  faster  experi 415,comparison fordyc spot wart herpes: fordyc spot occur larger number 50100s wherea herp wart fewer number correct 415,genit wart  botox  mole  skin cancer  acn 415,wart  herp
416,info necessari chest pain caus mani differ thing  caus serious  like blood clot travel lung heart attack  caus life threaten never ignor chest pain  list caus chest pain long includ thing like pneumonia muscl strainyou alway chest pain evalu make sure isnt serious 416,light brown tan  littl bit darker center  dri  rais  irregular  spot side breast  size dime  recent breast itchi  hot 416,nan 416,ringworm  breast size
417,gallbladd problem gb pain often upper right abdomen  occasion refer right shoulder  avoid fri  fatti  greasi food  one high cholesterol like egg  make appt fp general surgeon mani laparoscop cholecystectomi small incis  quicker recoveri time   unless complic  doc may advis watch wait surgeri becom necessari 417,pain r low abdomen wors sex  acid reflux daili bout diarrhea constip nausea  diarrhea saturday stop sinc 417,exercis  eat healthier  exercis  exercis brain  healthi cook  child health  children health  sleep  femal health  healthi diet  diabet  fever  diet  skin lesion  infecti diseas  prevent fall  vaccin prevent ill  prevent flu 417,constip  reflux  nausea  diarrhea  loos stool  sexual intercours  sex  acid reflux
418,possibl unprotect intercours alway chanc pregnanc  wait next period determin test necessari 418,girl pregnant virgin peni get insid vagina half peni got around 8 time without releas sperm 418,pregnanc loss  hysterectomi  home pregnanc test  polycyst ovarian syndrom  uterin fibroid  healthi pregnanc  da vinci robot surgeri  pelvic laparoscopi  femal health  da vinci surgic system 418,sperm  pregnanc
419,contracept use contracept use  period simpli delay   see obgyn md rule pregnanc 419,miss period 34 day pregnanc test four time  result show negat 48 yrs old  sexual activ  pregnant menopaus 419,contracept  cancer  endometriosi 419,pregnanc test  pregnanc  menstrual period  menstrual cycl  menopaus
420,monitor center lymphat system absorb carri thing big go arteri vein like bacteria eaten white cell digest food  lymph node tast lymph anyth bad like bacteria virus cancer  etc  detect problem  alert immun system bodi react  enlarg respons inflamm creat react  shrink well 420,ruptur l4 l5  recent start groin pain two epidur 2 week ago  leg pain stop  groinhav injur s1 420,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 420,leg pain  ruptur  lumbar disc microsurgeri  epidur
421,get eval certain sound like least infect tonsilar area  get eval treat 2 month  weight loss way long wait  best wish 421,swollen lymph node headach  left eye pain sore throat hard breath especi outsid heart race heart race joint pain weight hair loss nosleep 421,urinari tract infect 421,throat pain  sore throat  joint pain  eye pain  bald  headach  hair loss  breath difficulti
422,anemia two main sourc iron food  heme nonhem  heme best sourc iron  heme anim product e g   chicken  turkey  red meat  liver  fish  can sardin  clam  mussel egg yolk  nonhem sourc bean   tofu  pumpkin seed  nut dark leafi green  dri fruit  molass  may abl toler slow releas iron e g  walgreen iron slow 422,chronic fatigu  tired  general feel  back flank pain  gerd  ib  migrain headach  palpit  wake sleep race heart  low vitamin level  ferritin level 14  tsh fluctuat could 422,child health  femal health  cough  sleep  hormon disord  thyroid hormon  anti age medicin 422,headach  migrain headach  irrit bowel syndrom  chronic fatigu  palpit  vitamin defici  migrain  lethargi  sleep  thyroid stimul hormon
423,need evalu may wait 6 hour start alev  take everi 12 hour   must see differ dentist find caus pain  appropri ongo x 10 day  gastrointestin problem much nsaid treatment 423,take  direct  hydrocodon 10325 tramadol 10 mg  tramadol  use advil allev instead  mani thank 423,toxic exposur  carbon monoxid poison  cardiopulmonari resuscit  infect heart valv  accident poison  elder care 423,renal impair  advil  hypertens  alev  narcot
424,probabl ok probabl ok  see bulg around incis  pain doesnt go away   go back see surgeon 424,constip appendectomi  appendix 4 5 week ago bad abdomen pain  cramp  like wash machin  wind stool loke rabbit pellet would issu pain 424,cancer  hernia  pancreat cancer  pancreat diseas  liver surgeri 424,constip  abdomin pain  fece  remov appendix  appendectomi  wash
425,take time  take two week receiv result  give time  mean time yore concern std  use condom yore sex test come back posit  respons let sexual contact know 425,test posit  chlamydia  negat hiv  gonorrhea syphili  given  one time 2 tablet treatment azithromycin  week suppli erythromycin serv pain stomach  poop  urin help 425,femal health  contracept  ovul  mens  fertil  healthi pregnanc  yeast infect  oral contracept  sexual transmit diseas  home pregnanc test  pregnanc loss  tri conceiv  get pregnant  polycyst ovarian syndrom  sexual transmit infect  pap smear  intrauterin devic  first trimest pregnanc  pelvic inflammatori diseas  endometriosi 425,loos stool  indigest  heartburn  diarrhea  gonorrhea  dysenteri  human immunodefici virus  syphili  allerg reaction  antibiot
426,zev zev correctheat face badit draw infect toward outsid face  concern progress heal call dentist emerg lookse 426,lost voic two month  start pharyng  tooth extrem sore  week ago    found tooth abscess  remov yesterday given antibiot voic come back like infec 426,dentistri  root canal  gum diseas  gingiv  inflamm gum  dental care  abscess  cari  child health  teeth whiten  dental cari  periodont  orthodont  laser teeth whiten  abscess tooth  crowd teeth  tooth abscess  porcelain veneer  tooth pain  dental pain 426,abscess  voic disord  pharyng  antibiot  ent head neck surgeri
427,yes  hypertens need monitor bp kidney function take regular 427,horribl toothach tylenol help  take 600mg ibuprofen coupl day take 20mg lisinopril past 2 week 427,arthriti  fibromyalgia  rheumatoid arthriti  osteoarthr  vascul 427,tooth pain  nuprin  zestril  rufen  prinivil  tylenol  motrin  lisinopril  ibuprofen  advil
428,cat scan thorax would rare 24 year old lung cancer concern get screen low dose cat scan thorax stop wonder worri rare diagnos 428,ive product cough near 6 month  well chest pain left side breast bone  27 yearold male  smoke year  cancer 428,aortic aneurysm  lung cancer  coronari arteri bypass graft  aortic valv replac 428,sprain strain  product cough  cough  chest pain  fatigu  perspir  malais  lethargi  chest tight  chest pressur
429,anxieti yes  like concentr way feel find someth make feel uneasi  may abl put finger 429,slept last night  yesterday  horribl anxieti attack last day  took  5 ativan 730 8pm anoth 3am  could im tire head full heavi  dizzi 429,panic attack  eat disord  post traumat stress disord  poor nutrit  vitamin defici  anxieti disord  race mind 429,feel anxious  dizzi  ativan  anxieti
430,get sleep studi pleas see sleep md  experienc classic reaction bodi breath  call sleep apnea serious 430,havent get good sleep past day  anxieti bad  everyth seem like dream  talk therapist er told take ativan amd sleep  nervous take 430,sleep  dizzi  tooth pain  tmj syndrom  daytim sleepi  gum diseas  drowsi  oral hygein  dentistri  sleep apnea  loud snore  dental care  migrain headach  mouth brace  periodont  morn headach  bad breath  miss teeth  thumbsuck 430,feel anxious  therapist  sleep  ativan  anxieti
431,tri benadryl form good sleep habit go sleep time everi night get bodi routin 431,2mg valuim help fall asleep ive talk ativan took 1mg earli morn got mayb 2 3 hour sleep   therapist said tri valuim  realli want zzz 431,gastriti  bruis  ecchymos  constip  headach 431,insomnia  valium  insomnia med  therapist  sleep  ativan
432,abcd rememb abcd think melanoma  look mole asymmetri boarder irregular color differ within mole diamet greater 6mm also new mole old start itch  bleed ulcer concern  anoth rule ugli duckl rule  refer mole look distant differ other bodi 432,asymmetr mole foot remov today  grow past month im pregnant  could cancer im scare 432,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 432,mole  cancer  pregnanc
433,infect infect  yes  best result wisdom teeth  make sure evalu treat board certifi oral  maxillofaci surgeon 433,wisdom teeth impact extract meantim past week bad jaw pain  ear ach  tmj wisdom teeth 433,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 433,earach  tooth pain  dental pain  jaw pain  tmj syndrom  deal wisdom teeth  wisdom teeth  wisdom tooth extract  oral surgeri  oral maxillofaci surgeri
434,locker room cough cough follow exercis typic symptom exercis induc bronchospasm  good treatment prevent symptom improv exercis capac 434,cough sputum wheez tight chest  pred  valu spirometri 83%  copd late onset asthma 434,asthma  allergi  hypersensit  child allergi  antihistamin  cough  allergi test  nasal  child allergi test  nut allergi 434,asthma  cough  wheez  spirometri  sputum  pulmonari function test  pulmonolog  copd  pediatr pulmonolog
435,swell drainag  ear infect  see ent physician treatment  that control  see oral surgeon take care wisdom teeth 435,woosh sound ear like hear heart beat year dr keep say ear infect go awayha bad cant muc 435,orthodont  root canal  manag tmj  abscess  malocclus  sleep apnea  co2 laser  brace orthodont 435,high blood pressur  ear infect  chronic sinus  blood pressur  otiti media  ent head neck surgeri  hypertens  neurolog
436,workup mgt treatment sinus take week effect treat sinus infect  vomit may due anoth infect pneumonia  secondari swallow drainag number condit  would advis clear liquid diet one day  follow pediatrician  also would advis check temperatur time day pm 436,16 yrs old daughter bother chronic yeast infect take strong antibiot 3 yrs ago ive tri cranberri juic  probiot otc product  new pediatrician prescrib 1 dose oral antifung work  rec 436,pediatr pulmonolog  pulmonolog  infant health  infant toddler health  prematur deliveri 436,yeast infect  pediatr  probiot  yeast  cranberri juic  candida  antibiot
437,zev zev correctheat face badit draw infect toward outsid face  concern progress heal call dentist emerg lookse 437,hi  recent bottom back right tooth remov abcess form jaw least 10 day wasnt give pain abit sore touch  dentist remov tooth said abcess go 437,dentistri  root canal  gum diseas  gingiv  inflamm gum  dental care  abscess  cari  child health  teeth whiten  dental cari  periodont  orthodont  laser teeth whiten  abscess tooth  crowd teeth  tooth abscess  porcelain veneer  tooth pain  dental pain 437,abscess  dental abscess  tactil  tooth extract
438,bell pepper yes may intoler bell pepper 438,abigail headach  stomach cramp  diarrhea 24 hour  much urin output  worri head hospit 438,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 438,diarrhea  stomach cramp  headach  loos stool  urin
439,possibl need sleep studi determin sleep apnea 439,mom pass away due liver cirrosi  hepat b  hepat e  dad also hep b  stand chanc vaccin done 439,diabet  women health  hyperlipidemia  hypertens 439,hepat  hepat b  vaccin date  vaccin  antibodi  antigen
440,monitor center lymphat system absorb carri thing big go arteri vein like bacteria eaten white cell digest food  lymph node tast lymph anyth bad like bacteria virus cancer  etc  detect problem  alert immun system bodi react  enlarg respons inflamm creat react  shrink well 440,3 yr old big swollen lymph node one side neck formonth  blood work normal purpl circl eyesposs 440,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 440,nan
441,uncommon surgeri swell unexpect  monitor  though  swell persist 45 day 441,swell one wisdom teeth pain unbear cant afford go dentist get necessari help clinic 441,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 441,dental pain  tooth pain  deal wisdom teeth  oral maxillofaci surgeri  oral surgeri  wisdom tooth extract  wisdom teeth
442,difficult sinc difficult tell  alway recommend check heart first  sinc consequ miss cardiac diseas fatal  also  hiatal hernia mimic cardiac diseas larg  turn case  seek consult general thorac surgeon experienc laparoscop hiatal hernia repair 442,mother icu  skin infect mid back left breast  red  hot  rais  blister dark purpl streak  kidney level 15  cardiac enzym high  chest pain  short breath  expect 442,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 442,skin infect  chest pain  heart attack  myocardi infarct  cardiac arrest  chest tight  chest pressur  multi infarct dementia  kidney failur  esrd
443,mani option avail treat eczema  includ moistur vanicream  cetaphil restoraderm  cerav name  topic steroid overthecount prescript  calcinuerin inhibitor pimecrolimus tacrolimus  general mainstay routin treatment moistur use need topic steroid  potenti skin lighten thin skin topic steroid use longterm therapi use potent topic steroid  food allergi involv case moderatesever eczema  strategi includ soak seal wrap dress  bleach bath hydrat option  would recommend see local provid find inform  also common patient eczema develop allerg rhiniti well asthma  think import primari care provid dermatologist allergist work togeth help provid best result possibl 443,son 4 year old immunis needl  right arm swollen  red rash  say itchi  get wors 443,allergi  child allergi  asthma  non allerg rhiniti  environment allergi  asthma children  urticaria angioedema 443,skin rash  dermat  rash  children health
444,mayb wisdom teeth may due wisdom teeth   ent evalu 444,right ear ach  right side jaw hurt well right side throat  day 4 take amoxil still relief  pain caus infect 444,dental implant  facial fractur  bone graft  wisdom tooth extract  tmj 444,bacteri infect  earach  jaw pain  bacteria  dentistri  antibiot  viral infect  virus  amoxil  amoxicillin
445,depress sign somat symptom depress includ low energi leaden feel arm leg difficulti fall asleep  stay asleep  wake earli morn sleep much frequent nap decreas appetit weight loss increas appetit w weight gain sexual arous difficulti erectil dysfunct delay orgasm inabl reach orgasm bodi ach gi upset paresthesia 445,ad 10 mg nortriptylin nummular headach 50 mg trazodon insomnia 60 mg cymbalta migrain  felt dizzi  drug  weak stop trazodon  feel better  cant sleep 445,nan 445,insomnia  restless  dizzi  headach  migrain headach  depress  agit  restless leg  migrain  restless leg syndrom
446,brachial plexus need full exam includ emg check brachial plexus 446,l4s1 fusion 10 week ago  symptom better new sever r  back pain x1mo   l5   spine r   pain10 10 turn bed   lean l  2   pain  xray ok  insist muscl spasm 446,sleep  exercis  contracept 446,back pain  muscl spasm  massag  pain back  fusion  contract  charley hors  twist muscl
447,possibl    possibl  pleas see dermatologist asap 447,get genit wart remov liquid nitrogen  leav dark spot skin 447,cancer  chemotherapi  leukemia  lung cancer  lymphoma  colon cancer  skin cancer  melanoma  cervic cancer  mouth cancer  ovarian cancer  multipl myeloma  stomach cancer  chronic myelogen leukemia  throat cancer  oncolog  thrombocytopenia  small cell lung cancer  chronic leukemia  oral cancer 447,wart  pigment  genit wart
448,see ddd pain swell root canal treatment start immedi  antibiot alon may abl pace infect  dentist unwil start treatment seek second opinion  antibiot meant reliev pain 448,bad infect tooth fail root canal  apicoectomi pull tue novacain   doxi sinc sat  feel nauseous dizzi sinc last night 448,dental health  dental care  dental pain  oral surgeri  root end surgeri  dental xray 448,dizzi  malais  nausea  doxycin  doxycyclin  pain medic  doryx  novocain  root canal  pain medicin
449,dvt possibl    imposs exclud dvt diagnosi  like benign baker cyst  common fluid connect back knee joint  may bit pain sometim cyst burst  caus swell acut pain  ultrasound urgent care yor doctor confirm either diagnosi 449,leg swell knee feet   tender touch   could 449,varicos vein  spider vein  venous insuffici  laser treatment leg vein  leg ulcer 449,leg swell  albumin  tactil
450,what caus  cellul basic visibl inflamm iti skin soft tissu red  hot  swollen tender   caus mani thing includ sunburn radiat  trauma sprain ankl poor vein circul stasi dermat  need caus bacteria  repeat episod  get wound care vascular specialist  diagnos wrong 450,sever itchi spot arm  finger  back knee hand  ankl  scratch get white elev nickles spot 450,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 450,rash  eczema  dermat  psoriasi  allerg reaction  dermatolog  allergi  nutrit  scratch
451,cellul leg red warm swollen  could sign bacteri infect call cellul  rare  serious flesh eat bacteria  antibiot warrant cellul  need consid deep vein thrombosi especi leg edema calf tender 451,leg red almost like sunburn  knee ankl arent swollen  dont hurt 451,nan 451,sunburn  allerg reaction  allergi  cellul  circul
452,heart stomach  import rule atherosclerot heart diseas  tryptan class medic use treat migrain caus coronari vasospasm chest pain especi patient coronari arteri diseas prinzmet angina  also use lot nsaid class drug ibuprofen  caus gastriti ulcer masquerad chest pain  pleas talk doctor soon 452,excedrin migrain taken daili constant bad headach affect right eye doctor said eye look fine 452,congest heart failur  coronari arteri diseas  valvular heart diseas 452,headach  migrain headach  migrain  ophthalmolog
453,long road disloc kneecap  may residu instabl  done therapi may need reconstruct ligament knee continu problem far injuri  sound like would benefit mri physic exam orthoped surgeon sport medicin doc see exact go insid knee 453,tear acl  mcl knee cap disloc  x3week later still cant bend knee past 45*  ive disloc b4 cant rememb recoveri last4ev 453,rib fractur  open repair rib fractur  flail chest  broken ankl  bone fractur repair  multipl trauma  bone loss 453,disloc  patellar disloc  mri scan  autonomi  sport medicin
454,seek attent would seek doctor familiar diagnos symptom  could includ neurologist headach specialist 454,studi much sleepless lead headach like pressur head nervous insomia dizzi  counsult physician 454,sleep  tmj syndrom  sleep apnea  dentistri  facial pain  snore  apnea  dental health  tooth pain  manag tmj  dental pain  dental bite disturb 454,insomnia  dizzi  headach  feel anxious  nervous  anxieti  caffein  amphetamin  vertigo  exercis
455,yes odd less 1 tube  yes inde could 455,symptom ovarian cyst ectop pregnanc nausea pain left pelvic area pressur tight  unbotton jean 455,cancer  hepat  diet  inflammatori bowel diseas  nutrit support  well lifestyl 455,nausea  ectop pregnanc  pelvic pain  ovarian cyst  femal health  healthi pregnanc  pregnanc  pregnanc test  ruptur
456,littl pain littl pain 456,prophylact antibiot requir patient heart valv surgeri open incis procedur breast core biopsi 456,middl ear infect  sleep apnea 456,valv  surgeri  prophylact antibiot  incis  heart valv surgeri  biopsi  antibiot
457,pelvic relax vagin deliveri result damag pelvic support allow bladder  urethra  uterus  rectum  vagina begin drop pelvi  women end pelvic organ drop open vagina  requir surgeri repair damag decreas symptom 457,often vagin birth caus incontin pelvic organ prolaps common problem normal birth 457,femal health  healthi pregnanc  polycyst ovarian syndrom  mens  contracept  hysterectomi  cancer  ovul  laparoscop surgeri  normal childbirth  child health  pap smear  endometriosi  bleed  vagin hysterectomi  surgeri  spot  breast cancer  robot surgeri  da vinci robot surgeri 457,stress  stress incontin  incontin  children  vagin birth  femal health
458,heart attack want decreas risk  get mediterranean diet exercis program see doc take care treatabl risk factor  smoke good luck healthi futur 458,ldl 131 mg dl  hdl 54 mg dl trig 115 mg dl  eat plenti fruit veget  exercis  dont smoke drink bmi 21 458,chest pain 458,intraventricular hemorrhag  hdl  ldl  exercis  bodi mass index  bmi
459,feel free pull well  doesnt sound like anyth wrong  sure ask surgeon see postop visit 459,open inguin hernia surgeri 3 week ago told surgeon lift anyth 30 lbs  two day ago  lift groceri bag weigh 15 lbs  affect anyth 459,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 459,groin hernia  lump groin  hernia  inguin hernia  hernia surgeri  hernia repair  inguin hernia surgeri  surgeri
460,complex proper tx  multifacet  medic  duloxetin venlafaxin   tri  well certain anticonvuls  biofeedback  yoga exercis   acupunctur  therapeut massag might help  see neurologist pain mgmt   specialist experi type pain  though ideal  sometim opiod certain pts  option 460,small fiber neuropathi im take 900 mg gabapentin foot pain  help  what chanc max dose help 460,back pain  pain back  sciatica  arthriti  pain joint  psoriat arthriti  mitral regurgit  psoriasi  pinch nerv  cardiovascular diseas 460,foot pain  nerv damag  neuropathi  neurontin  lyrica  gabapentin  pain manag  fiber
461,time pt med epidura get better time  exercis  weight control smoke cessat help issu medic  physic therapi epidur steroid inject also play role indic 461,non steroid non surgic treatment l5s1 disc hernia 461,backach  back pain  scoliosi  spinal stenosi  pain back  surgeri  sciatica  exercis  bulg disk  abnorm curvatur spine  neck pain  numb  spinal fusion  physic therapi  cervic spine  whiplash  spondylolisthesi 461,hernia  physic therapi  ibuprofen  surgeri  laparoscop surgeri  exercis
462,reflux vesicular reflux 462,doctor said uti symptom prescrib antibiot without perform urin cultur  concern 462,emerg medic care 462,urinari tract infect  urin  urin cultur  antibiot
463,find caus callus may due excess pressur area due improp fit shoe  fractur  etc  first determin may respons caus addit trim callus cautious 463,callous insid babi toe   hurt realli bad  get get rid 463,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 463,wound  incis  podiatri  callus  bone spur
464,unknown new lump breast breast cancer treatment need evalu doctor  depend long ago surgeri  scar format  need doctor examin 464,breast biopsi 2 month ago benign lactat chang  feel like feel tini lump clip put 464,cancer  hernia  breast cancer  laparoscop surgeri  surgeri  breast carcinoma  gallston  colon cancer  inguin hernia  abdomin pain  diverticul  gi cancer  abdomin surgeri  laparoscop gallbladd remov 464,scar  cancer  cicatrix  breast biopsi  biopsi
465,lymph lymph node sack contain bodi cell fight infect build immun  cell b cell  lymph node contain primarili cell  locat chain around bodi set drain certain region bodi  neck contain anterior posterior cervic chain describ  drainag occur materi drain pass lymph node    expos cell mention  cell recognis self nonself substanc  substanc recognis nonself stimulus process ensu  clinic manifest swell tender along chain  allergen infect particl ie pollen bacteria caus exact swell result  answer question yes   like season allergi staph strep  true infect caus differ symptom 465,advers reaction bactrium  start get flu like symptom  visibl swollen lymph node neck thatmov hive swollen tongu  still gettingintermitt hive swollen tongu  9 day last pill normal 465,hiv aid  hiv test  hepat c  hiv posit  hepat  chlamydia infect  mrsa  hiv medic  syphili  mening  genit wart  gonorrhea  std prevent  fever  viral infect  infect blood  immun diseas  sepsi  skin infect  viral mening 465,flu  hive  hypersensit  enlarg lymph node  swollen gland  swollen tongu  allerg reaction  sulfamethoxazol trimethoprim  allergi  bactrim
